timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes,energy_batch_j,kWh_batch,seconds_batch,M,K,flops_batch,joule_per_gflop,gflops,flops_per_watt
2025-10-13T00:34:48,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,11853,1.0,1.0412,1.0412,57.197,54.9,0,reduction,openblas,fp32,0,11853,493,1.0412,57.197,54.9,54.7,94824000000,91.07,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,39.4,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.004825529401839197,1.3404248338442214e-09,8.784274023453977e-05,0,0,,,,
2025-10-13T00:34:48,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,493,1.0,1.0412,0.1116,6.1,54.7,0,reduction,openblas,fp32,0,11853,493,1.0412,57.197,54.9,54.7,1972000000,17.68,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,39.4,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.012373225152129817,3.437006986702727e-09,0.000226369168356998,0,0,0.0,,0.0,0.0
2025-10-13T00:34:54,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,5223,1.0,0.9221,0.9221,50.796,55.1,1,reduction,openblas,fp32,0,5223,617,0.9221,50.796,55.1,54.9,62676000000,67.97,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,38.6,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.009725445146467547,2.70151254068543e-09,0.0001765460463335248,0,0,,,,
2025-10-13T00:34:54,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,617,1.0,0.9221,0.3986,21.899,54.9,1,reduction,openblas,fp32,0,5223,617,0.9221,50.796,55.1,54.9,3702000000,9.29,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,38.6,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.03549270664505673,9.859085179182425e-09,0.0006460291734197731,0,0,0.0,,0.0,0.0
2025-10-13T00:35:02,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,2500,1.0,0.9724,0.9724,53.83,55.4,1,reduction,openblas,fp32,0,2500,445,0.9724,53.83,55.4,55.7,40000000000,41.14,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.5,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.021532,5.981111111111111e-09,0.00038896000000000004,0,0,,,,
2025-10-13T00:35:02,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,445,1.0,0.9724,0.5302,29.537,55.7,1,reduction,openblas,fp32,0,2500,445,0.9724,53.83,55.4,55.7,3560000000,6.71,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.5,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.0663752808988764,1.8437578027465666e-08,0.0011914606741573034,0,0,0.0,,0.0,0.0
2025-10-13T00:35:10,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,977,1.0,0.9772,0.9772,55.347,56.6,1,reduction,openblas,fp32,0,977,265,0.9772,55.347,56.6,56.8,23448000000,23.99,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.05664994882292733,1.573609689525759e-08,0.0010002047082906856,0,0,,,,
2025-10-13T00:35:10,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,265,1.0,0.9772,0.5864,33.283,56.8,1,reduction,openblas,fp32,0,977,265,0.9772,55.347,56.6,56.8,3180000000,5.42,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.12559622641509435,3.488784067085954e-08,0.0022128301886792452,0,0,0.0,,0.0,0.0
2025-10-13T00:35:18,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,694,1.0,1.0537,1.0537,59.736,56.7,0,reduction,openblas,fp32,0,694,222,1.0537,59.736,56.7,57.6,22208000000,21.08,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.08607492795389049,2.3909702209414025e-08,0.001518299711815562,0,0,,,,
2025-10-13T00:35:18,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,222,1.0,1.0537,0.5866,33.777,57.6,0,reduction,openblas,fp32,0,694,222,1.0537,59.736,56.7,57.6,3552000000,6.06,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.15214864864864866,4.226351351351352e-08,0.002642342342342342,0,0,0.0,,0.0,0.0
2025-10-13T00:35:26,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,454,1.0,1.0448,1.0448,59.193,56.7,0,reduction,openblas,fp32,0,454,131,1.0448,59.193,56.7,57.5,21792000000,20.86,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.13038105726872246,3.621696035242291e-08,0.0023013215859030837,0,0,,,,
2025-10-13T00:35:26,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,131,1.0,1.0448,0.52,29.875,57.5,0,reduction,openblas,fp32,0,454,131,1.0448,59.193,56.7,57.5,3144000000,6.05,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.22805343511450382,6.33481764206955e-08,0.003969465648854962,0,0,0.0,,0.0,0.0
2025-10-13T00:35:34,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,345,1.0,1.0585,1.0585,59.917,56.6,0,reduction,openblas,fp32,0,345,113,1.0585,59.917,56.6,57.5,22080000000,20.86,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.17367246376811596,4.824235104669888e-08,0.0030681159420289854,0,0,,,,
2025-10-13T00:35:34,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,113,1.0,1.0585,0.5978,34.36,57.5,0,reduction,openblas,fp32,0,345,113,1.0585,59.917,56.6,57.5,3616000000,6.05,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.304070796460177,8.446411012782694e-08,0.005290265486725664,0,0,0.0,,0.0,0.0
2025-10-13T00:35:42,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,230,1.0,1.1406,1.1406,64.843,56.9,0,reduction,openblas,fp32,0,230,65,1.1406,64.843,56.9,57.7,22080000000,19.36,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.28192608695652177,7.831280193236716e-08,0.004959130434782609,0,0,,,,
2025-10-13T00:35:42,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,65,1.0,1.1406,0.5346,30.821,57.7,0,reduction,openblas,fp32,0,230,65,1.1406,64.843,56.9,57.7,3120000000,5.84,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.4741692307692308,1.3171367521367523e-07,0.008224615384615384,0,0,0.0,,0.0,0.0
2025-10-13T00:35:51,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,162,1.0,1.0608,1.0608,60.187,56.7,0,reduction,openblas,fp32,0,162,55,1.0608,60.187,56.7,57.5,20736000000,19.55,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,,,,0,0,,,37.2,0,OPENBLAS_NUM_THREADS=16; e2e_host_memcpy=1; e2e_bw=mixed,0.3715246913580247,1.0320130315500686e-07,0.0065481481481481476,0,0,,,,
