platform,platform_label,device_kind,energy_domain,session_number,problem_size,configuration,num_threads,runtime_per_op_s,kernel_runtime_per_op_s,primary_energy_per_op_j,total_energy_per_op_j,dram_energy_per_op_j,primary_power_w,total_power_w,edp_primary_j_s,edp_total_j_s,throughput_gflops_exact,primary_efficiency_gflop_per_j,logical_bandwidth_gb_s,logical_gb_per_j,temp_c,clock_before_mhz,clock_after_mhz,clock_change_pct,batches,working_set_bytes,operational_intensity_flop_per_byte
3090,RTX 3090,GPU,GPU board NVML,1,1000000,gpu_resident,-1,5.700756277427376e-06,5.700755908559328e-06,0.0012069691791515042,0.0012069691791515042,,211.84355832500498,211.84355832500498,6.876653099001048e-09,6.876653099001048e-09,175.4151600597559,0.8285220003387896,701.6620435617074,3.3140946295377898,59.0,1950.0,1950.0,0.0,176147.0,4000004.0,0.2499995000005
3090,RTX 3090,GPU,GPU board NVML,2,1000000,gpu_resident,-1,5.653928630472067e-06,5.653966567492339e-06,0.0012224280934574185,0.0012224280934574185,,216.28190629724534,216.28190629724534,6.9131626326475525e-09,6.9131626326475525e-09,176.86799586011756,0.8180448561464511,707.4733983858521,3.272185968951198,62.0,1950.0,1950.0,0.0,177835.0,4000004.0,0.2499995000005
3090,RTX 3090,GPU,GPU board NVML,3,1000000,gpu_resident,-1,5.658497548303753e-06,5.658387334334981e-06,0.0012116827679173221,0.0012116827679173221,,214.1035309688126,214.1035309688126,6.859226981850233e-09,6.859226981850233e-09,176.7252385853882,0.8252977485825846,706.9023681448751,3.3011975967189295,61.5,1950.0,1950.0,0.0,178040.0,4000004.0,0.2499995000005
3090,RTX 3090,GPU,GPU board NVML,4,1000000,gpu_resident,-1,5.684419756909063e-06,5.6843163693709915e-06,0.001208110725163121,0.001208110725163121,,212.35395156351325,212.35395156351325,6.856073367988575e-09,6.856073367988575e-09,175.91937091526353,0.8277383401586934,703.6788910174289,3.310959982548117,60.0,1950.0,1950.0,0.0,177629.0,4000004.0,0.2499995000005
3090,RTX 3090,GPU,GPU board NVML,5,1000000,gpu_resident,-1,5.633382602035967e-06,5.633341258671869e-06,0.0012184612288479062,0.0012184612288479062,,215.91618336716758,215.91618336716758,6.870649894301811e-09,6.870649894301811e-09,177.51306311466706,0.8207091675998892,710.0536725645933,3.2828432360794633,62.0,1950.0,1950.0,0.0,178883.0,4000004.0,0.2499995000005
3090,RTX 3090,GPU,GPU board NVML,1,2000000,gpu_resident,-1,1.3867925871226304e-05,1.3867907621923146e-05,0.003971689478720306,0.003971689478720306,,286.4302542221642,286.4302542221642,5.5075350551418006e-08,5.5075350551418006e-08,144.21760119485543,0.5035640229723245,576.870981650115,2.0142581061463973,61.0,1950.0,1950.0,0.0,72111.0,8000004.0,0.249999750000125
3090,RTX 3090,GPU,GPU board NVML,2,2000000,gpu_resident,-1,1.381411013988428e-05,1.3814163518787026e-05,0.0039741842385075336,0.0039741842385075336,,287.7033896302025,287.7033896302025,5.4897303719614124e-08,5.4897303719614124e-08,144.7794308514038,0.5032481023810471,579.1183025236281,2.012994422517604,63.0,1950.0,1950.0,0.0,72417.0,8000004.0,0.249999750000125
3090,RTX 3090,GPU,GPU board NVML,3,2000000,gpu_resident,-1,1.3754204585453044e-05,1.3754252739722259e-05,0.003970204867317476,0.003970204867317476,,288.64502004060705,288.64502004060705,5.4608691193580685e-08,5.4608691193580685e-08,145.41000810460895,0.5037525637656843,581.640614058759,2.015012270074,62.0,1950.0,1950.0,0.0,72730.0,8000004.0,0.249999750000125
3090,RTX 3090,GPU,GPU board NVML,4,2000000,gpu_resident,-1,1.3855103536647873e-05,1.3854814325155501e-05,0.003962257747239808,0.003962257747239808,,285.97879349329173,285.97879349329173,5.4897379850424815e-08,5.4897379850424815e-08,144.35106852243746,0.5047624715716996,577.4048514943127,2.0190519053376943,62.0,1950.0,1950.0,0.0,72187.0,8000004.0,0.249999750000125
3090,RTX 3090,GPU,GPU board NVML,5,2000000,gpu_resident,-1,1.382743051332375e-05,1.382733951991652e-05,0.004002397998673153,0.004002397998673153,,289.4754937786929,289.4754937786929,5.5342878598493855e-08,5.5342878598493855e-08,144.63996037757454,0.4997007215881286,578.560420070429,1.9988048851564,63.0,1950.0,1950.0,0.0,72352.0,8000004.0,0.249999750000125
