timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes
2025-10-13T10:54:23,rock-ms7a95,NA,0,kernel,1,1.10,0.9816,0.9816,78.479,79.9,1,stream_triad,openmp,float32,16777216,140,140,0.9816,78.479,79.9,79.9,75161927680,76.57,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=10;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1044.127;GBps_per_W=0.9577
2025-10-13T10:54:24,rock-ms7a95,NA,0,kernel,1,1.10,0.9812,0.9812,78.493,80.0,1,stream_triad,openmp,float32,16777216,140,140,0.9812,78.493,80.0,80.0,75161927680,76.60,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=11;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1044.312;GBps_per_W=0.9576
2025-10-13T10:54:25,rock-ms7a95,NA,0,kernel,1,1.10,0.9813,0.9813,78.570,80.1,1,stream_triad,openmp,float32,16777216,140,140,0.9813,78.570,80.1,80.1,75161927680,76.59,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=12;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1045.342;GBps_per_W=0.9566
2025-10-13T10:54:26,rock-ms7a95,NA,0,kernel,1,1.10,0.9816,0.9816,78.534,80.0,1,stream_triad,openmp,float32,16777216,140,140,0.9816,78.534,80.0,80.0,75161927680,76.57,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=13;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1044.870;GBps_per_W=0.9571
2025-10-13T10:54:27,rock-ms7a95,NA,0,kernel,1,1.10,0.9818,0.9818,78.625,80.1,1,stream_triad,openmp,float32,16777216,140,140,0.9818,78.625,80.1,80.1,75161927680,76.56,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=14;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1046.079;GBps_per_W=0.9560
2025-10-13T10:54:28,rock-ms7a95,NA,0,kernel,1,1.10,0.9819,0.9819,78.694,80.1,1,stream_triad,openmp,float32,16777216,140,140,0.9819,78.694,80.1,80.1,75161927680,76.54,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=15;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1046.996;GBps_per_W=0.9551
2025-10-13T10:54:29,rock-ms7a95,NA,0,kernel,1,1.10,0.9819,0.9819,78.619,80.1,1,stream_triad,openmp,float32,16777216,140,140,0.9819,78.619,80.1,80.1,75161927680,76.55,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=16;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1045.995;GBps_per_W=0.9560
2025-10-13T10:54:30,rock-ms7a95,NA,0,kernel,1,1.10,0.9815,0.9815,78.525,80.0,1,stream_triad,openmp,float32,16777216,140,140,0.9815,78.525,80.0,80.0,75161927680,76.58,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=17;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1044.740;GBps_per_W=0.9572
2025-10-13T10:54:31,rock-ms7a95,NA,0,kernel,1,1.10,0.9818,0.9818,78.624,80.1,1,stream_triad,openmp,float32,16777216,140,140,0.9818,78.624,80.1,80.1,75161927680,76.56,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=18;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1046.055;GBps_per_W=0.9560
2025-10-13T10:54:32,rock-ms7a95,NA,0,kernel,1,1.10,0.9816,0.9816,78.531,80.0,1,stream_triad,openmp,float32,16777216,140,140,0.9816,78.531,80.0,80.0,75161927680,76.57,steady_clock,rapl_energy_uj_delta,0,cpu:Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz,NA,0,0,0,0,NA,NA,,0,sweep;repeats=50;repeat_idx=19;cohort=common;OMP_NUM_THREADS=8;places=cores;proc_bind=spread;bytes_per_iter=32;nt_store=0;pJ_per_B=1044.821;GBps_per_W=0.9571
