platform,platform_label,device_kind,energy_domain,problem_size,num_threads,configuration,session_count,runtime_per_op_s_median,runtime_per_op_s_min,runtime_per_op_s_max,runtime_per_op_s_robust_cv_pct,total_energy_per_op_j_median,total_energy_per_op_j_min,total_energy_per_op_j_max,total_energy_per_op_j_robust_cv_pct,edp_total_j_s_median,edp_total_j_s_min,edp_total_j_s_max,edp_total_j_s_robust_cv_pct,throughput_gflops_median,throughput_gflops_min,throughput_gflops_max,throughput_gflops_robust_cv_pct,energy_efficiency_gflop_per_j_median,energy_efficiency_gflop_per_j_min,energy_efficiency_gflop_per_j_max,energy_efficiency_gflop_per_j_robust_cv_pct,avg_power_w_median,avg_power_w_min,avg_power_w_max,avg_power_w_robust_cv_pct,temp_c_median,temp_c_min,temp_c_max,temp_c_robust_cv_pct,sm_clock_mhz_median,sm_clock_mhz_min,sm_clock_mhz_max,sm_clock_mhz_robust_cv_pct
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,-1,gpu_resident,5,0.0007166533381088825,0.0007151433660014255,0.0007224371689530686,0.19847872927372595,0.1198900429799427,0.11755626780626781,0.12166678700361011,2.1971805364437147,8.592193468997175e-05,8.417593787030442e-05,8.789658114003284e-05,2.801118441315715,10324.032363465896,10241.378177793667,10345.830891169913,0.19877581261519026,61.71284466186225,60.811625618160775,62.93806389020633,2.16510413919961,167.28699681777482,164.17371104130112,168.41163710625415,0.9967252227713397,67.5,64.0,69.0,3.2946666666666666,2715.0,2700.0,2731.5,0.8191160220994473
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,-1,gpu_resident,5,0.0005828563919627257,0.0005827447050087361,0.0005834592959183673,0.010215276754013606,0.09244638694638696,0.09187507280139778,0.09264344023323615,0.148561849399974,5.388019495007685e-05,5.355089134880765e-05,5.4051605435835744e-05,0.13873903344767977,6346.977023933127,6340.418524356848,6348.193464829461,0.010215986121909418,40.01645166782499,39.931335592803094,40.26533189070815,0.14828837187655508,158.61736335242776,157.62630262857724,158.8084400955322,0.16054482637310286,72.0,71.0,72.0,0.0,2730.0,2730.0,2730.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,-1,gpu_resident,5,0.0004731176098644226,0.00047284695996231745,0.00047619289773798303,0.08481306476333927,0.08427002827521206,0.0836580177653109,0.08467276615969582,0.2669470868304555,3.983201198982845e-05,3.953833121762003e-05,4.031733859974483e-05,1.0931185524532159,7819.1472079782725,7768.650376639385,7823.622742785072,0.08486127358991424,43.89908734272027,43.69027143207187,44.22031440328267,0.2673886645361112,177.82615790765743,176.87600226192254,178.32103607672923,0.41259755150693217,76.0,75.0,78.0,1.9507894736842104,2647.0,2632.0,2649.0,0.11202115602568945
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,-1,gpu_resident,5,0.0004846154214079074,0.00047907033223529413,0.00048484276098503137,0.06955074934775483,0.0861506518590053,0.08395529411764707,0.08651808100289296,0.6323230724004018,4.162082554943685e-05,4.0268241294652575e-05,4.183785228099099e-05,0.7730837338149117,7633.632727598928,7630.053463613756,7721.991723231516,0.06951627061162657,42.940779434561065,42.75843860519601,44.06365395961238,0.6295612636202977,177.80523568975954,175.2933348079355,178.6972576197564,0.7437979586388135,77.0,72.5,78.0,0.0,2647.0,2647.0,2683.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,5,-1,gpu_resident,5,0.0010487651956087825,0.0010343215590863952,0.0010506620262605041,0.15872130249629252,0.18623882820258192,0.17941666666666667,0.18836974789915967,0.6517967595058939,0.00019495080205945078,0.00018816356876808757,0.0001979683085542064,1.6406802787324462,7201.700619497869,7188.698880018954,7302.270793298188,0.158891827100291,40.62781954757792,40.0961351270367,42.097063903637896,0.9139267143281562,178.32506534848415,171.0763711049965,179.4633656774847,0.7578333765381899,73.0,67.5,74.0,0.0,2475.0,2475.0,2512.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,6,-1,gpu_resident,5,0.0012177912001216547,0.0012107259,0.0012199919731707316,0.10929887245165153,0.21797195121951218,0.20999819277108434,0.218264598540146,0.1728945358651863,0.00026581005757882745,0.00025451870183463925,0.00026588848008799376,0.043741464543901216,10800.979324698306,10781.494990407371,10864.009228523253,0.10922056556627074,60.344210460791956,60.263272558431055,62.63562962311079,0.17301025692841795,178.82690867520347,173.26552593112172,179.19992531356417,0.12251366187809923,73.0,66.5,73.0,0.0,2730.0,2722.0,2745.0,0.21723076923076923
