platform,platform_label,device_kind,energy_domain,session_number,problem_size,num_threads,configuration,runtime_per_op_s,total_energy_per_op_j,edp_total_j_s,throughput_gflops,energy_efficiency_gflop_per_j,avg_power_w,temp_c,sm_clock_mhz
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,1,-1,gpu_resident,0.0007151433660014255,0.11772808267997148,8.429858708594096e-05,10345.830891169913,62.84626820581906,164.41440431708895,65.0,2731.5
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,2,-1,gpu_resident,0.0005827447050087361,0.09253902154921376,5.39232707290555e-05,6348.193464829461,39.97642755838145,158.8084400955322,71.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,3,-1,gpu_resident,0.0004761207122148289,0.08467276615969582,4.031733859974483e-05,7769.828195658015,43.69027143207187,177.82615790765743,77.5,2632.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,4,-1,gpu_resident,0.00048484276098503137,0.0861506518590053,4.173813000248913e-05,7630.053463613756,42.940779434561065,177.80523568975954,78.0,2647.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,5,-1,gpu_resident,0.0010476424289970207,0.18623882820258192,0.00019495080205945078,7209.418759047723,40.62781954757792,177.96575433464855,73.0,2482.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,1,6,-1,gpu_resident,0.0012174956776155716,0.2177177615571776,0.00026506651038259307,10803.60087490439,60.414628424881826,178.82690867520347,72.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,1,-1,gpu_resident,0.0007167437134670488,0.12053653295128941,8.639068709082593e-05,10322.73059021874,61.38188023312928,168.17849618430807,69.0,2700.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,2,-1,gpu_resident,0.0005834592959183673,0.09264344023323615,5.4051605435835744e-05,6340.418524356848,39.931335592803094,158.7891237534744,72.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,3,-1,gpu_resident,0.00047284695996231745,0.08427861516721621,3.983201198982845e-05,7823.622742785072,43.89461444223586,178.32103607672923,76.0,2647.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,4,-1,gpu_resident,0.00047907033223529413,0.08395529411764707,4.0268241294652575e-05,7721.991723231516,44.06365395961238,175.2933348079355,72.5,2683.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,5,-1,gpu_resident,0.0010489320670157066,0.18705759162303665,0.00019621774740570926,7200.554893405635,40.37737539791223,178.32506534848415,73.0,2475.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,2,6,-1,gpu_resident,0.0012177912001216547,0.218264598540146,0.0002658452094651975,10800.979324698306,60.263272558431055,179.19992531356417,73.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,1,-1,gpu_resident,0.0007224371689530686,0.12166678700361011,8.789658114003284e-05,10241.378177793667,60.811625618160775,168.41163710625415,69.0,2700.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,2,-1,gpu_resident,0.0005828766290792542,0.09244638694638696,5.388019495007685e-05,6346.756660743529,40.01645166782499,158.61736335242776,72.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,3,-1,gpu_resident,0.00047293397906867355,0.08411829727187206,3.9770201569153994e-05,7822.183466392798,43.97825986625274,177.83766369840404,75.0,2649.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,4,-1,gpu_resident,0.0004846761756821446,0.08559717568214456,4.139343780161912e-05,7632.675841516053,43.21850615035032,176.7510681317787,77.0,2647.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,5,-1,gpu_resident,0.0010343215590863952,0.1857924528301887,0.00019279343030535653,7302.270793298188,40.72707536249944,179.4633656774847,67.5,2512.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,3,6,-1,gpu_resident,0.0012186889689403168,0.21812241169305724,0.00026581005757882745,10793.02243092714,60.302588464041506,178.9232831902582,73.0,2726.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,1,-1,gpu_resident,0.0007166533381088825,0.1198900429799427,8.592193468997175e-05,10324.032363465896,61.71284466186225,167.28699681777482,67.5,2715.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,2,-1,gpu_resident,0.0005828563919627257,0.09187507280139778,5.355089134880765e-05,6346.977023933127,40.26533189070815,157.62630262857724,72.0,2730.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,3,-1,gpu_resident,0.00047619289773798303,0.08427002827521206,4.014029029502415e-05,7768.650376639385,43.89908734272027,176.93564537620398,78.0,2632.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,4,-1,gpu_resident,0.0004846154214079074,0.08651808100289296,4.183785228099099e-05,7633.632727598928,42.75843860519601,178.6972576197564,77.0,2647.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,5,-1,gpu_resident,0.0010506620262605041,0.18836974789915967,0.0001979683085542064,7188.698880018954,40.0961351270367,179.23657679050785,74.0,2475.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,4,6,-1,gpu_resident,0.0012107259,0.20999819277108434,0.00025451870183463925,10864.009228523253,62.63562962311079,173.26552593112172,66.5,2745.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML TotalEnergyConsumption,5,1,-1,gpu_resident,0.0007156939394586894,0.11755626780626781,8.417593787030442e-05,10337.874046472192,62.93806389020633,164.17371104130112,64.0,2722.5
