schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,total_energy_j,device_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-22T05:13:40,reduction_5060ti_20260722_050953_session3,1,1,1,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000007056,1.00000915527,1.000007056,88.422,88.422,-1,0.000724705149536,88.4213760988,3.62352755944e-10,0.00819605736592,0.00819604016031,244021877989,244.019643922,8000004,88.4213760988,in_range,4,8,2756,2752,2760,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:41,reduction_5060ti_20260722_050953_session3,2,2,2,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000008525,1.0000111084,1.000008525,88.192,88.192,-1,0.0007228200736,88.1912481696,3.61410217505e-10,0.0081960733737,0.00819605220021,244021877989,244.019167327,8000004,88.1912481696,in_range,4,8,2760,2760,2760,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:42,reduction_5060ti_20260722_050953_session3,3,3,3,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000014103,1.00000970459,1.000014103,88.231,88.231,-1,0.000723139716911,88.2297556958,3.6157003924e-10,0.00819606186811,0.0081960979174,244021877989,244.01950988,8000004,88.2297556958,in_range,4,8,2760,2760,2760,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:43,reduction_5060ti_20260722_050953_session3,4,4,4,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000006931,1.00000805664,1.000006931,88.92,88.92,-1,0.000728786748736,88.9193836998,3.64393556565e-10,0.00819604836155,0.00819603913582,244021877989,244.019912008,8000004,88.9193836998,in_range,4,8,2760,2760,2760,13801,58,58,58,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:44,reduction_5060ti_20260722_050953_session3,5,5,5,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000009079,1.00001068115,1.000009079,89.025,89.025,-1,0.00072964732688,89.0241917494,3.64823845852e-10,0.008196069872,0.00819605674079,244021877989,244.019271582,8000004,89.0241917494,in_range,4,8,2760,2760,2760,13801,59,58,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:45,reduction_5060ti_20260722_050953_session3,6,6,6,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000009287,1.00001025391,1.000009287,89.087,89.087,-1,0.000730155477785,89.0861726567,3.65077921431e-10,0.0081960663703,0.00819605844555,244021877989,244.019375837,8000004,89.0861726567,in_range,4,8,2760,2760,2760,13801,59,59,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:46,reduction_5060ti_20260722_050953_session3,7,7,7,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000008225,1.00001019287,1.000008225,89.069,89.069,-1,0.000730007950103,89.0682674135,3.65004157554e-10,0.00819606587005,0.00819604974142,244021877989,244.019390731,8000004,89.0682674135,in_range,4,8,2760,2760,2760,13801,59,59,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:47,reduction_5060ti_20260722_050953_session3,8,8,8,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000006964,1.00000976562,1.000006964,89.148,89.148,-1,0.000730655432707,89.1473791777,3.65327899017e-10,0.00819606236835,0.00819603940628,244021877989,244.019494986,8000004,89.1473791777,in_range,4,8,2760,2760,2760,13801,59,59,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:48,reduction_5060ti_20260722_050953_session3,9,9,9,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.000009132,1.00001049805,1.000009132,89.236,89.236,-1,0.000731376679152,89.2351851043,3.6568852242e-10,0.00819606837127,0.00819605717517,244021877989,244.019316263,8000004,89.2351851043,in_range,4,8,2760,2760,2760,13801,59,59,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:49,reduction_5060ti_20260722_050953_session3,10,10,10,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,2000000,elements=2000000,122011,1.00000949,1.00001165771,1.00000949,89.032,89.032,-1,0.000729704698757,89.0311550943,3.64852531805e-10,0.00819607787589,0.00819606010933,244021877989,244.019033285,8000004,89.0311550943,in_range,4,8,2760,2760,2760,13801,59,59,59,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:52,reduction_5060ti_20260722_050953_session3,11,11,1,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,1000000,elements=1000000,162681,1.000008246,1.0000045166,1.000008246,66.027,66.027,-1,0.000405867925572,66.0264555458,4.0586833144e-10,0.00614702710582,0.00614705003043,162680837319,162.680102558,4000004,66.0264555458,in_range,4,8,2752,2752,2752,13801,55,55,55,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:53,reduction_5060ti_20260722_050953_session3,12,12,2,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,1000000,elements=1000000,162681,1.000040128,1.00002667236,1.000040128,65.895,65.895,-1,0.000405056521659,65.8923558715,4.05056926716e-10,0.00614716329727,0.00614724600906,162680837319,162.676498352,4000004,65.8923558715,in_range,4,8,2752,2752,2752,13801,55,55,55,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:54,reduction_5060ti_20260722_050953_session3,13,13,3,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,1000000,elements=1000000,162681,1.000020569,1.00000750732,1.000020569,65.744,65.744,-1,0.000404128324758,65.7426477395,4.04128728887e-10,0.00614704548979,0.0061471257799,162680837319,162.67961603,4000004,65.7426477395,in_range,4,8,2752,2752,2752,13801,55,55,55,0x0,-1,-1,-1,-1,true
cpu-gpu-v2,2026-07-22T05:13:55,reduction_5060ti_20260722_050953_session3,14,14,4,REDUCTION,cub_device_reduce_sum_fp32,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,1000000,elements=1000000,162681,1.00002108,1.0000067749,1.00002108,65.548,65.548,-1,0.000402923512887,65.5466182773,4.02923915811e-10,0.00614704098759,0.00614712892102,162680837319,162.67973518,4000004,65.5466182773,in_range,4,8,2752,2752,2752,13801,55,55,55,0x0,-1,-1,-1,-1,true
