problem_size,objective,configuration,num_threads,value,exact_winner,within_2pct
1,runtime,32T,32,0.0021982584226579523,True,True
1,runtime,64T,64,0.0022112709112554114,False,True
1,energy,32T,32,0.5786336383442265,True,True
1,edp,32T,32,0.0012720885942809133,True,True
1,throughput,32T,32,3365.7336117265077,True,True
1,throughput,64T,64,3345.928148168002,False,True
1,energy_efficiency,32T,32,12.786592043884733,True,True
1,energy_efficiency,64T,64,12.534600576376342,False,True
2,runtime,32T,32,0.0011579776864988557,True,True
2,energy,64T,64,0.30222202535377357,True,True
2,edp,32T,32,0.00036561026098748926,False,True
2,edp,64T,64,0.000359442004695123,True,True
2,throughput,32T,32,3194.686896914987,True,True
2,energy_efficiency,64T,64,12.240590871899824,True,True
3,runtime,32T,32,0.0011554848568985177,True,True
3,energy,64T,64,0.2996115106257379,True,True
3,edp,32T,32,0.0003571627377296601,False,True
3,edp,64T,64,0.00035452133312558853,True,True
3,throughput,32T,32,3201.5798100468082,True,True
3,energy_efficiency,64T,64,12.347243002729133,True,True
4,runtime,32T,32,0.0011607068039772728,True,True
4,energy,64T,64,0.29032723309608544,True,True
4,edp,64T,64,0.0003476391931357634,True,True
4,throughput,32T,32,3187.1758990358844,True,True
4,energy_efficiency,64T,64,12.742111308671813,True,True
5,runtime,64T,64,0.0028799458508522724,True,True
5,energy,64T,64,0.7427797698863636,True,True
5,edp,64T,64,0.002138726451090267,True,True
5,throughput,64T,64,2622.5815916628867,True,True
5,energy_efficiency,64T,64,10.168414965354426,True,True
6,runtime,32T,32,0.005752289652298849,True,True
6,runtime,64T,64,0.005818035528901734,False,True
6,energy,64T,64,1.4056095578034682,True,True
6,edp,64T,64,0.008172008307127374,True,True
6,throughput,32T,32,2286.6263969846214,True,True
6,throughput,64T,64,2260.786849394755,False,True
6,energy_efficiency,64T,64,9.357746947983136,True,True
