session_number,problem_size,runtime_per_op_s,device_energy_per_op_j,gflops_per_s,avg_power_w,temp_c,sm_clock_mhz,edp_j_s,kernel_fraction,clock_change_pct,temperature_rise_c
1,64,9.769017892877015e-06,0.0003295783996954404,53.668523,33.730943499999995,48.5,2797.0,3.2217173522333057e-09,1.0,0.0,0.0
1,128,9.78786126601135e-06,0.0004074502386389251,428.52079449999997,41.464335000000005,49.0,2790.0,3.989367232476502e-09,1.0000004983479767,0.0,0.0
1,256,1.6368196554886038e-05,0.001237965024888656,2049.9834945000002,75.625178,57.0,2775.0,2.0265174286858566e-08,0.9999994998834729,0.0,0.0
1,512,6.959977032293987e-05,0.007496902839643653,3856.8529715,107.713868,67.0,2737.0,5.217855866522859e-07,0.9999980000379993,0.0,0.0
1,1024,0.00044873501788908764,0.05534481216457961,4785.640885,123.33503350000001,67.0,2745.0,2.4835180034446093e-05,0.9999990034237346,0.0,0.0
1,2048,0.0035103155172413795,0.46651379310344826,4894.1300065,132.89958000000001,66.0,2745.0,0.0016375904525445897,0.9999960704644317,0.0,1.0
1,4096,0.028007581081081083,3.7849324324324325,4907.209665,134.969799,67.5,2745.0,0.10614900017092768,0.9999980704794733,0.0,1.0
1,8192,0.22447450000000002,31.164,4898.1726610000005,138.826177,70.0,2730.0,6.99553532352,0.9999968816059042,0.0,0.0
1,16384,1.7932105,298.9175,4905.2270485,166.6860435,72.0,2730.0,536.0477437349999,0.9999983271251042,0.0,0.0
2,64,9.9198e-06,0.000336495,52.852748500000004,33.869034,48.5,2797.0,3.33413418455e-09,1.0000010066756548,0.0,0.0
2,128,9.874560938757087e-06,0.00040704165930809837,424.75816399999997,41.3126315,50.0,2790.0,4.018558062955642e-09,1.000001986712315,0.0,0.0
2,256,1.637607250458475e-05,0.0012409696751375424,2048.9873385,75.7920195,57.0,2775.0,2.0320759417484543e-08,1.0,0.0,0.0
2,512,6.825886402753872e-05,0.00739170395869191,3932.9284184999997,106.75401199999999,65.0,2748.0,5.08807534595525e-07,1.0000020359808783,0.0,0.0
2,1024,0.0004486943455031166,0.05500623330365093,4786.100237,122.6031485,66.5,2745.0,2.46786959652819e-05,0.9999985116054968,0.0,0.5
2,2048,0.0035233767361111112,0.47147395833333333,4875.991201000001,133.729569,68.0,2745.0,0.0016621508297526041,0.9999965540686253,0.0,0.5
2,4096,0.028131944444444446,3.898097222222222,4885.5186730000005,138.6642075,68.0,2731.5,0.10953701648572531,0.9999975275283965,0.0,0.0
2,8192,0.22447089999999997,31.161099999999998,4898.256035,138.82007299999998,70.0,2730.0,6.9947694311,0.9999986634581662,0.0,0.0
2,16384,1.79322,300.281,4905.1729545,167.4524835,73.0,2730.0,538.4732021110001,1.0000030670742812,0.0,0.0
3,64,9.93450120221797e-06,0.0003328180970606997,52.774283499999996,33.5518965,48.5,2797.0,3.3050627654863255e-09,1.000005419225758,0.0,0.0
3,128,9.920947202035968e-06,0.0004245956397689654,422.770218,42.9148225,51.0,2782.0,4.223841923244174e-09,1.0000050071583586,0.0,0.0
3,256,1.637327853013903e-05,0.0012479899127188173,2049.3384884999996,76.18963600000001,57.0,2775.0,2.0442138841265857e-08,1.0000024991816434,0.0,0.0
3,512,6.959931792873051e-05,0.007569738307349666,3856.8562675,108.78785,67.5,2733.0,5.267219821636394e-07,1.0000029999750002,0.0,0.0
3,1024,0.0004487412868632708,0.05553217158176944,4785.5772314999995,123.696892,67.5,2745.0,2.4919503298697216e-05,1.000002987250415,0.0,0.5
3,2048,0.003510524475524476,0.47516258741258743,4893.825021,134.9954845,68.0,2745.0,0.0016700962339845468,0.9999999985504002,0.0,0.0
3,4096,0.028136111111111112,3.8879305555555552,4884.776367,138.18685299999999,70.0,2730.0,0.10938816719483024,1.0000029618089563,0.0,0.0
3,8192,0.2244759,31.1496,4898.121252999999,138.76564050000002,70.0,2730.0,6.99234700236,1.0000004454795408,0.0,0.0
3,16384,1.7931895,302.8565,4905.269957500001,168.893031,75.0,2730.0,543.077882754,1.000003624859087,0.0,0.0
4,64,9.897531519314485e-06,0.00033184458005365406,52.9714905,33.558896000000004,48.0,2797.0,3.2909439807814654e-09,1.0000054348310425,0.0,0.0
4,128,9.920571233570831e-06,0.0004407619205195289,422.7861855,44.03391499999999,51.0,2782.0,4.358447073998479e-09,1.0000057554592838,0.0,0.0
4,256,1.6375454396594074e-05,0.0012582528246274766,2049.0571069999996,76.8605705,59.0,2775.0,2.0598345013757576e-08,1.0000059983716554,0.0,-0.5
4,512,6.763384043272482e-05,0.007253144016227181,3968.974233,106.750324,63.0,2767.0,4.916087365876382e-07,1.000004499020214,0.0,0.0
4,1024,0.0004507767012167643,0.056784587652095535,4763.9301395,125.97029649999999,70.0,2730.0,2.5597220271444065e-05,1.0000069980790272,0.0,0.0
4,2048,0.003510294117647059,0.4695865051903114,4894.1196199999995,133.4415085,67.5,2745.0,0.001656225935154033,1.0000029431977553,0.0,0.0
4,4096,0.02813541666666667,3.898458333333333,4884.8846885,138.55651749999998,70.0,2730.0,0.10968794404320988,1.0000044432186899,0.0,0.0
4,8192,0.2244737,31.1857,4898.1433605,138.931492,71.0,2730.0,7.000197978039999,1.000004455087153,0.0,0.0
4,16384,1.7932299999999999,298.19500000000005,4905.144572499999,166.29058750000002,72.0,2730.0,534.728049285,1.000006970640888,0.0,0.5
5,64,1.0075756380418918e-05,0.0003347796931087531,52.0342435,33.203019,48.5,2797.0,3.3867404294002133e-09,1.0000068342451505,0.0,0.0
5,128,1.003193120060518e-05,0.0004186242111759202,418.096856,41.7281745,49.0,2790.0,4.203116042249507e-09,1.0000034499575619,0.0,0.0
