schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok,source_file,session_number,checksum_bool,runtime_per_op_s,kernel_runtime_per_op_s,device_energy_per_op_j,edp_j_s,clock_change_pct,temperature_rise_c,kernel_fraction,throttle_mask,serious_throttle,outlier_scope
cpu-gpu-v2,2026-07-19T17:29:22,20260719_172746_session1,66,66,6,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4096,N=4096,37,1.037003,1.036998,1.037003,154.018,154.018,-1.0,4.162648649,148.522249,3.028725513e-11,28.02697094,28.02710486,5085241278000.0,4903.810468,201326592.0,148.522249,in_range,4,8,2745,2745,2745,13801,68,67,68,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.028027108108108104,0.028026972972972974,4.1626486486486485,0.11666700369174578,0.0,1,0.9999951784131774,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:29:24,20260719_172746_session1,68,68,8,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4096,N=4096,37,1.036784,1.036782,1.036784,154.467,154.467,-1.0,4.174783784,148.9867278,3.037554986e-11,28.02112806,28.02117911,5085241278000.0,4904.832995,201326592.0,148.986728,in_range,4,8,2745,2745,2745,13801,68,68,68,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.028021189189189187,0.02802113513513514,4.174783783783784,0.1169824062293645,0.0,0,0.9999980709578853,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:29:25,20260719_172746_session1,69,69,9,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4096,N=4096,37,1.040691,1.040623,1.040691,140.45,140.45,-1.0,3.795945946,134.9583644,2.761914181e-11,28.12493732,28.12679276,5085241278000.0,4886.729237,201326592.0,134.958364,in_range,4,8,2737,2745,2730,13801,69,68,69,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.028126783783783783,0.02812494594594595,3.7959459459459457,0.10676775087655221,-0.546448087431694,1,0.9999346587988174,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:29:26,20260719_172746_session1,70,70,10,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,4096,N=4096,37,1.040913,1.040914,1.040913,139.636,139.636,-1.0,3.773945946,134.1475588,2.745907074e-11,28.1327993,28.1327963,5085241278000.0,4885.363593,201326592.0,134.147559,in_range,4,8,2730,2730,2730,13801,69,69,69,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.028132783783783782,0.02813281081081081,3.773945945945946,0.10617160530898466,0.0,0,1.000000960695082,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:39,20260719_172746_session1,31,31,1,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,8192,N=8192,5,1.122478,1.12247,1.122478,156.016,156.016,-1.0,31.2032,138.9925261,2.837914508e-11,224.4939453,224.4955242,5497558139000.0,4897.733996,805306368.0,138.992526,in_range,4,8,2730,2730,2730,13801,70,70,70,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.22449560000000002,0.22449400000000003,31.2032,7.004981105920001,0.0,0,0.9999928729115404,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:40,20260719_172746_session1,32,32,2,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,8192,N=8192,5,1.122348,1.122348,1.122348,169.9,169.9,-1.0,33.98,151.3790218,3.090462997e-11,224.4695068,224.4696762,5497558139000.0,4898.267222,805306368.0,151.379022,in_range,4,8,2730,2730,2730,13801,70,70,70,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.2244696,0.2244696,33.980000000000004,7.6274770080000005,0.0,0,1.0,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:44,20260719_172746_session1,36,36,6,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,8192,N=8192,5,1.12244,1.122431,1.12244,170.371,170.371,-1.0,34.0742,151.7863093,3.099030437e-11,224.4861572,224.487967,5497558139000.0,4897.903912,805306368.0,151.786309,in_range,4,8,2730,2730,2730,13801,70,70,70,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.22448800000000002,0.2244862,34.074200000000005,7.649249009600002,0.0,0,0.9999919817540357,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:49,20260719_172746_session1,40,40,10,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,8192,N=8192,5,1.122365,1.122363,1.122365,168.551,168.551,-1.0,33.7102,150.1748251,3.06592483e-11,224.4726074,224.4730432,5497558139000.0,4898.199564,805306368.0,150.174825,in_range,4,8,2730,2730,2730,13801,70,70,70,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,0.224473,0.2244726,33.7102,7.5670297246,0.0,0,0.9999982180484958,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:13,20260719_172746_session1,14,14,4,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,16384,N=16384,1,1.793394,1.793387,1.793394,299.299,299.299,-1.0,299.299,166.8897092,3.402635684e-11,1793.386597,1793.393981,8796093022000.0,4904.73891,3221225472.0,166.889709,above,4,8,2730,2730,2730,13801,72,71,72,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,1.793394,1.793387,299.299,536.7610308059999,0.0,1,0.999996096786317,0,False,within_session_and_size
cpu-gpu-v2,2026-07-19T17:28:19,20260719_172746_session1,17,17,7,GEMM,cublas_gemm_ex_fp32_pedantic,gpu_resident,NVIDIA GeForce RTX 5060 Ti,-1,16384,N=16384,1,1.793414,1.793411,1.793414,300.695,300.695,-1.0,300.695,167.6662572,3.418506367e-11,1793.411499,1793.413923,8796093022000.0,4904.670806,3221225472.0,167.666257,above,4,8,2730,2730,2730,13801,73,72,73,0x0,-1,-1,-1.0,-1,t,gemm_5060ti_20260719_172746_session1.csv,1,True,1.793414,1.793411,300.695,539.27062273,0.0,1,0.9999983272127908,0,False,within_session_and_size
