Area,CPU_Annual_EUR,CPU_Extra_EUR,3090_Annual_EUR,3090_Extra_EUR,5050_Annual_EUR,5050_Extra_EUR
DE,0.15804500000000002,0.0,4.6434205,4.4853755,1.0553245,0.8972795
FR,0.30658175,0.0,2.6128525000000002,2.3062707500000004,0.10847799999999999,-0.19810375
PL,3.1854645,0.0,4.95816,1.7726955000000002,1.4471885,-1.7382760000000002
