Area,Hardware,Cost_per_Job_EUR,Annual_Cost_EUR,Extra_vs_CPU_per_Job_EUR,Extra_vs_CPU_Annual_EUR,Cost_Ratio_vs_CPU,N_Configs
DE,CPU,4.33e-07,0.15804500000000002,0.0,0.0,1.0,304
DE,3090,1.27217e-05,4.6434205,1.22887e-05,4.4853755,29.380369515011548,57
DE,5050,2.8913e-06,1.0553245,2.4583000000000002e-06,0.8972795,6.6773672055427244,57
FR,CPU,8.3995e-07,0.30658175,0.0,0.0,1.0,304
FR,3090,7.1585e-06,2.6128525000000002,6.31855e-06,2.3062707500000004,8.52253110304185,57
FR,5050,2.972e-07,0.10847799999999999,-5.4275e-07,-0.19810375,0.3538305851538782,57
PL,CPU,8.7273e-06,3.1854645,0.0,0.0,1.0,304
PL,3090,1.3584e-05,4.95816,4.8567000000000004e-06,1.7726955000000002,1.5564951359527002,57
PL,5050,3.9649e-06,1.4471885,-4.7624e-06,-1.7382760000000002,0.4543100386144626,57
