metric,platform_a,platform_b,from_problem_size,to_problem_size,from_state,to_state
edp_j_s,3090,5060ti,128,256,5060ti,3090
edp_j_s,AMD,3090,64,128,AMD,3090
edp_j_s,AMD,5060ti,64,128,AMD,5060ti
edp_j_s,INTEL,3090,64,128,INTEL,3090
edp_j_s,INTEL,5060ti,64,128,INTEL,5060ti
edp_j_s,INTEL,AMD,1024,2048,INTEL,AMD
efficiency_gflop_per_j,3090,5060ti,256,512,5060ti,uncertain
efficiency_gflop_per_j,3090,5060ti,512,1024,uncertain,3090
efficiency_gflop_per_j,AMD,3090,64,128,AMD,3090
efficiency_gflop_per_j,INTEL,3090,64,128,INTEL,3090
efficiency_gflop_per_j,INTEL,5060ti,64,128,INTEL,5060ti
efficiency_gflop_per_j,INTEL,AMD,1024,2048,INTEL,equivalent_or_uncertain
efficiency_gflop_per_j,INTEL,AMD,2048,4096,equivalent_or_uncertain,AMD
energy_j,3090,5060ti,256,512,5060ti,uncertain
energy_j,3090,5060ti,512,1024,uncertain,3090
energy_j,AMD,3090,64,128,AMD,3090
energy_j,INTEL,3090,64,128,INTEL,3090
energy_j,INTEL,5060ti,64,128,INTEL,5060ti
energy_j,INTEL,AMD,1024,2048,INTEL,equivalent_or_uncertain
energy_j,INTEL,AMD,2048,4096,equivalent_or_uncertain,AMD
runtime_s,AMD,5060ti,64,128,AMD,5060ti
runtime_s,INTEL,3090,64,128,INTEL,3090
runtime_s,INTEL,5060ti,64,128,INTEL,5060ti
runtime_s,INTEL,AMD,512,1024,INTEL,equivalent_or_uncertain
runtime_s,INTEL,AMD,1024,2048,equivalent_or_uncertain,AMD
throughput_gflops,AMD,5060ti,64,128,AMD,5060ti
throughput_gflops,INTEL,3090,64,128,INTEL,3090
throughput_gflops,INTEL,5060ti,64,128,INTEL,5060ti
throughput_gflops,INTEL,AMD,512,1024,INTEL,equivalent_or_uncertain
throughput_gflops,INTEL,AMD,1024,2048,equivalent_or_uncertain,AMD
