metric,policy,lower_is_better,problem_size,platform_a,platform_a_label,platform_b,platform_b_label,a_median,b_median,a_over_b_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_a_better,cliffs_delta_a_minus_b,a_configuration,b_configuration,a_selection_status,b_selection_status,energy_domain_a,energy_domain_b,inference_scope
edp_j_s,edp_opt,True,512,3090,RTX 3090,5060ti,RTX 5060 Ti,1.6351774961251068e-07,5.211011571438021e-07,0.31379272022492677,0.31044413400181536,0.3326176640950738,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,3090,RTX 3090,1.98758411106551e-05,1.6351774961251068e-07,121.55158175644564,109.43545071339568,133.85933172422082,clear_3090,0.0,1.0,16T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.98758411106551e-05,5.211011571438021e-07,38.14200148699766,34.34004776839733,42.004083829234084,clear_5060ti,0.0,1.0,16T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,3090,RTX 3090,9.863923528014535e-06,1.6351774961251068e-07,60.32325879844331,57.669519840108535,77.19554070084256,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,5060ti,RTX 5060 Ti,9.863923528014535e-06,5.211011571438021e-07,18.928999471195773,18.09627550469304,24.223398705751436,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,512,INTEL,Intel CPU,AMD,AMD CPU,9.863923528014535e-06,1.98758411106551e-05,0.49627703668483514,0.4506466454107381,0.635084624859265,clear_INTEL,1.0,-1.0,16T,16T,tie_or_uncertain,clear_leader,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,3090,RTX 3090,5060ti,RTX 5060 Ti,4.834098283702735e-06,2.4835180034446093e-05,0.19464720114764214,0.18885247040263953,0.19616860659080043,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,3090,RTX 3090,0.0008576660325907,4.834098283702735e-06,177.42006518199307,173.75234151895256,182.15290335457064,clear_3090,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.0008576660325907,2.4835180034446093e-05,34.53431911510718,33.50621760861672,35.45555281888413,clear_5060ti,0.0,1.0,16T,gpu_resident,tie_or_uncertain,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,3090,RTX 3090,0.0004620644390444,4.834098283702735e-06,95.58441138902047,89.07782493217503,99.4720059059663,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,5060ti,RTX 5060 Ti,0.0004620644390444,2.4835180034446093e-05,18.605238150217644,17.280077995900992,19.36194754213807,clear_5060ti,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,1024,INTEL,Intel CPU,AMD,AMD CPU,0.0004620644390444,0.0008576660325907,0.5387463435489801,0.49436336823387333,0.5606581521877495,clear_INTEL,1.0,-1.0,8T,16T,clear_leader,tie_or_uncertain,CPU package RAPL,CPU package RAPL,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,3090,RTX 3090,5060ti,RTX 5060 Ti,0.0001885706667215,0.0016621508297526,0.11344979248939008,0.11109548851538953,0.11515129831668076,clear_3090,1.0,-1.0,gpu_resident,gpu_resident,single_configuration,single_configuration,GPU board NVML,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,3090,RTX 3090,0.017877733615508,0.0001885706667215,94.80654614172639,90.70542788417544,97.73199509331576,clear_3090,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.017877733615508,0.0016621508297526,10.755782986414644,10.29051197112104,11.0960891231565,clear_5060ti,0.0,1.0,64T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
edp_j_s,edp_opt,True,2048,INTEL,Intel CPU,3090,RTX 3090,0.0300952732327889,0.0001885706667215,159.59679072056636,151.42828100451794,165.16524518508612,clear_3090,0.0,1.0,8T,gpu_resident,clear_leader,single_configuration,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
