problem_size,energy_efficiency_match,energy_leaders,efficiency_leaders,runtime_throughput_match,runtime_leaders,throughput_leaders
64,True,INTEL,INTEL,True,INTEL,INTEL
128,True,5060ti,5060ti,True,3090,3090
256,True,5060ti,5060ti,True,3090,3090
512,True,"3090,5060ti","3090,5060ti",True,3090,3090
1024,True,3090,3090,True,3090,3090
2048,True,3090,3090,True,3090,3090
4096,True,3090,3090,True,3090,3090
8192,True,3090,3090,True,3090,3090
16384,True,3090,3090,True,3090,3090
