platform,platform_label,device_kind,energy_domain,problem_size,policy,optimized_metric,lower_is_better,exact_configuration,leader_configurations,leader_count,selection_status,gap_to_second_pct,practical_gap_gt_tolerance,ci_separated_from_all,exact_num_threads,selected_runtime_s_median,selected_runtime_s_ci95_low,selected_runtime_s_ci95_high,selected_runtime_s_session_cv_pct,selected_energy_j_median,selected_energy_j_ci95_low,selected_energy_j_ci95_high,selected_energy_j_session_cv_pct,selected_power_w_median,selected_power_w_ci95_low,selected_power_w_ci95_high,selected_power_w_session_cv_pct,selected_throughput_gflops_median,selected_throughput_gflops_ci95_low,selected_throughput_gflops_ci95_high,selected_throughput_gflops_session_cv_pct,selected_efficiency_gflop_per_j_median,selected_efficiency_gflop_per_j_ci95_low,selected_efficiency_gflop_per_j_ci95_high,selected_efficiency_gflop_per_j_session_cv_pct,selected_edp_j_s_median,selected_edp_j_s_ci95_low,selected_edp_j_s_ci95_high,selected_edp_j_s_session_cv_pct,selected_temperature_c_median,selected_temperature_c_ci95_low,selected_temperature_c_ci95_high,selected_temperature_c_session_cv_pct,selected_clock_mhz_median,selected_clock_mhz_ci95_low,selected_clock_mhz_ci95_high,selected_clock_mhz_session_cv_pct
INTEL,Intel CPU,CPU,CPU package RAPL,8192,edp_opt,edp_j_s,True,10T,"8T,10T",2,tie_or_uncertain,10.077520959806963,True,False,10,0.755188,0.7368155000000001,0.80182475,3.7626809576953986,127.77964125,124.99429375,132.177335,2.203729544461992,170.38554036905856,155.70629452800267,175.12012066637885,4.66361610830067,1455.9442519955296,1371.261772321196,1492.2482328018343,3.7227406333257784,8.604748119654,8.318458136381702,8.796494582185677,2.181946222507989,99.85258643626275,92.75759992961574,101.27165404529174,3.820588605492666,99.0,91.0,100.0,3.7878707362626467,,,,
3090,RTX 3090,GPU,GPU board NVML,8192,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.0417390208333333,0.0417100624999999,0.0417959791666666,0.07629847535582182,13.143166666666668,13.074854166666666,13.206083333333334,0.3589434259531408,315.195922,313.069397,316.2808735,0.3726805291247151,26342.53525415518,26306.636420493043,26360.824268148786,0.07625172724953604,83.65652324599601,83.257965289431,84.09360546285252,0.3591455298559549,0.5482763006675347,0.5463210667395832,0.5512588548602431,0.3279399324171236,64.0,64.0,66.0,1.3845622151701487,1605.0,1605.0,1605.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,8192,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.2244745,0.2244708999999999,0.2244768999999999,0.0010267441863771715,31.1611,30.9106,31.1857,0.3681991887833019,138.82007299999998,137.8195865,138.931492,0.33068238312561166,4898.158266422244,4898.1058976491595,4898.236821681566,0.0010267491251836226,35.28475014604748,35.25691672067646,35.57069832924628,0.3699671015888667,6.9947694311,6.93525658862,7.000197978039999,0.3892809516380247,70.0,69.0,71.0,1.0101525445522108,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,8192,efficiency_opt,efficiency_gflop_per_j,False,64T,64T,1,clear_leader,13.194663968407937,True,True,64,0.4880948333333333,0.4770585,0.490435,1.1940741423652654,116.891187,115.30945366666666,117.70901849999998,0.953805684670102,240.1589660384522,238.3263602726077,242.3353030846007,0.6440259176685548,2252.6598371614264,2241.911013235189,2304.773162570209,1.2012458931907626,9.406283364852818,9.340929367922648,9.535312091187574,0.9556312900793078,57.321049020204,55.16649140748928,57.65646035702562,2.1006553228598634,68.0,64.5,74.5,5.453003337879091,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,8192,efficiency_opt,efficiency_gflop_per_j,False,8T,"8T,10T",2,tie_or_uncertain,0.5427073029358853,False,False,8,0.867264,0.81153975,0.91774975,5.132805222222212,127.089915,124.132342,134.10627,2.874825722205285,146.77398899650458,138.39250290282388,165.3332138539441,6.652675647612955,1267.7934605564164,1198.051677786891,1354.84630022867,5.0865849225035,8.651446716098599,8.198808510414912,8.85757579419552,2.8114411252798543,109.9152517632865,101.183878706158,116.46427916039138,5.019891051708249,99.0,86.0,99.0,6.030888735995283,,,,
3090,RTX 3090,GPU,GPU board NVML,8192,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.0417390208333333,0.0417100624999999,0.0417959791666666,0.07629847535582182,13.143166666666668,13.074854166666666,13.206083333333334,0.3589434259531408,315.195922,313.069397,316.2808735,0.3726805291247151,26342.53525415518,26306.636420493043,26360.824268148786,0.07625172724953604,83.65652324599601,83.257965289431,84.09360546285252,0.3591455298559549,0.5482763006675347,0.5463210667395832,0.5512588548602431,0.3279399324171236,64.0,64.0,66.0,1.3845622151701487,1605.0,1605.0,1605.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,8192,energy_opt,energy_j,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.2244745,0.2244708999999999,0.2244768999999999,0.0010267441863771715,31.1611,30.9106,31.1857,0.3681991887833019,138.82007299999998,137.8195865,138.931492,0.33068238312561166,4898.158266422244,4898.1058976491595,4898.236821681566,0.0010267491251836226,35.28475014604748,35.25691672067646,35.57069832924628,0.3699671015888667,6.9947694311,6.93525658862,7.000197978039999,0.3892809516380247,70.0,69.0,71.0,1.0101525445522108,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,8192,energy_opt,energy_j,True,64T,64T,1,clear_leader,13.194663968407916,True,True,64,0.4880948333333333,0.4770585,0.490435,1.1940741423652654,116.891187,115.30945366666666,117.70901849999998,0.953805684670102,240.1589660384522,238.3263602726077,242.3353030846007,0.6440259176685548,2252.6598371614264,2241.911013235189,2304.773162570209,1.2012458931907626,9.406283364852818,9.340929367922648,9.535312091187574,0.9556312900793078,57.321049020204,55.16649140748928,57.65646035702562,2.1006553228598634,68.0,64.5,74.5,5.453003337879091,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,8192,energy_opt,energy_j,True,8T,"8T,10T",2,tie_or_uncertain,0.5427073029358631,False,False,8,0.867264,0.81153975,0.91774975,5.132805222222212,127.089915,124.132342,134.10627,2.874825722205285,146.77398899650458,138.39250290282388,165.3332138539441,6.652675647612955,1267.7934605564164,1198.051677786891,1354.84630022867,5.0865849225035,8.651446716098599,8.198808510414912,8.85757579419552,2.8114411252798543,109.9152517632865,101.183878706158,116.46427916039138,5.019891051708249,99.0,86.0,99.0,6.030888735995283,,,,
3090,RTX 3090,GPU,GPU board NVML,8192,runtime_opt,runtime_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.0417390208333333,0.0417100624999999,0.0417959791666666,0.07629847535582182,13.143166666666668,13.074854166666666,13.206083333333334,0.3589434259531408,315.195922,313.069397,316.2808735,0.3726805291247151,26342.53525415518,26306.636420493043,26360.824268148786,0.07625172724953604,83.65652324599601,83.257965289431,84.09360546285252,0.3591455298559549,0.5482763006675347,0.5463210667395832,0.5512588548602431,0.3279399324171236,64.0,64.0,66.0,1.3845622151701487,1605.0,1605.0,1605.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,8192,runtime_opt,runtime_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.2244745,0.2244708999999999,0.2244768999999999,0.0010267441863771715,31.1611,30.9106,31.1857,0.3681991887833019,138.82007299999998,137.8195865,138.931492,0.33068238312561166,4898.158266422244,4898.1058976491595,4898.236821681566,0.0010267491251836226,35.28475014604748,35.25691672067646,35.57069832924628,0.3699671015888667,6.9947694311,6.93525658862,7.000197978039999,0.3892809516380247,70.0,69.0,71.0,1.0101525445522108,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,8192,runtime_opt,runtime_s,True,32T,"32T,64T",2,tie_or_uncertain,4.9768651280698295,True,False,32,0.4649546666666666,0.4590096666666666,0.4860983333333333,2.340058570271298,132.31458633333332,129.79737749999998,138.32444800000002,2.5073607355246312,284.5295479510292,283.45142276703245,284.6457308733342,0.17238350703980782,2364.771679051148,2261.911947396103,2395.399721667445,2.2983096950607638,8.309829310927647,7.948787388444882,8.47098492244961,2.469708443445289,61.5301658349761,59.55043793361578,67.24497188132301,4.894425558361022,77.0,74.0,80.0,2.9859570514192835,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,8192,runtime_opt,runtime_s,True,10T,10T,1,clear_leader,14.840807851819694,True,True,10,0.755188,0.7368155000000001,0.80182475,3.7626809576953986,127.77964125,124.99429375,132.177335,2.203729544461992,170.38554036905856,155.70629452800267,175.12012066637885,4.66361610830067,1455.9442519955296,1371.261772321196,1492.2482328018343,3.7227406333257784,8.604748119654,8.318458136381702,8.796494582185677,2.181946222507989,99.85258643626275,92.75759992961574,101.27165404529174,3.820588605492666,99.0,91.0,100.0,3.7878707362626467,,,,
3090,RTX 3090,GPU,GPU board NVML,8192,throughput_opt,throughput_gflops,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.0417390208333333,0.0417100624999999,0.0417959791666666,0.07629847535582182,13.143166666666668,13.074854166666666,13.206083333333334,0.3589434259531408,315.195922,313.069397,316.2808735,0.3726805291247151,26342.53525415518,26306.636420493043,26360.824268148786,0.07625172724953604,83.65652324599601,83.257965289431,84.09360546285252,0.3591455298559549,0.5482763006675347,0.5463210667395832,0.5512588548602431,0.3279399324171236,64.0,64.0,66.0,1.3845622151701487,1605.0,1605.0,1605.0,0.0
5060ti,RTX 5060 Ti,GPU,GPU board NVML,8192,throughput_opt,throughput_gflops,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.2244745,0.2244708999999999,0.2244768999999999,0.0010267441863771715,31.1611,30.9106,31.1857,0.3681991887833019,138.82007299999998,137.8195865,138.931492,0.33068238312561166,4898.158266422244,4898.1058976491595,4898.236821681566,0.0010267491251836226,35.28475014604748,35.25691672067646,35.57069832924628,0.3699671015888667,6.9947694311,6.93525658862,7.000197978039999,0.3892809516380247,70.0,69.0,71.0,1.0101525445522108,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,8192,throughput_opt,throughput_gflops,False,32T,"32T,64T",2,tie_or_uncertain,4.9768651280698295,True,False,32,0.4649546666666666,0.4590096666666666,0.4860983333333333,2.340058570271298,132.31458633333332,129.79737749999998,138.32444800000002,2.5073607355246312,284.5295479510292,283.45142276703245,284.6457308733342,0.17238350703980782,2364.771679051148,2261.911947396103,2395.399721667445,2.2983096950607638,8.309829310927647,7.948787388444882,8.47098492244961,2.469708443445289,61.5301658349761,59.55043793361578,67.24497188132301,4.894425558361022,77.0,74.0,80.0,2.9859570514192835,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,8192,throughput_opt,throughput_gflops,False,10T,10T,1,clear_leader,14.840807851819694,True,True,10,0.755188,0.7368155000000001,0.80182475,3.7626809576953986,127.77964125,124.99429375,132.177335,2.203729544461992,170.38554036905856,155.70629452800267,175.12012066637885,4.66361610830067,1455.9442519955296,1371.261772321196,1492.2482328018343,3.7227406333257784,8.604748119654,8.318458136381702,8.796494582185677,2.181946222507989,99.85258643626275,92.75759992961574,101.27165404529174,3.820588605492666,99.0,91.0,100.0,3.7878707362626467,,,,
3090,RTX 3090,GPU,GPU board NVML,16384,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.33249425,0.331504875,0.333069375,0.18463947990626517,103.623875,103.080375,104.2845,0.4464049467358322,311.1984275,310.739581,314.5210985,0.5022087264410979,26454.872594662913,26409.19184541659,26533.827058223505,0.1846914970170662,84.88481078523651,84.34707959675696,85.33237313317883,0.445582524873521,34.50502702403125,34.18336661315625,34.562527668875,0.46755345532043835,63.0,62.0,65.0,2.1094980919809334,1597.0,1590.0,1601.0,0.34720880253653513
5060ti,RTX 5060 Ti,GPU,GPU board NVML,16384,edp_opt,edp_j_s,True,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,1.79322,1.7931895,1.793286,0.002013991306369615,298.9525,298.19500000000005,302.8565,0.615831715853744,166.717081,166.29058750000002,168.893031,0.6167677490922944,4905.194578583776,4905.014048070414,4905.278010053037,0.0020139601573068355,29.423045541375306,29.04376502471633,29.497788434440544,0.612614317825053,536.0733924875001,534.728049285,543.077882754,0.6149146025869215,72.5,72.0,75.0,1.7078051574744486,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,16384,edp_opt,edp_j_s,True,64T,"32T,64T",2,tie_or_uncertain,3.4320134854034734,True,False,64,3.8223485,3.6976105,3.865012,1.6905805084436625,954.040491,920.866684,966.8331945,1.7987550709574789,249.41643262495097,248.77284958904207,249.96795809931763,0.1925318586766728,2301.227379504511,2275.82554005214,2378.858731120544,1.7200181790091382,9.219831972737518,9.097839288355132,9.551972261609151,1.8252680529376413,3650.454205423579,3406.0035178617627,3732.6934711303625,3.404513757913328,79.5,79.0,82.5,1.8221724671391566,,,,
INTEL,Intel CPU,CPU,CPU package RAPL,16384,edp_opt,edp_j_s,True,10T,"8T,10T",2,tie_or_uncertain,5.129396952873133,True,False,10,6.532229,6.5039305,6.982886499999999,3.3357498573363142,1088.0854405,1034.2696905,1112.246207,3.180555019807575,161.89787916859024,148.06244682460152,170.74908774509498,5.7188010036792924,1346.5683799830042,1259.6643268092644,1352.4272779679916,3.285294391327996,8.084009485657667,7.908404602190745,8.504641587201187,3.2120070757417505,7227.848157785047,6857.4352150891855,7437.619499021732,2.922785404639796,98.5,86.0,99.5,5.910273257956757,,,,
3090,RTX 3090,GPU,GPU board NVML,16384,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,0.33249425,0.331504875,0.333069375,0.18463947990626517,103.623875,103.080375,104.2845,0.4464049467358322,311.1984275,310.739581,314.5210985,0.5022087264410979,26454.872594662913,26409.19184541659,26533.827058223505,0.1846914970170662,84.88481078523651,84.34707959675696,85.33237313317883,0.445582524873521,34.50502702403125,34.18336661315625,34.562527668875,0.46755345532043835,63.0,62.0,65.0,2.1094980919809334,1597.0,1590.0,1601.0,0.34720880253653513
5060ti,RTX 5060 Ti,GPU,GPU board NVML,16384,efficiency_opt,efficiency_gflop_per_j,False,gpu_resident,gpu_resident,1,single_configuration,,False,True,-1,1.79322,1.7931895,1.793286,0.002013991306369615,298.9525,298.19500000000005,302.8565,0.615831715853744,166.717081,166.29058750000002,168.893031,0.6167677490922944,4905.194578583776,4905.014048070414,4905.278010053037,0.0020139601573068355,29.423045541375306,29.04376502471633,29.497788434440544,0.612614317825053,536.0733924875001,534.728049285,543.077882754,0.6149146025869215,72.5,72.0,75.0,1.7078051574744486,2730.0,2730.0,2730.0,0.0
AMD,AMD CPU,CPU,CPU package RAPL,16384,efficiency_opt,efficiency_gflop_per_j,False,64T,64T,1,clear_leader,8.764814783946129,True,True,64,3.8223485,3.6976105,3.865012,1.6905805084436625,954.040491,920.866684,966.8331945,1.7987550709574789,249.41643262495097,248.77284958904207,249.96795809931763,0.1925318586766728,2301.227379504511,2275.82554005214,2378.858731120544,1.7200181790091382,9.219831972737518,9.097839288355132,9.551972261609151,1.8252680529376413,3650.454205423579,3406.0035178617627,3732.6934711303625,3.404513757913328,79.5,79.0,82.5,1.8221724671391566,,,,
