platform,platform_label_leader,problem_size,policy,exact_configuration,selection_status,selected_configuration_stable,runtime_s_session_cv_pct,energy_j_session_cv_pct,throughput_gflops_session_cv_pct
3090,RTX 3090,64,edp_opt,gpu_resident,single_configuration,True,0.0723767038925876,0.2497821909281841,0.0723141733215604
5060ti,RTX 5060 Ti,64,edp_opt,gpu_resident,single_configuration,True,1.1016885909169625,0.7999913726539977,1.1009273973474911
AMD,AMD CPU,64,edp_opt,8T,tie_or_uncertain,True,0.2817695699608742,0.8911242197925672,0.2812438547712971
INTEL,Intel CPU,64,edp_opt,16T,tie_or_uncertain,False,6.591047699133479,18.439956152393368,6.435827071104226
3090,RTX 3090,64,efficiency_opt,gpu_resident,single_configuration,True,0.0723767038925876,0.2497821909281841,0.0723141733215604
5060ti,RTX 5060 Ti,64,efficiency_opt,gpu_resident,single_configuration,True,1.1016885909169625,0.7999913726539977,1.1009273973474911
AMD,AMD CPU,64,efficiency_opt,8T,tie_or_uncertain,True,0.2817695699608742,0.8911242197925672,0.2812438547712971
INTEL,Intel CPU,64,efficiency_opt,16T,tie_or_uncertain,False,6.591047699133479,18.439956152393368,6.435827071104226
3090,RTX 3090,64,energy_opt,gpu_resident,single_configuration,True,0.0723767038925876,0.2497821909281841,0.0723141733215604
5060ti,RTX 5060 Ti,64,energy_opt,gpu_resident,single_configuration,True,1.1016885909169625,0.7999913726539977,1.1009273973474911
AMD,AMD CPU,64,energy_opt,8T,tie_or_uncertain,True,0.2817695699608742,0.8911242197925672,0.2812438547712971
INTEL,Intel CPU,64,energy_opt,16T,tie_or_uncertain,False,6.591047699133479,18.439956152393368,6.435827071104226
3090,RTX 3090,64,runtime_opt,gpu_resident,single_configuration,True,0.0723767038925876,0.2497821909281841,0.0723141733215604
5060ti,RTX 5060 Ti,64,runtime_opt,gpu_resident,single_configuration,True,1.1016885909169625,0.7999913726539977,1.1009273973474911
AMD,AMD CPU,64,runtime_opt,8T,tie_or_uncertain,True,0.2817695699608742,0.8911242197925672,0.2812438547712971
INTEL,Intel CPU,64,runtime_opt,16T,tie_or_uncertain,False,6.591047699133479,18.439956152393368,6.435827071104226
3090,RTX 3090,64,throughput_opt,gpu_resident,single_configuration,True,0.0723767038925876,0.2497821909281841,0.0723141733215604
5060ti,RTX 5060 Ti,64,throughput_opt,gpu_resident,single_configuration,True,1.1016885909169625,0.7999913726539977,1.1009273973474911
AMD,AMD CPU,64,throughput_opt,8T,tie_or_uncertain,True,0.2817695699608742,0.8911242197925672,0.2812438547712971
INTEL,Intel CPU,64,throughput_opt,16T,tie_or_uncertain,False,6.591047699133479,18.439956152393368,6.435827071104226
3090,RTX 3090,128,edp_opt,gpu_resident,single_configuration,True,0.1921347441686911,0.8803947535253606,0.1916415996433819
5060ti,RTX 5060 Ti,128,edp_opt,gpu_resident,single_configuration,True,0.8919178741576653,3.3251448440582454,0.8914114513846403
AMD,AMD CPU,128,edp_opt,4T,clear_leader,True,0.9401625199657636,0.9908698529992837,0.9306916692417608
INTEL,Intel CPU,128,edp_opt,4T,tie_or_uncertain,True,2.016669923380365,3.971160644669073,2.0369170939648886
3090,RTX 3090,128,efficiency_opt,gpu_resident,single_configuration,True,0.1921347441686911,0.8803947535253606,0.1916415996433819
5060ti,RTX 5060 Ti,128,efficiency_opt,gpu_resident,single_configuration,True,0.8919178741576653,3.3251448440582454,0.8914114513846403
AMD,AMD CPU,128,efficiency_opt,4T,clear_leader,True,0.9401625199657636,0.9908698529992837,0.9306916692417608
INTEL,Intel CPU,128,efficiency_opt,4T,tie_or_uncertain,True,2.016669923380365,3.971160644669073,2.0369170939648886
3090,RTX 3090,128,energy_opt,gpu_resident,single_configuration,True,0.1921347441686911,0.8803947535253606,0.1916415996433819
5060ti,RTX 5060 Ti,128,energy_opt,gpu_resident,single_configuration,True,0.8919178741576653,3.3251448440582454,0.8914114513846403
AMD,AMD CPU,128,energy_opt,4T,clear_leader,True,0.9401625199657636,0.9908698529992837,0.9306916692417608
INTEL,Intel CPU,128,energy_opt,4T,tie_or_uncertain,True,2.016669923380365,3.971160644669073,2.0369170939648886
3090,RTX 3090,128,runtime_opt,gpu_resident,single_configuration,True,0.1921347441686911,0.8803947535253606,0.1916415996433819
5060ti,RTX 5060 Ti,128,runtime_opt,gpu_resident,single_configuration,True,0.8919178741576653,3.3251448440582454,0.8914114513846403
AMD,AMD CPU,128,runtime_opt,4T,clear_leader,True,0.9401625199657636,0.9908698529992837,0.9306916692417608
INTEL,Intel CPU,128,runtime_opt,10T,tie_or_uncertain,False,4.081706591125618,7.313309563148166,3.9554366800754632
3090,RTX 3090,128,throughput_opt,gpu_resident,single_configuration,True,0.1921347441686911,0.8803947535253606,0.1916415996433819
5060ti,RTX 5060 Ti,128,throughput_opt,gpu_resident,single_configuration,True,0.8919178741576653,3.3251448440582454,0.8914114513846403
AMD,AMD CPU,128,throughput_opt,4T,clear_leader,True,0.9401625199657636,0.9908698529992837,0.9306916692417608
INTEL,Intel CPU,128,throughput_opt,10T,tie_or_uncertain,False,4.081706591125618,7.313309563148166,3.9554366800754632
3090,RTX 3090,256,edp_opt,gpu_resident,single_configuration,True,0.4762355759742264,0.7336255165564198,0.4754084639916678
5060ti,RTX 5060 Ti,256,edp_opt,gpu_resident,single_configuration,True,0.0196008124223967,0.7779566046445838,0.0196024345970663
AMD,AMD CPU,256,edp_opt,16T,tie_or_uncertain,True,4.091778886170331,2.462840823267307,4.209303414504252
INTEL,Intel CPU,256,edp_opt,8T,clear_leader,True,0.9719165427341558,4.3945303636349085,0.9714840982431864
3090,RTX 3090,256,efficiency_opt,gpu_resident,single_configuration,True,0.4762355759742264,0.7336255165564198,0.4754084639916678
5060ti,RTX 5060 Ti,256,efficiency_opt,gpu_resident,single_configuration,True,0.0196008124223967,0.7779566046445838,0.0196024345970663
AMD,AMD CPU,256,efficiency_opt,4T,clear_leader,True,0.5295225009011734,0.585776795581012,0.5296930310580327
INTEL,Intel CPU,256,efficiency_opt,8T,clear_leader,True,0.9719165427341558,4.3945303636349085,0.9714840982431864
3090,RTX 3090,256,energy_opt,gpu_resident,single_configuration,True,0.4762355759742264,0.7336255165564198,0.4754084639916678
5060ti,RTX 5060 Ti,256,energy_opt,gpu_resident,single_configuration,True,0.0196008124223967,0.7779566046445838,0.0196024345970663
AMD,AMD CPU,256,energy_opt,4T,clear_leader,True,0.5295225009011734,0.585776795581012,0.5296930310580327
INTEL,Intel CPU,256,energy_opt,8T,clear_leader,True,0.9719165427341558,4.3945303636349085,0.9714840982431864
3090,RTX 3090,256,runtime_opt,gpu_resident,single_configuration,True,0.4762355759742264,0.7336255165564198,0.4754084639916678
5060ti,RTX 5060 Ti,256,runtime_opt,gpu_resident,single_configuration,True,0.0196008124223967,0.7779566046445838,0.0196024345970663
AMD,AMD CPU,256,runtime_opt,16T,tie_or_uncertain,True,4.091778886170331,2.462840823267307,4.209303414504252
INTEL,Intel CPU,256,runtime_opt,8T,clear_leader,True,0.9719165427341558,4.3945303636349085,0.9714840982431864
3090,RTX 3090,256,throughput_opt,gpu_resident,single_configuration,True,0.4762355759742264,0.7336255165564198,0.4754084639916678
5060ti,RTX 5060 Ti,256,throughput_opt,gpu_resident,single_configuration,True,0.0196008124223967,0.7779566046445838,0.0196024345970663
AMD,AMD CPU,256,throughput_opt,16T,tie_or_uncertain,True,4.091778886170331,2.462840823267307,4.209303414504252
INTEL,Intel CPU,256,throughput_opt,8T,clear_leader,True,0.9719165427341558,4.3945303636349085,0.9714840982431864
3090,RTX 3090,512,edp_opt,gpu_resident,single_configuration,True,0.2662193025792478,0.5992302516608579,0.2663809135367323
5060ti,RTX 5060 Ti,512,edp_opt,gpu_resident,single_configuration,True,1.3520591005167746,1.6399165693912348,1.361584871314968
AMD,AMD CPU,512,edp_opt,16T,clear_leader,False,5.078135499711326,2.4128686286898446,5.0212261168567895
INTEL,Intel CPU,512,edp_opt,16T,tie_or_uncertain,False,7.707923866625062,4.895470531583963,7.110043169664097
3090,RTX 3090,512,efficiency_opt,gpu_resident,single_configuration,True,0.2662193025792478,0.5992302516608579,0.2663809135367323
5060ti,RTX 5060 Ti,512,efficiency_opt,gpu_resident,single_configuration,True,1.3520591005167746,1.6399165693912348,1.361584871314968
