platform,platform_label,problem_size,configuration,num_threads,runtime_s_session_cv_pct,energy_j_session_cv_pct,throughput_gflops_session_cv_pct,power_w_session_cv_pct,temperature_c_session_cv_pct,runtime_stable_5pct,energy_stable_5pct,throughput_stable_5pct
3090,RTX 3090,64,gpu_resident,-1,0.07237670389258764,0.2497821909281841,0.07231417332156044,0.23188316365763503,1.6755561029330441,True,True,True
5060ti,RTX 5060 Ti,64,gpu_resident,-1,1.1016885909169623,0.7999913726539977,1.1009273973474911,0.7438881235224098,0.4619975160123533,True,True,True
AMD,AMD CPU,64,1T,1,0.2997022410075897,1.0397472708201365,0.2993700589336953,0.7777654475108376,3.4020690871988584,True,True,True
AMD,AMD CPU,64,2T,2,0.10245275595743127,0.2901998962692916,0.10250133178914798,0.2676967388709458,0.8881747146052653,True,True,True
AMD,AMD CPU,64,4T,4,0.32350522183073505,1.132972471029937,0.3230878401638275,0.8067175622906305,2.6277847078785985,True,True,True
AMD,AMD CPU,64,8T,8,0.28176956996087427,0.8911242197925672,0.28124385477129715,0.6219567275449548,2.894166677294979,True,True,True
AMD,AMD CPU,64,10T,10,0.38786735692611896,0.9755889396692323,0.38952051805625393,0.6027183756472457,2.0605639793618344,True,True,True
AMD,AMD CPU,64,16T,16,0.22521233967033563,0.5359489475469742,0.22561576470439298,0.36686752857079913,1.3432530769323567,True,True,True
AMD,AMD CPU,64,20T,20,0.39926278200926274,0.9024487863405629,0.4001638048242016,0.515688484523027,2.73972602739726,True,True,True
AMD,AMD CPU,64,32T,32,0.35020877542303586,1.0231270200317228,0.35156284509816516,0.6801942674657279,3.4430453766834375,True,True,True
AMD,AMD CPU,64,64T,64,0.4816992705858707,1.5031838853743296,0.4819666307192304,1.0785955459398837,4.172461729888868,True,True,True
INTEL,Intel CPU,64,1T,1,1.5460627484821163,8.360876175946599,1.5575653597107493,7.085782526047042,6.101884970725289,True,False,True
INTEL,Intel CPU,64,2T,2,4.837426683086316,15.990642431913418,4.862601999949225,11.914714005273279,5.952967341626987,True,False,True
INTEL,Intel CPU,64,4T,4,6.391228089635282,12.938393433745365,6.5267626899903055,7.715379892694881,6.421264586426017,False,False,False
INTEL,Intel CPU,64,8T,8,4.754418193077073,11.881399037869251,4.691994563090216,8.253973162822641,2.9295037818638927,True,False,True
INTEL,Intel CPU,64,10T,10,6.135213055042369,13.887690227974977,6.026517419799641,8.369833080828233,5.339287448788256,False,False,False
INTEL,Intel CPU,64,16T,16,6.591047699133479,18.439956152393368,6.435827071104226,12.345748295423164,14.49506474947585,False,False,False
INTEL,Intel CPU,64,20T,20,4.342704063378102,14.802304689346844,4.259296374969229,10.455682166197995,5.712295597705615,True,False,True
3090,RTX 3090,128,gpu_resident,-1,0.19213474416869117,0.8803947535253606,0.19164159964338193,0.8207917867257754,2.3211780216677482,True,True,True
5060ti,RTX 5060 Ti,128,gpu_resident,-1,0.8919178741576653,3.3251448440582454,0.8914114513846403,2.7433886815367194,2.0,True,True,True
AMD,AMD CPU,128,1T,1,0.6225652860562777,1.3655948962159836,0.6217749491348793,0.8370795156480686,4.0823017195432305,True,True,True
AMD,AMD CPU,128,2T,2,0.6018390845703748,1.3896982840713805,0.6038751963263708,0.9114788776090466,4.787592609057626,True,True,True
AMD,AMD CPU,128,4T,4,0.9401625199657637,0.9908698529992835,0.9306916692417607,0.3087713927526319,3.144861502639349,True,True,True
AMD,AMD CPU,128,8T,8,2.813926115020732,2.141928212613417,2.7512577428059135,0.8331578206034452,2.4598318450830816,True,True,True
AMD,AMD CPU,128,10T,10,0.9883482539932991,1.1066538542240332,0.989514797768106,0.26672914509496587,3.1717276276592763,True,True,True
AMD,AMD CPU,128,16T,16,2.8859613719662804,2.4928106189090773,2.843740671040547,0.38998882996027306,2.2915055508466518,True,True,True
AMD,AMD CPU,128,20T,20,1.9622246033839597,1.3846132813302616,1.952758045164003,0.7631106465708539,5.310403306548564,True,True,True
AMD,AMD CPU,128,32T,32,3.8555263303125114,2.6428689845196733,3.6919162534500884,1.2026883173991492,3.574349910319555,True,True,True
AMD,AMD CPU,128,64T,64,0.9525457693307026,0.8877124266308762,0.9513640061622254,0.5980492460774282,4.969995128810302,True,True,True
INTEL,Intel CPU,128,1T,1,5.010297106255455,14.061614236454535,5.317755644523326,10.77387643799019,6.265237080008889,False,False,False
INTEL,Intel CPU,128,2T,2,2.3453504975343527,6.922071117453717,2.3836533180323953,7.231461050417723,5.074319399070488,True,False,True
INTEL,Intel CPU,128,4T,4,2.016669923380365,3.971160644669073,2.0369170939648886,6.239109042819539,6.104520832817539,True,True,True
INTEL,Intel CPU,128,8T,8,1.791706009876997,5.384002291287479,1.8127270364926336,6.408311695292853,11.08108860372338,True,False,True
INTEL,Intel CPU,128,10T,10,4.081706591125618,7.313309563148166,3.9554366800754632,5.609482245856743,9.453785610554526,True,False,True
INTEL,Intel CPU,128,16T,16,1.960976614219452,7.352357672959399,1.9403495588832436,6.9494145859053305,11.291995079911112,True,False,True
INTEL,Intel CPU,128,20T,20,1.8016495284240166,4.9641101150289835,1.8279643663975929,3.9980504136151533,7.127724797631889,True,True,True
3090,RTX 3090,256,gpu_resident,-1,0.4762355759742264,0.7336255165564198,0.47540846399166786,0.5175584818001336,2.244783432338246,True,True,True
5060ti,RTX 5060 Ti,256,gpu_resident,-1,0.019600812422396755,0.7779566046445838,0.01960243459706638,0.7865456973162315,1.8952337629936542,True,True,True
AMD,AMD CPU,256,1T,1,2.4761436382619997,2.3697331093384926,2.4430919301946057,0.40108768226859287,1.611506409725775,True,True,True
AMD,AMD CPU,256,2T,2,0.35738932294090847,0.4533256025427927,0.3571783480454266,0.4149933246209652,1.4426245016127675,True,True,True
AMD,AMD CPU,256,4T,4,0.5295225009011734,0.585776795581012,0.5296930310580327,0.0941210308733434,1.0056009934303793,True,True,True
AMD,AMD CPU,256,8T,8,3.103793650964375,2.5293782266799383,3.136960785142856,0.5902758872705635,1.8075669141822326,True,True,True
AMD,AMD CPU,256,10T,10,3.5213456922814466,2.3156761898067746,3.5399413287370947,1.2271482927736357,3.0093968480633233,True,True,True
AMD,AMD CPU,256,16T,16,4.091778886170331,2.462840823267307,4.209303414504252,1.7588757914976845,3.5774612631463136,True,True,True
AMD,AMD CPU,256,20T,20,1.7322946704287896,1.4110507968072388,1.7627349671993122,0.4602102354585649,6.214691469633238,True,True,True
AMD,AMD CPU,256,32T,32,5.736956784603472,4.656730853787186,5.449896239633074,1.0707029307488034,1.7171316643059307,False,True,False
AMD,AMD CPU,256,64T,64,10.401440629466983,8.959945515737994,9.917580618270186,1.8494904609611487,7.013305574711278,False,False,False
INTEL,Intel CPU,256,1T,1,2.555431005269263,3.0614400759326172,2.6061509213711993,3.509764218186731,0.45264533957485625,True,True,True
INTEL,Intel CPU,256,2T,2,2.3119336003925604,8.114150619134321,2.3103351322290084,7.355957442559501,7.905585796095026,True,False,True
INTEL,Intel CPU,256,4T,4,2.1332089567777,0.7280684211534137,2.1228479334756147,2.81039921231326,0.45082015675398984,True,True,True
INTEL,Intel CPU,256,8T,8,0.9719165427341558,4.3945303636349085,0.9714840982431865,2.9632294838563906,8.606137400765284,True,True,True
INTEL,Intel CPU,256,10T,10,1.9693767253553764,3.684424245967171,1.9839245082487729,3.3304205396312185,5.486166727575445,True,True,True
INTEL,Intel CPU,256,16T,16,3.0133915702853,3.799827823951996,2.929561473795405,3.1723920044113556,6.315789473684211,True,True,True
INTEL,Intel CPU,256,20T,20,2.2227063108682064,3.540276851081977,2.2377720707046245,4.605835887363383,0.8998261478872394,True,True,True
3090,RTX 3090,512,gpu_resident,-1,0.26621930257924786,0.5992302516608579,0.2663809135367323,0.750775633997166,1.9124269735773782,True,True,True
5060ti,RTX 5060 Ti,512,gpu_resident,-1,1.3520591005167746,1.6399165693912348,1.3615848713149679,0.7819326323079006,2.7227616164381,True,True,True
AMD,AMD CPU,512,1T,1,1.420796139104856,1.0836267610094643,1.4104079418624391,0.587017676659119,2.1076581486850676,True,True,True
AMD,AMD CPU,512,2T,2,1.0341340608390392,1.103160777129533,1.028538171437948,0.3828663286658805,2.8633970992647346,True,True,True
AMD,AMD CPU,512,4T,4,1.3811204716897565,0.8738194365892088,1.3743708820766507,0.5993669317792085,2.225295512513462,True,True,True
AMD,AMD CPU,512,8T,8,1.29317921785596,0.6216671635631988,1.301571423111889,0.883679288378892,4.033849386766378,True,True,True
AMD,AMD CPU,512,10T,10,0.703826343037394,0.7966064428072034,0.7043533373536143,0.4310639636488111,2.8971724570720814,True,True,True
AMD,AMD CPU,512,16T,16,5.078135499711326,2.4128686286898446,5.0212261168567895,2.6252842998556307,2.9764068613128454,False,True,False
AMD,AMD CPU,512,20T,20,0.8808107274095152,0.7617344445087513,0.8874032781626505,0.19608394331022808,3.1848888212629607,True,True,True
AMD,AMD CPU,512,32T,32,2.5829638147622815,1.6854002020767196,2.632919449340783,1.1203012169120135,6.699903266527961,True,True,True
AMD,AMD CPU,512,64T,64,9.173975905553847,7.275117065616056,8.728295718628228,1.9004377470525955,2.120811220618696,False,False,False
INTEL,Intel CPU,512,1T,1,1.4478271702887482,12.588684782077136,1.4645661214105294,12.144910341523149,14.294089255854008,True,False,True
INTEL,Intel CPU,512,2T,2,3.070874731471409,8.303474144670966,3.0203581195379012,6.166413812804128,4.194046697502428,True,False,True
INTEL,Intel CPU,512,4T,4,2.7082695634536225,6.31750027773796,2.712313312461779,7.71596426553912,10.121875542172468,True,False,True
INTEL,Intel CPU,512,8T,8,3.953522702461808,1.4211277035954473,3.9849079437960664,4.433908498055706,2.8088336282316213,True,True,True
INTEL,Intel CPU,512,10T,10,3.5306597778492232,4.05067588061245,3.395500682798053,4.388740122035343,8.472876910046738,True,True,True
INTEL,Intel CPU,512,16T,16,7.707923866625062,4.895470531583963,7.110043169664097,4.067988448094852,6.945164445661218,False,True,False
INTEL,Intel CPU,512,20T,20,4.99114616198143,2.2284877429700476,4.932207751129785,6.285801672210107,3.0887476350515484,True,True,True
3090,RTX 3090,1024,gpu_resident,-1,0.09562692501500387,0.6122968447193926,0.09559473002256695,0.6614098315543302,1.1135539861205472,True,True,True
5060ti,RTX 5060 Ti,1024,gpu_resident,-1,0.204306671185789,1.2953334023022802,0.20374874216299318,1.0940080901305538,2.3104468104447236,True,True,True
AMD,AMD CPU,1024,1T,1,0.8180955983087171,0.8813738924608768,0.8196219597059404,0.6562752453210893,2.661930854085715,True,True,True
AMD,AMD CPU,1024,2T,2,1.6309204530580155,2.109337977257103,1.636747932052173,0.5115866935551476,2.7549614851423927,True,True,True
AMD,AMD CPU,1024,4T,4,0.7074040029899582,0.5184107577484517,0.7042061267898039,0.26179139173559673,2.2126661395707066,True,True,True
