platform,platform_label,device_kind,energy_domain,campaign,latest_complete_raw_campaign,validation_hard_failures,validation_warnings,raw_measurement_rows,session_median_rows,configurations,analysis_results_directory,run_directory
INTEL,Intel CPU,CPU,CPU package RAPL,20260719_085511,20260719_085511,0,2,3150,315,63,/home/rock/projects/energy/new/INTEL/results/GEMM,/home/rock/projects/energy/new/INTEL/runs/GEMM
AMD,AMD CPU,CPU,CPU package RAPL,20260719_085402,20260719_085402,0,2,4050,405,81,/home/rock/projects/energy/new/AMD/results/GEMM,/home/rock/projects/energy/new/AMD/runs/GEMM
3090,RTX 3090,GPU,GPU board NVML,20260719_152731,20260719_152731,0,3,450,45,9,/home/rock/projects/energy/new/3090/results/GEMM,/home/rock/projects/energy/new/3090/runs/GEMM
5060ti,RTX 5060 Ti,GPU,GPU board NVML,20260719_172746,20260719_172746,0,2,450,45,9,/home/rock/projects/energy/new/5060ti/results/GEMM,/home/rock/projects/energy/new/5060ti/runs/GEMM
