platform,category,check,severity,status,observed,expected
INTEL,inputs,required_analysis_outputs,FAIL,PASS,all present,all required files
INTEL,validation,no_hard_failures,FAIL,PASS,hard_failures=0,0
INTEL,validation,individual_warnings_recorded,WARN,WARN,warnings=2,0
INTEL,freshness,complete_raw_campaign_exists,FAIL,PASS,['20260719_085511'],at least one 5-session campaign
INTEL,freshness,analysis_matches_latest_complete_campaign,FAIL,PASS,"manifest=20260719_085511, latest_raw=20260719_085511",same campaign
INTEL,coverage,problem_sizes,FAIL,PASS,"[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]","[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]"
INTEL,coverage,five_session_medians_per_configuration,FAIL,PASS,"min=5, max=5",5
AMD,inputs,required_analysis_outputs,FAIL,PASS,all present,all required files
AMD,validation,no_hard_failures,FAIL,PASS,hard_failures=0,0
AMD,validation,individual_warnings_recorded,WARN,WARN,warnings=2,0
AMD,freshness,complete_raw_campaign_exists,FAIL,PASS,['20260719_085402'],at least one 5-session campaign
AMD,freshness,analysis_matches_latest_complete_campaign,FAIL,PASS,"manifest=20260719_085402, latest_raw=20260719_085402",same campaign
AMD,coverage,problem_sizes,FAIL,PASS,"[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]","[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]"
AMD,coverage,five_session_medians_per_configuration,FAIL,PASS,"min=5, max=5",5
3090,inputs,required_analysis_outputs,FAIL,PASS,all present,all required files
3090,validation,no_hard_failures,FAIL,PASS,hard_failures=0,0
3090,validation,individual_warnings_recorded,WARN,WARN,warnings=3,0
3090,freshness,complete_raw_campaign_exists,FAIL,PASS,['20260719_152731'],at least one 5-session campaign
3090,freshness,analysis_matches_latest_complete_campaign,FAIL,PASS,"manifest=20260719_152731, latest_raw=20260719_152731",same campaign
3090,coverage,problem_sizes,FAIL,PASS,"[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]","[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]"
3090,coverage,five_session_medians_per_configuration,FAIL,PASS,"min=5, max=5",5
5060ti,inputs,required_analysis_outputs,FAIL,PASS,all present,all required files
5060ti,validation,no_hard_failures,FAIL,PASS,hard_failures=0,0
5060ti,validation,individual_warnings_recorded,WARN,WARN,warnings=2,0
5060ti,freshness,complete_raw_campaign_exists,FAIL,PASS,['20260719_172746'],at least one 5-session campaign
5060ti,freshness,analysis_matches_latest_complete_campaign,FAIL,PASS,"manifest=20260719_172746, latest_raw=20260719_172746",same campaign
5060ti,coverage,problem_sizes,FAIL,PASS,"[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]","[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]"
5060ti,coverage,five_session_medians_per_configuration,FAIL,PASS,"min=5, max=5",5
ALL,comparability,same_problem_size_grid,FAIL,PASS,"{'INTEL': [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384], 'AMD': [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384], '3090': [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384], '5060ti': [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]}","[64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384]"
GPU,provenance,gpu_sources_present,FAIL,PASS,both present,both source files
GPU,provenance,gpu_source_files_byte_identical,WARN,PASS,"{'3090': '41c5c3b4d908b767a46144a4bb7c15c0defd6db2a537adc922597dc26ae85b7a', '5060ti': '41c5c3b4d908b767a46144a4bb7c15c0defd6db2a537adc922597dc26ae85b7a'}",identical SHA-256
3090,provenance,gpu_required_measurement_tokens,FAIL,PASS,all present,"['CUBLAS_COMPUTE_32F_PEDANTIC', 'CUBLAS_PEDANTIC_MATH', 'nvmlDeviceGetTotalEnergyConsumption', 'gpu_resident', 'cublasGemmEx']"
5060ti,provenance,gpu_required_measurement_tokens,FAIL,PASS,all present,"['CUBLAS_COMPUTE_32F_PEDANTIC', 'CUBLAS_PEDANTIC_MATH', 'nvmlDeviceGetTotalEnergyConsumption', 'gpu_resident', 'cublasGemmEx']"
ALL,semantics,energy_domain_asymmetry_acknowledged,WARN,WARN,CPU=package RAPL; GPU=board NVML,must remain explicit in every cross-device interpretation
ALL,statistics,primary_unit_is_session_median,FAIL,PASS,five session medians per configuration,no n=50 pseudoreplication
ALL,statistics,native_best_inference_is_descriptive,WARN,WARN,configuration selected and summarized on same five sessions,ratio CIs are descriptive; no confirmatory p-values
