size,hw_class,kwh,setup_id
1000000,CPU,8.824722222222222e-06,Intel_CPU-only_1t
1000000,3090,5.146638888888889e-05,Intel_3090_PCIe3
1000000,5050,1.6604583333333337e-05,AMD_5050_PCIe3
1048576,CPU,1.6093055555555557e-06,AMD_CPU-only_64t
1048576,3090,4.990805555555556e-05,AMD_3090_PCIe3
1048576,5050,1.6370972222222224e-05,AMD_5050_PCIe3
16777216,CPU,4.6194444444444443e-07,AMD_CPU-only_64t
16777216,3090,5.160013888888889e-05,Intel_3090_PCIe3
16777216,5050,1.6646388888888888e-05,AMD_5050_PCIe3
244140625,CPU,6.205555555555555e-07,AMD_CPU-only_64t
244140625,3090,6.52238888888889e-05,Intel_3090_PCIe3
244140625,5050,1.9849166666666663e-05,AMD_5050_PCIe3
268435456,CPU,4.336111111111111e-07,AMD_CPU-only_64t
268435456,3090,5.623138888888889e-05,Intel_3090_PCIe3
268435456,5050,1.7529722222222224e-05,AMD_5050_PCIe3
4096000000,CPU,8.88e-06,Intel_CPU-only_1t
4096000000,3090,8.406249999999999e-05,Intel_3090_PCIe3
4096000000,5050,3.214430555555556e-05,AMD_5050_PCIe3
4294967296,CPU,1.0268055555555556e-06,AMD_CPU-only_64t
4294967296,3090,6.891583333333334e-05,Intel_3090_PCIe3
4294967296,5050,2.2751944444444444e-05,AMD_5050_PCIe3
17172529936,CPU,8.859444444444444e-06,Intel_CPU-only_1t
17172529936,3090,9.934333333333332e-05,Intel_3090_PCIe3
17172529936,5050,3.243486111111111e-05,AMD_5050_PCIe3
17179869184,CPU,1.7597222222222225e-06,AMD_CPU-only_64t
17179869184,3090,8.017430555555556e-05,Intel_3090_PCIe3
17179869184,5050,2.83375e-05,AMD_5050_PCIe3
17596287801,CPU,9.266111111111112e-06,Intel_CPU-only_1t
17596287801,3090,9.78565277777778e-05,Intel_3090_PCIe3
17596287801,5050,3.271013888888889e-05,AMD_5050_PCIe3
68719476736,CPU,2.909861111111111e-06,AMD_CPU-only_64t
68719476736,3090,9.89751388888889e-05,Intel_3090_PCIe3
68719476736,5050,3.2810000000000006e-05,AMD_5050_PCIe3
1099511627776,CPU,9.429305555555556e-06,Intel_CPU-only_1t
1099511627776,3090,0.0001062244444444,AMD_3090_PCIe3
1099511627776,5050,3.259375e-05,AMD_5050_PCIe3
