"timestamp","host","gpu_name","matrix_size","mode","batches","seconds_target","seconds_gpu","seconds_wall","energy_j","avg_power_w","below_target","workload","impl","dtype","N","passes_kernel","passes_e2e","seconds_kernel","energy_kernel_j","avg_power_w_kernel","avg_power_w_e2e","bytes_total","bw_gb_s","time_mode","energy_mode","includes_transfer","device_name","driver_version","pcie_gen_current","pcie_width_current","pcie_rx_kbs","pcie_tx_kbs","clocks_sm_mhz","clocks_mem_mhz","temp_c","throttle_reasons","notes","energy_batch_j","kWh_batch","seconds_batch","M","K","flops_batch","joule_per_gflop","gflops","flops_per_watt","kWh_e2e","market_area","de_price_eur_kwh_run","de_eur_job","de_price_sync","de_eur_job_sync","fr_price_eur_kwh_run","fr_eur_job","fr_price_sync","fr_eur_job_sync","pl_price_eur_kwh_run","pl_eur_job","pl_price_sync","pl_eur_job_sync","price_eur_kwh_run","eur_job","price_sync","eur_job_sync","de_price_eur_kwh_batch","de_eur_batch","de_eur_batch_sync","de_eur_job_from_batches","fr_price_eur_kwh_batch","fr_eur_batch","fr_eur_batch_sync","fr_eur_job_from_batches","pl_price_eur_kwh_batch","pl_eur_batch","pl_eur_batch_sync","pl_eur_job_from_batches","price_eur_kwh_batch","eur_batch","eur_batch_sync","eur_job_from_batches"
"2024-09-12 12:07:45+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","kernel","6283","1.0","1.0295","1,0295","85,596","83.1","0","reduction","cublas","fp32","0","6283","287","1.0295","85.596","83.1","50.2","301584000000","292.93","kernel","kernel","0","NVIDIA GeForce RTX 5050","580.65.06","3","8","396","423","2925","9801","52","0","","0.013623428298583479","3,784285638495411e-09","0.0001638548464109502","0","0","","","","","2,377666666666667e-05","DE","0,07862","1,8693215333333334e-06","0,0783099722222222","1,8619501062037034e-06","0,059","1,4028233333333335e-06","0,0518570416666666","1,2329875940277763e-06","0,10096","2,400492266666667e-06","0,0950131388888888","2,2590957323148132e-06","0,07862","1,8693215333333334e-06","0,0783099722222222","1,8619501062037034e-06","0,07862","2,975205368985092e-10","2,9634730323153004e-10","1,8693215333333332e-06","0,059","2,2327285267122924e-10","1,9624185803402456e-10","1,4028233333333333e-06","0,10096","3,8206147806249666e-10","3,5955685696559175e-10","2,4004922666666664e-06","0,07862","2,975205368985092e-10","2,9634730323153004e-10","1,8693215333333332e-06"
"2024-09-12 12:07:45+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","e2e","287","1.0","1.0295","1,0485","52,645","50.2","0","reduction","cublas","fp32","0","6283","287","1.0295","85.596","83.1","50.2","6888000000","6.57","e2e","e2e","1","NVIDIA GeForce RTX 5050","580.65.06","3","8","396","423","2925","9801","52","0","","0.18343205574912894","5,095334881920249e-08","0.0036533101045296166","0","0","0.0","","0.0","0.0","1,4623611111111112e-05","DE","0,07862","1,1497083055555555e-06","0,0783099722222222","1,1451745798996911e-06","0,059","8,627930555555556e-07","0,0518570416666666","7,583372107060176e-07","0,10096","1,4763997777777777e-06","0,0950131388888888","1,3894351935570977e-06","0,07862","1,1497083055555555e-06","0,0783099722222222","1,1451745798996911e-06","0,07862","4,005952284165699e-09","3,990155330660945e-09","1,1497083055555557e-06","0,059","3,0062475803329464e-09","2,642289932773581e-09","8,627930555555556e-07","0,10096","5,144250096786683e-09","4,841237608212884e-09","1,476399777777778e-06","0,07862","4,005952284165699e-09","3,990155330660945e-09","1,1497083055555557e-06"
"2024-09-12 12:07:56+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","kernel","4770","1.0","1.0346","1,0346","91,067","88.0","0","reduction","cublas","fp32","0","4770","216","1.0346","91.067","88.0","49.6","305280000000","295.08","kernel","kernel","0","NVIDIA GeForce RTX 5050","580.65.06","3","8","392","418","2925","9801","52","0","","0.019091614255765197","5,303226182156999e-09","0.0002168972746331237","0","0","","","","","2,529638888888889e-05","DE","0,07862","1,9888020944444442e-06","0,0783099722222222","1,9809595112114194e-06","0,059","1,4924869444444443e-06","0,0518570416666666","1,3117958926273132e-06","0,10096","2,553923422222222e-06","0,0950131388888888","2,4034893108873436e-06","0,07862","1,9888020944444442e-06","0,0783099722222222","1,9809595112114194e-06","0,07862","4,1693964244118324e-10","4,1529549501287615e-10","1,9888020944444442e-06","0,059","3,1289034474726295e-10","2,750096210958728e-10","1,4924869444444443e-06","0,10096","5,354137153505706e-10","5,038761658044745e-10","2,553923422222222e-06","0,07862","4,1693964244118324e-10","4,1529549501287615e-10","1,9888020944444442e-06"
"2024-09-12 12:07:56+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","e2e","216","1.0","1.0346","1,0502","52,077","49.6","0","reduction","cublas","fp32","0","4770","216","1.0346","91.067","88.0","49.6","6912000000","6.58","e2e","e2e","1","NVIDIA GeForce RTX 5050","580.65.06","3","8","392","418","2925","9801","52","0","","0.2410972222222222","6,697145061728394e-08","0.004862037037037037","0","0","0.0","","0.0","0.0","1,4465833333333333e-05","DE","0,07862","1,1373038166666666e-06","0,0783099722222222","1,1328190065046293e-06","0,059","8,534841666666666e-07","0,0518570416666666","7,501553219097213e-07","0,10096","1,4604705333333333e-06","0,0950131388888888","1,3744442316435174e-06","0,07862","1,1373038166666666e-06","0,0783099722222222","1,1328190065046293e-06","0,07862","5,265295447530864e-09","5,244532437521432e-09","1,1373038166666666e-06","0,059","3,951315586419752e-09","3,4729413051375983e-09","8,534841666666665e-07","0,10096","6,761437654320987e-09","6,363167739090357e-09","1,4604705333333333e-06","0,07862","5,265295447530864e-09","5,244532437521432e-09","1,1373038166666666e-06"
"2024-09-12 12:08:06+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","kernel","3231","1.0","1.0436","1,0436","85,369","81.8","0","reduction","cublas","fp32","0","3231","145","1.0436","85.369","81.8","56.0","310176000000","297.23","kernel","kernel","0","NVIDIA GeForce RTX 5050","580.65.06","3","8","361","1274","2925","9801","52","0","","0.02642185082017951","7,339403005605421e-09","0.00032299597647787064","0","0","","","","","2,371361111111111e-05","DE","0,07862","1,8643641055555556e-06","0,0783099722222222","1,857012227399691e-06","0,059","1,3991030555555556e-06","0,0518570416666666","1,229717719456017e-06","0,10096","2,394126177777778e-06","0,0950131388888888","2,253104626057097e-06","0,07862","1,8643641055555556e-06","0,0783099722222222","1,857012227399691e-06","0,07862","5,770238643006982e-10","5,747484454966547e-10","1,8643641055555558e-06","0,059","4,330247773307198e-10","3,805997274701384e-10","1,3991030555555558e-06","0,10096","7,409861274459232e-10","6,973397171331158e-10","2,394126177777778e-06","0,07862","5,770238643006982e-10","5,747484454966547e-10","1,8643641055555558e-06"
"2024-09-12 12:08:06+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","e2e","145","1.0","1.0436","1,0571","59,212","56.0","0","reduction","cublas","fp32","0","3231","145","1.0436","85.369","81.8","56.0","6960000000","6.58","e2e","e2e","1","NVIDIA GeForce RTX 5050","580.65.06","3","8","361","1274","2925","9801","52","0","","0.40835862068965517","1,1343295019157089e-07","0.007290344827586206","0","0","0.0","","0.0","0.0","1,6447777777777777e-05","DE","0,07862","1,2931242888888888e-06","0,0783099722222222","1,2880250208950613e-06","0,059","9,704188888888888e-07","0,0518570416666666","8,529330975462953e-07","0,10096","1,6605676444444443e-06","0,0950131388888888","1,5627549944135788e-06","0,07862","1,2931242888888888e-06","0,0783099722222222","1,2880250208950613e-06","0,07862","8,918098544061303e-09","8,88293117858663e-09","1,293124288888889e-06","0,059","6,692544061302682e-09","5,882297224457209e-09","9,704188888888888e-07","0,10096","1,1452190651340996e-08","1,077762065112813e-08","1,6605676444444445e-06","0,07862","8,918098544061303e-09","8,88293117858663e-09","1,293124288888889e-06"
"2024-09-12 12:08:16+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","kernel","2211","1.0","0.9488","0,9488","77,005","81.2","1","reduction","cublas","fp32","0","2211","109","0.9488","77.005","81.2","56.1","283008000000","298.28","kernel","kernel","0","NVIDIA GeForce RTX 5050","580.65.06","3","8","382","432","2925","9801","53","0","","0.034828132066938036","9,674481129705011e-09","0.00042912709181365896","0","0","","","","","2,1390277777777776e-05","DE","0,07862","1,6817036388888886e-06","0,0783099722222222","1,6750720586033946e-06","0,059","1,2620263888888888e-06","0,0518570416666666","1,1092365259837948e-06","0,10096","2,1595624444444443e-06","0,0950131388888888","2,0323574333719117e-06","0,07862","1,6817036388888886e-06","0,0783099722222222","1,6750720586033946e-06","0,07862","7,606077064174079e-10","7,576083485316123e-10","1,6817036388888889e-06","0,059","5,707943866525957e-10","5,016899710464926e-10","1,262026388888889e-06","0,10096","9,767356148550179e-10","9,192028192545961e-10","2,1595624444444447e-06","0,07862","7,606077064174079e-10","7,576083485316123e-10","1,6817036388888889e-06"
"2024-09-12 12:08:16+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","e2e","109","1.0","0.9488","1,0582","59,384","56.1","1","reduction","cublas","fp32","0","2211","109","0.9488","77.005","81.2","56.1","6976000000","6.59","e2e","e2e","1","NVIDIA GeForce RTX 5050","580.65.06","3","8","382","432","2925","9801","53","0","","0.5448073394495413","1,5133537206931704e-07","0.009708256880733946","0","0","0.0","","0.0","0.0","1,6495555555555556e-05","DE","0,07862","1,2968805777777778e-06","0,0783099722222222","1,2917664973456788e-06","0,059","9,732377777777778e-07","0,0518570416666666","8,554107117592582e-07","0,10096","1,6653912888888888e-06","0,0950131388888888","1,5672945110493815e-06","0,07862","1,2968805777777778e-06","0,0783099722222222","1,2917664973456788e-06","0,07862","1,1897986952089705e-08","1,185106878298788e-08","1,2968805777777778e-06","0,059","8,928786952089706e-09","7,847804695039068e-09","9,732377777777778e-07","0,10096","1,5278819164118248e-08","1,4378848725223684e-08","1,665391288888889e-06","0,07862","1,1897986952089705e-08","1,185106878298788e-08","1,2968805777777778e-06"
"2024-09-12 12:08:27+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","kernel","1636","1.0","1.0507","1,0507","92,327","87.9","0","reduction","cublas","fp32","0","1636","73","1.0507","92.327","87.9","54.8","314112000000","298.96","kernel","kernel","0","NVIDIA GeForce RTX 5050","580.65.06","3","8","351","424","2917","9801","53","0","","0.05643459657701711","1,5676276826949197e-08","0.0006422371638141809","0","0","","","","","2,564638888888889e-05","DE","0,07862","2,016319094444444e-06","0,0783099722222222","2,008368001489197e-06","0,059","1,5131369444444445e-06","0,0518570416666666","1,3299458572106467e-06","0,10096","2,5892594222222224e-06","0,0950131388888888","2,436743909498455e-06","0,07862","2,016319094444444e-06","0,0783099722222222","2,008368001489197e-06","0,07862","1,2324688841347458e-09","1,2276088028662572e-09","2,016319094444444e-06","0,059","9,249003327900026e-10","8,129253405933046e-10","1,5131369444444443e-06","0,10096","1,5826769084487907e-09","1,4894522674195932e-09","2,5892594222222215e-06","0,07862","1,2324688841347458e-09","1,2276088028662572e-09","2,016319094444444e-06"
"2024-09-12 12:08:27+02:00","rock-ms7a95","NVIDIA GeForce RTX 5050","0","e2e","73","1.0","1.0507","1,0625","58,197","54.8","0","reduction","cublas","fp32","0","1636","73","1.0507","92.327","87.9","54.8","7008000000","6.6","e2e","e2e","1","NVIDIA GeForce RTX 5050","580.65.06","3","8","351","424","2917","9801","53","0","","0.7972191780821918","2,214497716894977e-07","0.014554794520547944","0","0","0.0","","0.0","0.0","1,6165833333333334e-05","DE","0,07862","1,2709578166666667e-06","0,0783099722222222","1,2659459592824071e-06","0,059","9,537841666666666e-07","0,0518570416666666","8,383122927430546e-07","0,10096","1,6321025333333333e-06","0,0950131388888888","1,5359665677546284e-06","0,07862","1,2709578166666667e-06","0,0783099722222222","1,2659459592824071e-06","0,07862","1,7410381050228307e-08","1,7341725469622015e-08","1,2709578166666665e-06","0,059","1,3065536529680363e-08","1,1483730037576088e-08","9,537841666666664e-07","0,10096","2,2357568949771686e-08","2,104063791444696e-08","1,632102533333333e-06","0,07862","1,7410381050228307e-08","1,7341725469622015e-08","1,2709578166666665e-06"
