OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=2 active=2
[STRIDED_GEMM] N=1024 threads=16 rep=1 batches=535 time=1.003 s | package=237.259 J | dram=NA | total=237.259 J | power=236.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=2 batches=535 time=1.015 s | package=238.545 J | dram=NA | total=238.545 J | power=235.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=3 batches=535 time=1.004 s | package=237.149 J | dram=NA | total=237.149 J | power=236.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=4 batches=535 time=1.009 s | package=237.857 J | dram=NA | total=237.857 J | power=235.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=5 batches=535 time=1.005 s | package=237.242 J | dram=NA | total=237.242 J | power=236.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=6 batches=535 time=1.005 s | package=237.325 J | dram=NA | total=237.325 J | power=236.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=7 batches=535 time=1.015 s | package=238.662 J | dram=NA | total=238.662 J | power=235.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=8 batches=535 time=1.002 s | package=237.115 J | dram=NA | total=237.115 J | power=236.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=9 batches=535 time=1.001 s | package=237.068 J | dram=NA | total=237.068 J | power=236.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=1024 threads=16 rep=10 batches=535 time=1.001 s | package=237.137 J | dram=NA | total=237.137 J | power=236.9 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=10 active=10
[STRIDED_GEMM] N=64 threads=10 rep=1 batches=162499 time=1.000 s | package=71.933 J | dram=NA | total=71.933 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=2 batches=162499 time=1.000 s | package=71.928 J | dram=NA | total=71.928 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=3 batches=162499 time=1.000 s | package=71.835 J | dram=NA | total=71.835 J | power=71.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=4 batches=162499 time=1.000 s | package=72.027 J | dram=NA | total=72.027 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=5 batches=162499 time=1.001 s | package=71.972 J | dram=NA | total=71.972 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=6 batches=162499 time=1.001 s | package=71.941 J | dram=NA | total=71.941 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=7 batches=162499 time=1.000 s | package=71.862 J | dram=NA | total=71.862 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=8 batches=162499 time=1.001 s | package=71.968 J | dram=NA | total=71.968 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=9 batches=162499 time=1.000 s | package=71.882 J | dram=NA | total=71.882 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=10 rep=10 batches=162499 time=0.999 s | package=71.717 J | dram=NA | total=71.717 J | power=71.8 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=4096 threads=16 rep=1 batches=13 time=1.044 s | package=297.807 J | dram=NA | total=297.807 J | power=285.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=2 batches=13 time=1.045 s | package=298.142 J | dram=NA | total=298.142 J | power=285.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=3 batches=13 time=1.047 s | package=298.912 J | dram=NA | total=298.912 J | power=285.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=4 batches=13 time=1.048 s | package=298.985 J | dram=NA | total=298.985 J | power=285.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=5 batches=13 time=1.052 s | package=300.128 J | dram=NA | total=300.128 J | power=285.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=6 batches=13 time=1.052 s | package=300.059 J | dram=NA | total=300.059 J | power=285.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=7 batches=13 time=1.054 s | package=300.234 J | dram=NA | total=300.234 J | power=285.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=8 batches=13 time=1.053 s | package=300.209 J | dram=NA | total=300.209 J | power=285.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=9 batches=13 time=1.053 s | package=299.992 J | dram=NA | total=299.992 J | power=284.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=10 batches=13 time=1.056 s | package=300.383 J | dram=NA | total=300.383 J | power=284.5 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=8 active=8
[STRIDED_GEMM] N=64 threads=8 rep=1 batches=161505 time=0.998 s | package=72.496 J | dram=NA | total=72.496 J | power=72.7 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=2 batches=161505 time=0.995 s | package=71.872 J | dram=NA | total=71.872 J | power=72.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=3 batches=161505 time=0.995 s | package=71.831 J | dram=NA | total=71.831 J | power=72.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=4 batches=161505 time=0.995 s | package=71.788 J | dram=NA | total=71.788 J | power=72.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=5 batches=161505 time=0.995 s | package=71.650 J | dram=NA | total=71.650 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=6 batches=161505 time=0.994 s | package=71.683 J | dram=NA | total=71.683 J | power=72.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=7 batches=161505 time=0.994 s | package=71.593 J | dram=NA | total=71.593 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=8 batches=161505 time=0.994 s | package=71.555 J | dram=NA | total=71.555 J | power=72.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=9 batches=161505 time=0.993 s | package=71.386 J | dram=NA | total=71.386 J | power=71.9 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=64 threads=8 rep=10 batches=161505 time=0.993 s | package=71.383 J | dram=NA | total=71.383 J | power=71.9 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=32 active=32
[STRIDED_GEMM] N=4096 threads=32 rep=1 batches=18 time=1.030 s | package=283.644 J | dram=NA | total=283.644 J | power=275.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=2 batches=18 time=1.036 s | package=285.191 J | dram=NA | total=285.191 J | power=275.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=3 batches=18 time=1.029 s | package=284.282 J | dram=NA | total=284.282 J | power=276.2 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=4 batches=18 time=1.028 s | package=284.833 J | dram=NA | total=284.833 J | power=277.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=5 batches=18 time=1.029 s | package=285.437 J | dram=NA | total=285.437 J | power=277.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=6 batches=18 time=1.029 s | package=285.627 J | dram=NA | total=285.627 J | power=277.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=32 rep=7 batches=18 time=1.029 s | package=285.741 J | dram=NA | total=285.741 J | power=277.6 W | runtime=in_range | checksum=OK
