OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY Zen MAX_THREADS=128
STRIDED_GEMM(ld=2N) | AMD Ryzen Threadripper 3970X 32-Core Processor | session=strided_gemm_amd_20260719_175453_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=512 threads=16 rep=8 batches=3026 time=1.006 s | package=207.127 J | dram=NA | total=207.127 J | power=205.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=9 batches=3026 time=1.001 s | package=206.689 J | dram=NA | total=206.689 J | power=206.4 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=512 threads=16 rep=10 batches=3026 time=1.001 s | package=206.576 J | dram=NA | total=206.576 J | power=206.3 W | runtime=in_range | checksum=OK
[OpenBLAS] requested=64 active=64
[STRIDED_GEMM] N=4096 threads=64 rep=1 batches=18 time=1.051 s | package=254.888 J | dram=NA | total=254.888 J | power=242.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=2 batches=18 time=1.054 s | package=255.033 J | dram=NA | total=255.033 J | power=242.0 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=3 batches=18 time=1.054 s | package=256.264 J | dram=NA | total=256.264 J | power=243.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=4 batches=18 time=1.062 s | package=256.649 J | dram=NA | total=256.649 J | power=241.8 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=5 batches=18 time=1.048 s | package=254.092 J | dram=NA | total=254.092 J | power=242.5 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=6 batches=18 time=1.054 s | package=255.052 J | dram=NA | total=255.052 J | power=242.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=64 rep=7 batches=18 time=1.052 s | package=255.278 J | dram=NA | total=255.278 J | power=242.6 W | runtime=in_range | checksum=OK
