OpenBLAS backend=pthreads | config=OpenBLAS 0.3.30 NO_LAPACKE DYNAMIC_ARCH NO_AFFINITY SkylakeX MAX_THREADS=128
STRIDED_GEMM(ld=2N) | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | session=strided_gemm_intel_20260719_175326_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenBLAS] requested=4 active=4
[STRIDED_GEMM] N=16384 threads=20 rep=4 batches=1 time=9.500 s | package=1480.572 J | dram=20.611380 | total=1501.183 J | power=158.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=5 batches=1 time=9.656 s | package=1488.948 J | dram=21.049755 | total=1509.997 J | power=156.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=6 batches=1 time=9.653 s | package=1477.707 J | dram=21.060863 | total=1498.768 J | power=155.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=7 batches=1 time=9.582 s | package=1456.901 J | dram=21.135344 | total=1478.037 J | power=154.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=8 batches=1 time=9.522 s | package=1439.007 J | dram=20.940345 | total=1459.947 J | power=153.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=9 batches=1 time=9.532 s | package=1432.551 J | dram=20.892945 | total=1453.443 J | power=152.5 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=20 rep=10 batches=1 time=9.499 s | package=1416.185 J | dram=20.724339 | total=1436.909 J | power=151.3 W | runtime=above | checksum=OK
[OpenBLAS] requested=1 active=1
[STRIDED_GEMM] N=16384 threads=1 rep=1 batches=1 time=45.027 s | package=3174.318 J | dram=3.347809 | total=3177.666 J | power=70.6 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=2 batches=1 time=45.381 s | package=3081.857 J | dram=3.205640 | total=3085.063 J | power=68.0 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=3 batches=1 time=44.514 s | package=2911.853 J | dram=3.221247 | total=2915.074 J | power=65.5 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=4 batches=1 time=43.401 s | package=2702.103 J | dram=3.521509 | total=2705.625 J | power=62.3 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=5 batches=1 time=41.801 s | package=2480.039 J | dram=3.499217 | total=2483.538 J | power=59.4 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=6 batches=1 time=41.806 s | package=2461.166 J | dram=2.897499 | total=2464.063 J | power=58.9 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=7 batches=1 time=41.822 s | package=2425.517 J | dram=2.697497 | total=2428.214 J | power=58.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=8 batches=1 time=41.828 s | package=2403.952 J | dram=3.268019 | total=2407.220 J | power=57.6 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=9 batches=1 time=41.808 s | package=2384.507 J | dram=2.839971 | total=2387.347 J | power=57.1 W | runtime=above | checksum=OK
[STRIDED_GEMM] N=16384 threads=1 rep=10 batches=1 time=41.801 s | package=2364.498 J | dram=2.822590 | total=2367.321 J | power=56.6 W | runtime=above | checksum=OK
[OpenBLAS] requested=16 active=16
[STRIDED_GEMM] N=4096 threads=16 rep=1 batches=8 time=1.106 s | package=178.029 J | dram=1.758918 | total=179.788 J | power=162.6 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=2 batches=8 time=1.105 s | package=178.493 J | dram=1.759133 | total=180.252 J | power=163.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=3 batches=8 time=1.106 s | package=178.648 J | dram=1.772474 | total=180.421 J | power=163.1 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=4 batches=8 time=1.106 s | package=178.847 J | dram=1.740956 | total=180.588 J | power=163.3 W | runtime=in_range | checksum=OK
[STRIDED_GEMM] N=4096 threads=16 rep=5 batches=8 time=1.106 s | package=178.779 J | dram=1.743481 | total=180.523 J | power=163.3 W | runtime=in_range | checksum=OK
