platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,working_set_bytes,operational_intensity_flop_per_byte,runtime_s_median,runtime_s_ci95_low,runtime_s_ci95_high,runtime_s_session_cv_pct,energy_j_median,energy_j_ci95_low,energy_j_ci95_high,energy_j_session_cv_pct,total_energy_j_median,total_energy_j_ci95_low,total_energy_j_ci95_high,total_energy_j_session_cv_pct,power_w_median,power_w_ci95_low,power_w_ci95_high,power_w_session_cv_pct,edp_j_s_median,edp_j_s_ci95_low,edp_j_s_ci95_high,edp_j_s_session_cv_pct,throughput_gflops_median,throughput_gflops_ci95_low,throughput_gflops_ci95_high,throughput_gflops_session_cv_pct,efficiency_gflop_per_j_median,efficiency_gflop_per_j_ci95_low,efficiency_gflop_per_j_ci95_high,efficiency_gflop_per_j_session_cv_pct,logical_bandwidth_gb_s_median,logical_bandwidth_gb_s_ci95_low,logical_bandwidth_gb_s_ci95_high,logical_bandwidth_gb_s_session_cv_pct,logical_gb_per_j_median,logical_gb_per_j_ci95_low,logical_gb_per_j_ci95_high,logical_gb_per_j_session_cv_pct,temperature_c_median,temperature_c_ci95_low,temperature_c_ci95_high,temperature_c_session_cv_pct,clock_mhz_median,clock_mhz_ci95_low,clock_mhz_ci95_high,clock_mhz_session_cv_pct,strict_pareto,practical_pareto_2pct
3090,RTX 3090,GPU,GPU board NVML,1000000,gpu_resident,-1,5,12000000.0,0.1666666666666666,1.538917117033889e-05,1.5353986374516665e-05,1.5482835740044266e-05,0.3422415941181644,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,347.3848412608596,345.5401208811676,348.424119322583,0.3019171341593147,8.214436896471798e-08,8.183009970182029e-08,8.330923527917675e-08,0.7254271133130586,129.96151500704616,129.17530312791925,130.2593314345675,0.3412059626038511,0.3740458125191736,0.3716955434330873,0.3761249522221115,0.4368983303832359,779.769090042277,775.0518187675156,781.5559886074052,0.3412059626038508,2.2442748751150416,2.2301732605985243,2.25674971333267,0.4368983303832418,65.0,64.0,65.0,0.690144437499935,1935.0,1920.0,1935.0,0.3472155244564891,False,False
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,gpu_resident,-1,5,12000000.0,0.1666666666666666,8.18810284123475e-06,8.188016867272578e-06,8.188328011135675e-06,0.0014337653169848,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,142.51507646584383,140.7151929643303,144.19976957440963,1.0075384284032671,9.55494169609149e-09,9.434372013996281e-09,9.667867942850342e-09,1.0059205941152458,244.25682466127935,244.2501078706312,244.2593893515266,0.0014337455956155,1.7138947848510984,1.693879744662851,1.735805881955923,1.008109487600183,1465.5409479676762,1465.5006472237874,1465.5563361091597,0.0014337455956134,10.28336870910659,10.163278467977106,10.41483529173554,1.008109487600186,70.0,69.0,70.0,0.6416263923959223,2745.0,2737.0,2745.0,0.1304114880804718,True,True
AMD,AMD CPU,CPU,CPU package RAPL,1000000,1T,1,5,12000000.0,0.1666666666666666,0.0001817408497333,0.0001692798032898,0.000191934073359,4.679865627894202,0.0131779518116608,0.0125240882652196,0.0139447117760617,3.906262529157684,0.0131779518116608,0.0125240882652196,0.0139447117760617,3.906262529157684,73.98323400814641,72.44472468938645,74.70076085683581,1.3592278853537096,2.3949721599957138e-06,2.120075197920467e-06,2.6764653329967373e-06,8.52517169395136,11.004680581910716,10.42024464441565,11.814758530739091,4.667407238991311,0.151768653322154,0.1434235452204409,0.1596922632327784,3.9201586001165176,66.0280834914643,62.52146786649389,70.88855118443456,4.667407238991321,0.9106119199329245,0.8605412713226455,0.9581535793966708,3.920158600116518,60.0,59.0,62.0,2.1658479751503816,1827.0,1807.0,1833.5,0.6449460254154638,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,2T,2,5,12000000.0,0.1666666666666666,6.597086070959265e-05,6.583224308235756e-05,6.800193862127883e-05,1.3893788385003565,0.0062603777392555,0.0061983434625492,0.0063695657488335,1.0214984125848086,0.0062603777392555,0.0061983434625492,0.0063695657488335,1.0214984125848086,94.83553466144885,93.91700178145842,95.1083288717102,0.588334519553193,4.121347091180482e-07,4.089100531980474e-07,4.331428190963757e-07,2.334543030629152,30.31641513370744,29.410926225773363,30.38024995590621,1.364860291431161,0.3194695405453034,0.3139931478635373,0.3226668564083504,1.0176747491660036,181.89849080224465,176.46555735464017,182.2814997354372,1.3648602914311612,1.9168172432718205,1.883958887181224,1.9360011384501024,1.0176747491660014,68.0,67.0,68.0,0.8102404696821984,1867.0,1833.0,1946.0,2.2314963421038887,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,4T,4,5,12000000.0,0.1666666666666666,3.757998674862885e-05,3.731910911472955e-05,3.770685336125028e-05,0.4521497768247544,0.0045918014311954,0.0045692674936503,0.0046463838704853,0.6357404890472329,0.0045918014311954,0.0045692674936503,0.0046463838704853,0.6357404890472329,122.75535166240915,121.9996291872061,123.25652277602312,0.4233040009891637,1.7266502022023212e-07,1.7126468582175482e-07,1.7520051526446774e-07,0.8880154763684325,53.219816531014935,53.0407557702843,53.59184737908484,0.4527688841119133,0.4355589042706781,0.4304422655873042,0.4377069197150983,0.6336841466459863,319.3188991860896,318.24453462170584,321.55108427450904,0.4527688841119082,2.613353425624069,2.5826535935238257,2.62624151829059,0.6336841466459827,67.0,61.0,67.5,4.08414242465715,1983.0,1949.0,1995.5,0.8841663357512572,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,8T,8,5,12000000.0,0.1666666666666666,2.431966914885876e-05,2.4239636928453545e-05,2.474093188922004e-05,0.8631900755275014,0.0038585049360855,0.0038473213638963,0.0038983285963509,0.556378425480623,0.0038585049360855,0.0038473213638963,0.0038983285963509,0.556378425480623,158.57122506213784,157.34683487686624,159.32290489172254,0.4504749370021562,9.383756345483779e-08,9.326536594432116e-08,9.644828228411639e-08,1.4135218335481818,82.23796087677668,80.83769879627805,82.50948666860239,0.8571430488086469,0.5183354778934206,0.5130403839922925,0.5198421995022893,0.5549501374912909,493.4277652606602,485.02619277766826,495.0569200116144,0.857143048808651,3.110012867360524,3.0782423039537545,3.119053197013735,0.5549501374912902,66.0,64.0,67.0,1.9728931563330467,2204.0,2170.0,2206.0,0.687806314284267,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,10T,10,5,12000000.0,0.1666666666666666,2.264302467186866e-05,2.2384571912969763e-05,2.2895552764403508e-05,0.8011683839471395,0.0038193342316539,0.0038055064446714,0.0038460212360151,0.389939694201347,0.0038193342316539,0.0038055064446714,0.0038460212360151,0.389939694201347,168.782750899182,167.97832372401336,169.824636344706,0.3891824938771442,8.64812792374518e-08,8.518463267601684e-08,8.805678214220014e-08,1.1845829665480094,88.32742219659235,87.35320874669895,89.34725255304915,0.8018781560779789,0.523651473972712,0.5200179295089435,0.5255542275589805,0.3893736435264328,529.9645331795541,524.1192524801937,536.0835153182949,0.801878156077978,3.141908843836272,3.120107577053661,3.1533253653538837,0.389373643526443,64.0,63.0,65.5,1.614987644340165,2299.0,2270.0,2444.5,3.0279560210400667,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,16T,16,5,12000000.0,0.1666666666666666,2.1910510621626327e-05,2.130687980829865e-05,2.1991949890827288e-05,1.3032231028316823,0.0039046152236151,0.0038340479673771,0.0039202104827859,0.8814982607371,0.0039046152236151,0.0038340479673771,0.0039202104827859,0.8814982607371,178.24501032846356,178.0957266678293,180.1252863532187,0.4837799246629785,8.549286313311295e-08,8.16915992201556e-08,8.621307249892337e-08,2.167716237508973,91.28039207018482,90.9423679995828,93.86639517349865,1.3250471876352403,0.5122143631218785,0.5101766879054664,0.5216418826831253,0.8909354258588751,547.6823524211089,545.6542079974969,563.1983710409918,1.3250471876352317,3.073286178731271,3.0610601274327984,3.129851296098752,0.8909354258588776,65.0,64.0,68.0,2.4972153077743133,2538.0,2458.0,2610.0,2.292986770636986,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,20T,20,5,12000000.0,0.1666666666666666,2.264972583495717e-05,1.342772e-05,2.3032038004322765e-05,19.864727443627476,0.004111769452123,0.002957877205,0.0041442446635518,13.2448254226164,0.004111769452123,0.002957877205,0.0041442446635518,13.2448254226164,181.735034845886,179.29735047964215,220.3152017970081,9.215028636226444,9.313045078713801e-08,3.97175469031226e-08,9.49614549009029e-08,29.049868384140392,88.30128958617401,86.83556355823268,148.94561399850457,26.92206104132529,0.4864085944719868,0.4825969898905321,0.676160591325156,16.050124888047744,529.8077375170441,521.013381349396,893.6736839910275,26.92206104132529,2.918451566831921,2.895581939343193,4.056963547950937,16.050124888047744,67.0,66.0,69.5,2.456759103966963,2677.5,2501.0,2749.0,3.517775575742601,False,False
AMD,AMD CPU,CPU,CPU package RAPL,1000000,32T,32,5,12000000.0,0.1666666666666666,2.867405740011255e-05,2.812249119472242e-05,2.933496346924346e-05,1.9460774334750308,0.0050779212155317,0.0050173713451109,0.0052058098152424,1.7838892752586113,0.0050779212155317,0.0050173713451109,0.0052058098152424,1.7838892752586113,177.77384073829188,176.98353411875772,178.2406869458169,0.2780536456699718,1.4560460440740525e-07,1.411009814735339e-07,1.526436942467961e-07,3.725911089722632,69.74945931412378,68.17802933679873,71.1174549278667,1.9440456299138928,0.3938619594732298,0.3841861441315203,0.3986151038927722,1.7771393193483669,418.4967558847426,409.0681760207924,426.7047295672002,1.944045629913891,2.363171756839378,2.305116864789122,2.391690623356633,1.777139319348367,58.5,57.5,60.0,1.9576300056498872,3029.0,2993.5,3039.5,0.5982978877643467,False,False
