platform,platform_label,device_kind,energy_domain,problem_size,policy,optimized_metric,lower_is_better,leader_count,selection_status,gap_to_second_pct,ci_separated_from_all,exact_configuration,leader_configurations,exact_num_threads,selected_runtime_s_median,selected_runtime_s_ci95_low,selected_runtime_s_ci95_high,selected_runtime_s_session_cv_pct,selected_energy_j_median,selected_energy_j_ci95_low,selected_energy_j_ci95_high,selected_energy_j_session_cv_pct,selected_total_energy_j_median,selected_total_energy_j_ci95_low,selected_total_energy_j_ci95_high,selected_total_energy_j_session_cv_pct,selected_power_w_median,selected_power_w_ci95_low,selected_power_w_ci95_high,selected_power_w_session_cv_pct,selected_edp_j_s_median,selected_edp_j_s_ci95_low,selected_edp_j_s_ci95_high,selected_edp_j_s_session_cv_pct,selected_throughput_gflops_median,selected_throughput_gflops_ci95_low,selected_throughput_gflops_ci95_high,selected_throughput_gflops_session_cv_pct,selected_efficiency_gflop_per_j_median,selected_efficiency_gflop_per_j_ci95_low,selected_efficiency_gflop_per_j_ci95_high,selected_efficiency_gflop_per_j_session_cv_pct,selected_logical_bandwidth_gb_s_median,selected_logical_bandwidth_gb_s_ci95_low,selected_logical_bandwidth_gb_s_ci95_high,selected_logical_bandwidth_gb_s_session_cv_pct,selected_logical_gb_per_j_median,selected_logical_gb_per_j_ci95_low,selected_logical_gb_per_j_ci95_high,selected_logical_gb_per_j_session_cv_pct,selected_temperature_c_median,selected_temperature_c_ci95_low,selected_temperature_c_ci95_high,selected_temperature_c_session_cv_pct,selected_clock_mhz_median,selected_clock_mhz_ci95_low,selected_clock_mhz_ci95_high,selected_clock_mhz_session_cv_pct
3090,RTX 3090,GPU,GPU board NVML,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,1.538917117033889e-05,1.5353986374516665e-05,1.5482835740044266e-05,0.34224159411816446,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,347.3848412608596,345.5401208811676,348.424119322583,0.30191713415931476,8.214436896471797e-08,8.183009970182028e-08,8.330923527917674e-08,0.7254271133130586,129.96151500704616,129.17530312791925,130.2593314345675,0.3412059626038511,0.3740458125191736,0.37169554343308736,0.37612495222211156,0.43689833038323594,779.769090042277,775.0518187675156,781.5559886074052,0.3412059626038508,2.2442748751150416,2.2301732605985243,2.25674971333267,0.4368983303832418,65.0,64.0,65.0,0.690144437499935,1935.0,1920.0,1935.0,0.3472155244564891
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,8.18810284123475e-06,8.188016867272578e-06,8.188328011135675e-06,0.0014337653169848405,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,142.51507646584383,140.7151929643303,144.19976957440963,1.0075384284032671,9.55494169609149e-09,9.43437201399628e-09,9.667867942850342e-09,1.0059205941152458,244.25682466127938,244.2501078706312,244.2593893515266,0.001433745595615575,1.7138947848510984,1.693879744662851,1.735805881955923,1.008109487600183,1465.5409479676762,1465.5006472237874,1465.5563361091597,0.0014337455956134446,10.28336870910659,10.163278467977106,10.414835291735539,1.0081094876001861,70.0,69.0,70.0,0.6416263923959223,2745.0,2737.0,2745.0,0.1304114880804718
AMD,AMD CPU,CPU,CPU package RAPL,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,3,tie_or_uncertain,3.3432084851519495,False,16T,"16T,20T,64T",16,2.1910510621626327e-05,2.130687980829865e-05,2.1991949890827288e-05,1.3032231028316823,0.0039046152236151,0.0038340479673771,0.0039202104827859,0.8814982607371,0.0039046152236151,0.0038340479673771,0.0039202104827859,0.8814982607371,178.24501032846356,178.0957266678293,180.1252863532187,0.48377992466297853,8.549286313311295e-08,8.16915992201556e-08,8.621307249892336e-08,2.167716237508973,91.28039207018482,90.9423679995828,93.86639517349865,1.3250471876352405,0.5122143631218785,0.5101766879054664,0.5216418826831253,0.8909354258588751,547.6823524211089,545.6542079974969,563.1983710409918,1.3250471876352317,3.073286178731271,3.0610601274327984,3.1298512960987517,0.8909354258588776,65.0,64.0,68.0,2.4972153077743133,2538.0,2458.0,2610.0,2.292986770636986
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,bandwidth_opt,logical_bandwidth_gb_s,False,2,tie_or_uncertain,4.883694756360923,False,10T,"10T,20T",10,5.226265657620041e-05,5.098217568947906e-05,5.714782857142858e-05,4.70836095989186,0.0077692344628316,0.0071583908580183,0.0084336419428571,5.8610247567055,0.0077692344628316,0.0071583920071501,0.0084336427999999,5.861023598616496,147.64017935406372,140.47364133913945,149.30843148836982,2.489296554597761,4.0764642321042895e-07,3.6495034037744975e-07,4.819643239832074e-07,10.534863122360449,38.26824220242123,34.99695526489195,39.229396802944414,4.480323714751367,0.2574256201905218,0.2371454720927424,0.2793923997262245,5.823891814749928,229.60945321452738,209.9817315893517,235.37638081766647,4.480323714751366,1.5445537211431308,1.4228728325564541,1.676354398357347,5.823891814749936,90.0,76.0,90.0,7.026705383399495,2519.0,2399.5,2520.0,2.148406378022358
3090,RTX 3090,GPU,GPU board NVML,1000000,bytes_per_j_opt,logical_gb_per_j,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,1.538917117033889e-05,1.5353986374516665e-05,1.5482835740044266e-05,0.34224159411816446,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,347.3848412608596,345.5401208811676,348.424119322583,0.30191713415931476,8.214436896471797e-08,8.183009970182028e-08,8.330923527917674e-08,0.7254271133130586,129.96151500704616,129.17530312791925,130.2593314345675,0.3412059626038511,0.3740458125191736,0.37169554343308736,0.37612495222211156,0.43689833038323594,779.769090042277,775.0518187675156,781.5559886074052,0.3412059626038508,2.2442748751150416,2.2301732605985243,2.25674971333267,0.4368983303832418,65.0,64.0,65.0,0.690144437499935,1935.0,1920.0,1935.0,0.3472155244564891
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,bytes_per_j_opt,logical_gb_per_j,False,1,clear_leader,,True,gpu_resident,gpu_resident,-1,8.18810284123475e-06,8.188016867272578e-06,8.188328011135675e-06,0.0014337653169848405,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,142.51507646584383,140.7151929643303,144.19976957440963,1.0075384284032671,9.55494169609149e-09,9.43437201399628e-09,9.667867942850342e-09,1.0059205941152458,244.25682466127938,244.2501078706312,244.2593893515266,0.001433745595615575,1.7138947848510984,1.693879744662851,1.735805881955923,1.008109487600183,1465.5409479676762,1465.5006472237874,1465.5563361091597,0.0014337455956134446,10.28336870910659,10.163278467977106,10.414835291735539,1.0081094876001861,70.0,69.0,70.0,0.6416263923959223,2745.0,2737.0,2745.0,0.1304114880804718
AMD,AMD CPU,CPU,CPU package RAPL,1000000,bytes_per_j_opt,logical_gb_per_j,False,5,tie_or_uncertain,1.0255898556078558,False,10T,"8T,10T,16T,20T,64T",10,2.264302467186866e-05,2.2384571912969763e-05,2.2895552764403508e-05,0.8011683839471395,0.0038193342316539,0.0038055064446714,0.0038460212360151,0.38993969420134705,0.0038193342316539,0.0038055064446714,0.0038460212360151,0.38993969420134705,168.782750899182,167.97832372401336,169.824636344706,0.3891824938771442,8.648127923745179e-08,8.518463267601684e-08,8.805678214220013e-08,1.1845829665480094,88.32742219659235,87.35320874669895,89.34725255304915,0.8018781560779789,0.523651473972712,0.5200179295089435,0.5255542275589805,0.38937364352643283,529.9645331795541,524.1192524801937,536.0835153182949,0.801878156077978,3.141908843836272,3.120107577053661,3.1533253653538833,0.389373643526443,64.0,63.0,65.5,1.614987644340165,2299.0,2270.0,2444.5,3.0279560210400667
INTEL,Intel CPU,CPU,CPU package RAPL,1000000,bytes_per_j_opt,logical_gb_per_j,False,2,tie_or_uncertain,4.406818352875619,False,10T,"10T,20T",10,5.226265657620041e-05,5.098217568947906e-05,5.714782857142858e-05,4.70836095989186,0.0077692344628316,0.0071583908580183,0.0084336419428571,5.8610247567055,0.0077692344628316,0.0071583920071501,0.0084336427999999,5.861023598616496,147.64017935406372,140.47364133913945,149.30843148836982,2.489296554597761,4.0764642321042895e-07,3.6495034037744975e-07,4.819643239832074e-07,10.534863122360449,38.26824220242123,34.99695526489195,39.229396802944414,4.480323714751367,0.2574256201905218,0.2371454720927424,0.2793923997262245,5.823891814749928,229.60945321452738,209.9817315893517,235.37638081766647,4.480323714751366,1.5445537211431308,1.4228728325564541,1.676354398357347,5.823891814749936,90.0,76.0,90.0,7.026705383399495,2519.0,2399.5,2520.0,2.148406378022358
3090,RTX 3090,GPU,GPU board NVML,1000000,edp_opt,edp_j_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,1.538917117033889e-05,1.5353986374516665e-05,1.5482835740044266e-05,0.34224159411816446,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,0.0053469386183744,0.0053173818652131,0.0053807478602714,0.4375622775411452,347.3848412608596,345.5401208811676,348.424119322583,0.30191713415931476,8.214436896471797e-08,8.183009970182028e-08,8.330923527917674e-08,0.7254271133130586,129.96151500704616,129.17530312791925,130.2593314345675,0.3412059626038511,0.3740458125191736,0.37169554343308736,0.37612495222211156,0.43689833038323594,779.769090042277,775.0518187675156,781.5559886074052,0.3412059626038508,2.2442748751150416,2.2301732605985243,2.25674971333267,0.4368983303832418,65.0,64.0,65.0,0.690144437499935,1935.0,1920.0,1935.0,0.3472155244564891
5060ti,RTX 5060 Ti,GPU,GPU board NVML,1000000,edp_opt,edp_j_s,True,1,clear_leader,,True,gpu_resident,gpu_resident,-1,8.18810284123475e-06,8.188016867272578e-06,8.188328011135675e-06,0.0014337653169848405,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,0.0011669327765495,0.0011522025710308,0.0011807213624826,1.005261268071046,142.51507646584383,140.7151929643303,144.19976957440963,1.0075384284032671,9.55494169609149e-09,9.43437201399628e-09,9.667867942850342e-09,1.0059205941152458,244.25682466127938,244.2501078706312,244.2593893515266,0.001433745595615575,1.7138947848510984,1.693879744662851,1.735805881955923,1.008109487600183,1465.5409479676762,1465.5006472237874,1465.5563361091597,0.0014337455956134446,10.28336870910659,10.163278467977106,10.414835291735539,1.0081094876001861,70.0,69.0,70.0,0.6416263923959223,2745.0,2737.0,2745.0,0.1304114880804718
