metric,policy,problem_size,best_cpu,best_cpu_label,best_gpu,best_gpu_label,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification
edp_j_s,edp_opt,2000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,6.5622965629106575,5.650358747449232,6.669120239668629,clear_5060ti
edp_j_s,edp_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.5159462461619013,0.1441682673091092,0.5250988254084626,clear_AMD
edp_j_s,edp_opt,8000000,AMD,AMD CPU,3090,RTX 3090,0.4095937269039176,0.364836104949368,0.5349476694912857,clear_AMD
edp_j_s,edp_opt,16000000,AMD,AMD CPU,3090,RTX 3090,78.7053782435532,70.48427456401363,81.0020447528225,clear_3090
edp_j_s,edp_opt,32000000,AMD,AMD CPU,3090,RTX 3090,117.79092785509339,108.46496163215917,121.77293461006943,clear_3090
edp_j_s,edp_opt,64000000,AMD,AMD CPU,3090,RTX 3090,108.68709252467194,107.63958787182592,111.44017343434447,clear_3090
edp_j_s,edp_opt,128000000,AMD,AMD CPU,3090,RTX 3090,108.68558811478523,107.44389363636648,110.74651009682282,clear_3090
edp_j_s,edp_opt,256000000,AMD,AMD CPU,3090,RTX 3090,108.14217396329279,107.12635334984785,109.77268115763641,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,1000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.3737066188294512,0.37232273090300017,0.38429384850829407,clear_5060ti
logical_bandwidth_gb_s,bandwidth_opt,2000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.4751585009271326,0.47297560273182854,0.5000094360008002,clear_5060ti
logical_bandwidth_gb_s,bandwidth_opt,4000000,AMD,AMD CPU,3090,RTX 3090,1.3789211939385537,1.3675254989575663,2.666163739650235,clear_AMD
logical_bandwidth_gb_s,bandwidth_opt,8000000,AMD,AMD CPU,3090,RTX 3090,1.3879072719524173,1.1895575537459078,1.4896580950542353,clear_AMD
logical_bandwidth_gb_s,bandwidth_opt,16000000,AMD,AMD CPU,3090,RTX 3090,0.06471636804024632,0.06185673996089885,0.06538729448298643,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,32000000,AMD,AMD CPU,3090,RTX 3090,0.04816093780055229,0.04788703557861229,0.048184619357705225,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,64000000,AMD,AMD CPU,3090,RTX 3090,0.048514367075214664,0.04834326141406368,0.048623733505568076,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,128000000,AMD,AMD CPU,3090,RTX 3090,0.048837691535530275,0.04859731233913084,0.04888333556736997,clear_3090
logical_bandwidth_gb_s,bandwidth_opt,256000000,AMD,AMD CPU,3090,RTX 3090,0.0492949745122387,0.04926178295496133,0.04937045565766756,clear_3090
logical_gb_per_j,bytes_per_j_opt,1000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.3055330342336075,0.30167628731771334,0.30914461771957663,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,2000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.3220541206731188,0.31931826281161463,0.33970931560024614,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,4000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.8791945033663731,0.8776228324080475,0.8869604931465709,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,8000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,1.0651079012474463,0.9399451095030389,1.1005628277023507,uncertain_AMD_advantage
logical_gb_per_j,bytes_per_j_opt,16000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.1183696690962119,0.11739303508349608,0.13315858606665007,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,32000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.10714640042630898,0.10344833709838663,0.11608372124373269,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,64000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.11602596045095659,0.1134589688881589,0.11705307392176695,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,128000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.11543571271348964,0.11355711209208286,0.11720711248619467,clear_5060ti
logical_gb_per_j,bytes_per_j_opt,256000000,AMD,AMD CPU,5060ti,RTX 5060 Ti,0.115267889235631,0.11374344188542197,0.11637874571178558,clear_5060ti
