schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T07:41:26,"20260718_205238_session2",1,1,1,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.013404,1.013404,1.013404,290.277942,290.277942,-1.000000,1.071136e+00,286.438581,1.447726e-10,3.739497,3.739497,2.005062e+12,1978.54,5.152768e+07,286.44,in_range,,,,2365,2325,,74,72,74,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:27,"20260718_205238_session2",2,2,2,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.010637,1.010637,1.010637,289.681034,289.681034,-1.000000,1.068934e+00,286.632262,1.444749e-10,3.729286,3.729286,2.005062e+12,1983.96,5.152768e+07,286.63,in_range,,,,2355,2327,,75,73,75,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:28,"20260718_205238_session2",3,3,3,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.011325,1.011325,1.011325,290.156366,290.156366,-1.000000,1.070688e+00,286.907127,1.447119e-10,3.731827,3.731827,2.005062e+12,1982.61,5.152768e+07,286.91,in_range,,,,2345,2320,,77,75,77,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:29,"20260718_205238_session2",4,4,4,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.011935,1.011935,1.011935,290.266758,290.266758,-1.000000,1.071095e+00,286.843309,1.447670e-10,3.734077,3.734077,2.005062e+12,1981.41,5.152768e+07,286.84,in_range,,,,2399,2328,,76,76,76,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:30,"20260718_205238_session2",5,5,5,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.012169,1.012169,1.012169,290.260914,290.260914,-1.000000,1.071073e+00,286.771160,1.447641e-10,3.734941,3.734941,2.005062e+12,1980.96,5.152768e+07,286.77,in_range,,,,2400,2382,,77,76,77,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:31,"20260718_205238_session2",6,6,6,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.012887,1.012887,1.012887,290.536488,290.536488,-1.000000,1.072090e+00,286.839930,1.449015e-10,3.737591,3.737591,2.005062e+12,1979.55,5.152768e+07,286.84,in_range,,,,2425,2320,,78,77,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:32,"20260718_205238_session2",7,7,7,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.014545,1.014545,1.014545,291.115713,291.115713,-1.000000,1.074228e+00,286.942255,1.451904e-10,3.743707,3.743707,2.005062e+12,1976.32,5.152768e+07,286.94,in_range,,,,2359,2348,,78,77,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:33,"20260718_205238_session2",8,8,8,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.018966,1.018966,1.018966,291.684790,291.684790,-1.000000,1.076328e+00,286.255716,1.454742e-10,3.760021,3.760021,2.005062e+12,1967.74,5.152768e+07,286.26,in_range,,,,2417,2356,,78,78,78,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:34,"20260718_205238_session2",9,9,9,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.028430,1.028430,1.028430,293.754889,293.754889,-1.000000,1.083966e+00,285.634289,1.465066e-10,3.794945,3.794945,2.005062e+12,1949.63,5.152768e+07,285.63,in_range,,,,2384,2322,,79,78,79,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T07:41:35,"20260718_205238_session2",10,10,10,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",16,1,"N=32;C=64;H=56;W=56;K=64;R=3;S=3;stride=1;pad=1",271,1.017703,1.017703,1.017703,291.977897,291.977897,-1.000000,1.077409e+00,286.898928,1.456204e-10,3.755362,3.755362,2.005062e+12,1970.18,5.152768e+07,286.90,in_range,,,,2356,2355,,80,79,80,,-1,-1,-1.000000,-1,t
