schema_version,timestamp,session_id,sequence_index,run_id_global,repetition,workload,implementation,execution_mode,device_name,num_threads,problem_size,problem_spec,batches,e2e_time_s,kernel_time_s,wall_time_s,device_energy_j,total_energy_j,dram_energy_j,energy_per_op_j,energy_per_second_j,energy_per_flop_j,time_per_op_ms_kernel,time_per_op_ms_e2e,flops_total,gflops_per_s,logical_bytes_per_op,avg_power_w,runtime_status,pcie_gen,pcie_width,sm_clock_mhz,clock_before_mhz,clock_after_mhz,mem_clock_mhz,temp_c,temp_before_c,temp_after_c,throttle_reasons,cpu_cycles,cpu_instructions,cpu_ipc,cpu_cache_misses,checksum_ok
cpu-gpu-v2,2026-07-19T03:33:27,"20260718_205238_session1",1,1,1,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.014367,1.014367,1.014367,83.621393,83.621393,-1.000000,3.981971e+00,82.437056,5.272114e-10,48.303169,48.303169,1.586108e+11,156.36,1.220657e+08,82.44,in_range,,,,1874,1833,,60,59,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:28,"20260718_205238_session1",2,2,2,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.016671,1.016671,1.016671,83.775727,83.775727,-1.000000,3.989320e+00,82.402018,5.281844e-10,48.412896,48.412896,1.586108e+11,156.01,1.220657e+08,82.40,in_range,,,,1834,1834,,60,59,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:29,"20260718_205238_session1",3,3,3,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.018900,1.018900,1.018900,83.956840,83.956840,-1.000000,3.997945e+00,82.399485,5.293263e-10,48.519050,48.519050,1.586108e+11,155.67,1.220657e+08,82.40,in_range,,,,1865,1833,,61,60,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:30,"20260718_205238_session1",4,4,4,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.020872,1.020872,1.020872,83.909235,83.909235,-1.000000,3.995678e+00,82.193680,5.290261e-10,48.612957,48.612957,1.586108e+11,155.37,1.220657e+08,82.19,in_range,,,,1834,1834,,61,60,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:31,"20260718_205238_session1",5,5,5,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.023146,1.023146,1.023146,84.057222,84.057222,-1.000000,4.002725e+00,82.155651,5.299592e-10,48.721236,48.721236,1.586108e+11,155.02,1.220657e+08,82.16,in_range,,,,1834,1834,,60,60,60,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:32,"20260718_205238_session1",6,6,6,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.020565,1.020565,1.020565,83.747576,83.747576,-1.000000,3.987980e+00,82.059981,5.280069e-10,48.598352,48.598352,1.586108e+11,155.41,1.220657e+08,82.06,in_range,,,,1866,1834,,61,60,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:33,"20260718_205238_session1",7,7,7,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.021728,1.021728,1.021728,84.036380,84.036380,-1.000000,4.001732e+00,82.249272,5.298278e-10,48.653712,48.653712,1.586108e+11,155.24,1.220657e+08,82.25,in_range,,,,1834,1863,,62,61,62,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:34,"20260718_205238_session1",8,8,8,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.021652,1.021652,1.021652,84.008640,84.008640,-1.000000,4.000411e+00,82.228268,5.296529e-10,48.650075,48.650075,1.586108e+11,155.25,1.220657e+08,82.23,in_range,,,,1913,1833,,61,61,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:36,"20260718_205238_session1",9,9,9,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.021080,1.021080,1.021080,83.891108,83.891108,-1.000000,3.994815e+00,82.159153,5.289119e-10,48.622880,48.622880,1.586108e+11,155.34,1.220657e+08,82.16,in_range,,,,1872,1833,,61,61,61,,-1,-1,-1.000000,-1,t
cpu-gpu-v2,2026-07-19T03:33:37,"20260718_205238_session1",10,10,10,"CONV2D","brg_conv_fwd:avx2",cpu_native,"AMD Ryzen Threadripper 3970X 32-Core Processor",2,5,"N=32;C=3;H=224;W=224;K=64;R=7;S=7;stride=2;pad=3",21,1.021098,1.021098,1.021098,83.920725,83.920725,-1.000000,3.996225e+00,82.186723,5.290986e-10,48.623730,48.623730,1.586108e+11,155.33,1.220657e+08,82.19,in_range,,,,1898,1834,,62,61,62,,-1,-1,-1.000000,-1,t
