session_number,problem_size,runtime_per_op_s,device_energy_per_op_j,throughput_gflops_exact,efficiency_gflop_per_j_exact,avg_power_w,temp_c,sm_clock_mhz,edp_j_s,kernel_fraction,clock_change_pct,temperature_rise_c,batches,gflops_per_s
1,64,5.266399936827144e-06,0.0009206785817693665,99.55339632229891,0.5694585919527482,174.8181105,56.0,1965.0,4.848748744884246e-09,0.9999980008656251,0.0,0.0,189955.0,99.55339632229891
1,128,5.1937753868660095e-06,0.0010043627799364,807.563619477646,4.176085646041196,193.312501,57.0,1950.0,5.220928062878346e-09,0.9999860166190808,0.0,0.0,192767.0,807.563619477646
1,256,7.281878877013135e-06,0.002137628505693567,4607.936024038723,15.697037127151109,293.52828250000005,61.5,1950.0,1.556734517057519e-08,0.9999845016362848,0.0,0.0,137348.0,4607.936024038723
1,512,2.2870950780696337e-05,0.007507063987380838,11736.961075407351,35.75771665989174,328.2856295,63.0,1815.0,1.7166760354009117e-07,0.9999875028496894,0.0,0.0,43743.0,11736.961075407351
1,1024,0.00012209562647754135,0.039891193853427896,17588.538711725414,53.83357135875931,326.633788,59.0,1575.0,4.871840744024166e-06,0.9999970932207514,0.0,0.0,8460.0,17588.538711725414
1,2048,0.0007633280182232347,0.25738648443432044,22506.535610737395,66.74744068458968,337.199192,61.0,1672.0,0.00019646493567154364,0.9999860738503383,0.0,0.0,1317.0,22506.535610737395
1,4096,0.005556777777777778,1.7928916666666668,24733.59616315498,76.65793563916017,322.473992,61.0,1672.0,0.009968146456296297,0.9999979973291038,0.0,0.0,180.0,24733.59616315498
1,8192,0.041750125,13.693624999999999,26335.52920516072,80.29370612768705,327.8230615,60.5,1605.0,0.572001785139757,0.9999900137709665,0.0,0.0,24.0,26335.52920516072
1,16384,0.33278783333333334,114.07783333333333,26431.534382783462,77.1060739942101,342.809217,63.0,1597.0,37.98328352122222,0.9999879803297596,-0.4672897196261682,0.0,3.0,26431.534382783462
2,64,5.2663084400027385e-06,0.0009366275794162712,99.55512610640272,0.5597630882950759,177.75053350000002,58.0,1950.0,4.935406381350505e-09,0.9999910008009194,0.0,0.0,189917.0,99.55512610640272
2,128,5.18906807248901e-06,0.001008693082856432,808.2962095173872,4.158157118643787,194.38472050000001,58.0,1950.0,5.234266457310598e-09,0.9999915085287703,0.0,0.0,192912.0,808.2962095173872
2,256,7.282653811704909e-06,0.002172049196443525,4607.445703496804,15.448290764487218,298.25167250000004,63.0,1950.0,1.5818179191046823e-08,0.9999925006784238,0.0,0.0,137327.0,4607.445703496804
2,512,2.2918266480561975e-05,0.0075459808251149806,11712.729558536324,35.57331447238637,329.034089,64.0,1815.0,1.7305756872265278e-07,0.999989514483862,0.0,0.0,43703.0,11712.729558536324
2,1024,0.00012195585942185438,0.04052512894326496,17608.696509013273,52.991446384481726,332.30662800000005,62.0,1593.5,4.942081551515678e-06,0.9999906501867148,0.0,0.0,8337.0,17608.696509013273
2,2048,0.0007663213740458015,0.2585576335877863,22418.62196491116,66.44524308140956,337.40094999999997,64.0,1665.0,0.0001981382353583707,0.9999935221789831,0.0,0.0,1310.0,22418.62196491116
2,4096,0.0055515994475138115,1.7959088397790053,24756.64081536005,76.52901252880692,323.44407950000004,63.0,1680.0,0.0099717026841061,0.9999920385295362,0.0,0.0,181.0,24756.64081536005
2,8192,0.04180214583333333,13.703958333333333,26302.756005221156,80.23314266541037,327.740274,63.0,1605.0,0.5730101654036458,0.9999925272049699,0.0,0.0,24.0,26302.756005221156
2,16384,0.33265737500000003,112.3175,26441.903856982608,78.31526004418222,337.5546245,62.0,1582.0,37.3724433290625,0.9999917252823507,-0.4716981132075472,0.0,4.0,26441.903856982608
3,64,5.265313804667716e-06,0.0009229584664873146,99.57393224143135,0.5680524219369765,175.29308600000002,57.0,1950.0,4.859588271306211e-09,0.9999980001009949,0.0,0.0,189943.0,99.57393224143135
3,128,5.180780624707656e-06,0.0010143157840029103,809.5891939781321,4.135110126015368,195.55190149999999,60.0,1950.0,5.274751224002071e-09,0.9999954779019069,0.0,0.0,192410.0,809.5891939781321
3,256,7.282969953831142e-06,0.0021686073608016194,4607.2457016169865,15.472841638227981,297.7877015,63.0,1950.0,1.579265495036514e-08,0.9999970001409915,0.0,0.0,137322.0,4607.2457016169865
3,512,2.281510320678216e-05,0.0076243319203833405,11765.691504941713,35.20775281803703,334.17926,66.0,1792.5,1.7446198159411656e-07,0.9999954537932421,0.0,0.0,43408.0,11765.691504941713
3,1024,0.00012251724972763586,0.04113303474155672,17528.010642630616,52.20824735343705,335.7088415,65.0,1575.0,5.039862339240915e-06,0.9999945660274252,0.0,0.0,8261.0,17528.010642630616
3,2048,0.000765603186646434,0.2575174506828528,22439.652140548733,66.71348959793599,336.358858,63.0,1668.5,0.00019715872188744155,0.9999935559137807,0.0,0.0,1318.0,22439.652140548733
3,4096,0.005562991666666667,1.8130888888888888,24705.94279928528,75.8038404711734,325.87302999999997,65.0,1680.0,0.010087026143564815,0.9999950053762063,0.0,0.0,180.0,24705.94279928528
3,8192,0.041721375000000005,13.5970625,26353.67671604661,80.86391504240407,325.63235399999996,61.0,1605.0,0.5680459060321179,0.9999960012330164,0.0,0.0,24.0,26353.67671604661
3,16384,0.333162875,111.70862500000001,26401.78042124876,78.74174657428605,335.252932,64.0,1597.0,37.246821311125004,0.9999966171596324,0.0,0.0,4.0,26401.78042124876
4,64,5.265390629524527e-06,0.0009341966020311998,99.57247940586151,0.5612187503193641,177.4047055,58.0,1950.0,4.919391837770915e-09,0.9999975001179928,0.0,0.0,189937.0,99.57247940586151
4,128,5.186626183838249e-06,0.001012819849689396,808.6767648689453,4.14123696127833,195.275198,59.0,1950.0,5.247058943940629e-09,0.9999970060805536,0.0,0.0,193333.0,808.6767648689453
4,256,7.282658879559572e-06,0.0021616795683107462,4607.442495255722,15.522399879718318,296.822251,63.0,1950.0,1.574294794625371e-08,0.9999975001449917,0.0,0.0,137321.0,4607.442495255722
4,512,2.2847072797459968e-05,0.007523036158888965,11749.227510288674,35.681799357378225,329.3329935,62.0,1811.0,1.7185056457694625e-07,0.9999975004958497,0.0,0.0,43779.0,11749.227510288674
4,1024,0.0001221521401243424,0.04049438067910091,17580.401363044977,53.03165178876334,331.501936,63.0,1575.0,4.94656256546926e-06,0.9999955958312798,0.0,0.0,8364.0,17580.401363044977
4,2048,0.0007647087155963302,0.2590519877675841,22465.89956863947,66.31838691931522,338.581104,63.0,1672.0,0.00019813932484814693,0.999995000304954,0.0,0.0,1308.0,22465.89956863947
4,4096,0.005556247222222222,1.8068722222222222,24735.932006625262,76.06457336569565,325.164138,64.0,1680.0,0.010040429088611112,0.999995999555797,0.0,0.0,180.0,24735.932006625262
4,8192,0.041805375,13.599875,26300.724021888782,80.8473120073397,325.244533,62.0,1605.0,0.5684647558940973,0.9999955139278118,0.0,0.0,24.0,26300.724021888782
4,16384,0.33255825,111.51975,26449.781544652586,78.87484350157091,335.95082449999995,62.0,1597.0,37.1108144101875,0.9999992483113314,0.0,0.0,4.0,26449.781544652586
5,64,5.265276790649924e-06,0.0009361078206849351,99.57463232222801,0.5600722408331837,177.707753,58.0,1950.0,4.93111656963096e-09,0.9999980001049946,0.0,0.0,189945.0,99.57463232222801
5,128,5.183225422148554e-06,0.0010082849891225527,809.2073384426674,4.1598461224754155,194.48846600000002,59.0,1950.0,5.227245972809585e-09,0.9999969997146074,0.0,0.0,193060.0,809.2073384426674
5,256,7.2832927930552314e-06,0.002161005593101841,4607.041479236235,15.52725944559695,296.6286315,63.0,1950.0,1.5738474010484184e-08,0.9999969999429985,0.0,0.0,137312.0,4607.041479236235
5,512,2.2875730590455152e-05,0.006926434718578858,11734.508562651328,38.75521400924661,302.79810499999996,64.0,1815.0,1.584405628733446e-07,0.999997988297929,0.0,0.0,43458.0,11734.508562651328
5,1024,0.0001221972051560053,0.04069021804601855,17573.917885951836,52.7764305379264,333.009875,65.0,1590.0,4.971667723074891e-06,0.9999965505305326,0.0,0.0,8301.0,17573.917885951836
5,2048,0.0007633897727272727,0.25707083333333336,22504.71510788993,66.8293209019659,336.69583850000004,63.0,1676.0,0.00019627232680928606,0.9999722229782713,0.0,0.0,1320.0,22504.71510788993
5,4096,0.005547055248618785,1.798779005524862,24776.921697029582,76.4068095671483,324.218193,62.5,1680.0,0.009979714305943042,0.999997510631272,0.0,0.0,181.0,24776.921697029582
5,8192,0.04170891666666667,13.750395833333332,26361.54862909701,79.96218100383756,328.70491649999997,63.0,1605.0,0.5733642549149305,0.9999880192704457,0.0,0.0,24.0,26361.54862909701
5,16384,0.332510375,111.2755,26453.59009740214,79.04789059325327,334.836341,64.0,1593.5,36.979984387656245,0.9999996244131455,0.0,0.0,4.0,26453.59009740214
