problem_size,configuration,num_threads,runtime_per_op_s_session_cv_pct,primary_energy_per_op_j_session_cv_pct,logical_bandwidth_gb_s_session_cv_pct,primary_power_w_session_cv_pct,runtime_stable_5pct,energy_stable_5pct,bandwidth_stable_5pct
1000000,1T,1,0.37944526003544826,0.7272391938086713,0.3790034191269482,0.7443304721386623,True,True,True
1000000,2T,2,7.388644849001241,7.5355225407548545,8.11640321324071,1.4419767203300091,False,False,False
1000000,4T,4,0.3536782986274468,0.4374200603436291,0.3523983984066744,0.49338458991203227,True,True,True
1000000,8T,8,1.6757872479162457,1.4093537001097687,1.6751446603762372,0.6870170534715164,True,True,True
1000000,10T,10,2.7793792460785847,2.4919666545881887,2.804961424456652,0.3918140323980146,True,True,True
1000000,16T,16,37.65936182979666,34.68253502558334,75.83261152734936,7.5855769946205145,False,False,False
1000000,20T,20,40.83968409174957,38.30024465682578,90.26849958200833,7.882057666475223,False,False,False
1000000,32T,32,47.842128464669706,45.51806865178774,133.27982178785834,12.602510028444794,False,False,False
1000000,64T,64,1.5786817833705409,1.3235160586052832,1.59594817775906,0.3056532076461647,True,True,True
2000000,1T,1,0.3411064388958348,1.2668886005411002,0.34184361387751205,1.0522235023886182,True,True,True
2000000,2T,2,0.35996479361616196,2.0226559188769313,0.35909559790258583,2.2738209580953455,True,True,True
2000000,4T,4,0.22102599592316055,0.4004920418920771,0.2215116953919397,0.30626164922070065,True,True,True
2000000,8T,8,1.0270034765227014,0.7969344283682671,1.03081065112312,0.28090705250136927,True,True,True
2000000,10T,10,0.7293788534454191,0.8137908579775539,0.7305658705855064,0.2503591881299962,True,True,True
2000000,16T,16,1.513938690926599,1.3232525366131076,1.5224769793863453,0.4678171109583188,True,True,True
2000000,20T,20,36.17952018849921,31.81403052519099,70.26325469446218,10.348882993515637,False,False,False
2000000,32T,32,44.639168953971634,40.7097447374921,111.26792147480755,15.335010176932018,False,False,False
2000000,64T,64,0.5574690029176695,0.43311007739838087,0.5577388014143025,0.2610953188836949,True,True,True
4000000,1T,1,3.0120074774347287,3.0207936070892045,3.0800189823768163,0.9096863049731893,True,True,True
4000000,2T,2,1.2952311979175188,0.7949598698377734,1.2844586790760746,1.9734460042872066,True,True,True
4000000,4T,4,0.09464568215261487,1.3938791017856438,0.09471875735811493,1.2779163723477787,True,True,True
