session_number,rows,median_runtime_window_s,median_total_power_w,median_package_power_w,median_dram_power_w,median_temp_c,max_temp_c,median_clock_before_mhz,median_clock_after_mhz,checksum_failures
1,810,1.0134735,139.66926451708858,139.66926451708858,,78.0,95,2075.5,2053.0,0
2,810,1.011056,140.21200932609054,140.21200932609054,,77.0,92,2063.0,2059.5,0
3,810,1.0112329999999998,140.4679556112718,140.4679556112718,,77.0,94,2087.5,2062.0,0
4,810,1.0127165,158.09768704184245,158.09768704184245,,76.0,93,2061.5,2057.0,0
5,810,1.0105545,142.36636406071233,142.36636406071233,,76.0,92,2066.0,2060.0,0
