problem_size,tradeoff_class,package_energy_exact_best_threads,package_energy_leader_threads,package_energy_selection_status,runtime_exact_best_threads,runtime_leader_threads,runtime_selection_status,shared_leader_threads,energy_penalty_using_runtime_best_pct,runtime_penalty_using_energy_best_pct,total_energy_sensitivity_same_exact_thread,total_energy_sensitivity_exact_best_threads,total_energy_sensitivity_leader_threads
64,shared_near_optimal_configuration,8,"8,2,20,10,1,4,32,64,16",tie_or_uncertain,8,"8,20,2,4,10,1,32,64,16",tie_or_uncertain,"1,2,4,8,10,16,20,32,64",0.0,0.0,True,8,"8,2,20,10,1,4,32,64,16"
128,shared_near_optimal_configuration,4,"4,64,16,10",tie_or_uncertain,4,"4,64,16,10",tie_or_uncertain,"4,10,16,64",0.0,0.0,True,4,"4,64,16,10"
256,shared_near_optimal_configuration,4,"4,8",tie_or_uncertain,16,"16,8",tie_or_uncertain,8,13.105661709790773,32.89293508840218,True,4,"4,8"
512,shared_near_optimal_configuration,16,"16,8",tie_or_uncertain,16,"16,20,32,8",tie_or_uncertain,"8,16",0.0,0.0,True,16,"16,8"
1024,uncertain_configuration_tradeoff,16,16,clear_leader,32,"32,64",tie_or_uncertain,none,3.686944099499012,16.86368010684236,True,16,16
2048,shared_near_optimal_configuration,64,64,clear_leader,64,"64,32",tie_or_uncertain,64,0.0,0.0,True,64,64
4096,shared_near_optimal_configuration,64,64,clear_leader,32,"32,64",tie_or_uncertain,64,7.209271950425977,7.643177339194285,True,64,64
8192,clear_configuration_tradeoff,64,64,clear_leader,32,32,clear_leader,none,11.674708487397467,4.6171748727715345,True,64,64
16384,shared_near_optimal_configuration,64,64,clear_leader,32,"32,64",tie_or_uncertain,64,7.260832639924364,5.831932521208172,True,64,64
