problem_size,metric,objective,num_threads,value,ci95_low,ci95_high,relative_loss_vs_best_pct,within_practical_tolerance,ci_overlaps_exact_best,in_leader_set,exact_best,selection_status
64,total_energy_per_op_j_median,min,8,0.0004390853733376701,0.00043877370665916017,0.00044888957685455886,0.0,True,True,True,True,tie_or_uncertain
64,total_energy_per_op_j_median,min,2,0.00044145094914271974,0.0004377230024346717,0.00045310438511084476,0.5387507643599854,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,20,0.00044184425487357954,0.000438274935889197,0.0004452024594210948,0.6283246273812271,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,10,0.0004418865183882099,0.0004392478814860301,0.0004500579401007222,0.6379499798062405,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,1,0.00044200681379123654,0.0004400440978180927,0.0004494260129056276,0.6653467938044333,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,4,0.0004425503748799645,0.00043786287632595496,0.00045077458678070674,0.789140734968119,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,32,0.0004426930392815538,0.000437927370462188,0.0004482989563826225,0.8216320021002588,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,64,0.0004436749288843992,0.0004381753323865723,0.0004510462773522293,1.0452535714961186,True,True,True,False,tie_or_uncertain
64,total_energy_per_op_j_median,min,16,0.00044653634082884224,0.0004397738004126691,0.00044711433166303425,1.6969291039084844,True,True,True,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,4,0.0015195568035815993,0.001501076838723827,0.0015256776350026022,0.0,True,True,True,True,tie_or_uncertain
128,total_energy_per_op_j_median,min,32,0.0020731785622505098,0.0020294348065642695,0.002135253155767621,36.43310716414303,False,False,False,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,64,0.002076284909022376,0.0015095120332921082,0.0021034587544314512,36.63753168875077,False,True,True,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,16,0.002077620699591352,0.0014729700755374783,0.0021318196061750057,36.725438278739865,False,True,True,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,20,0.002088338600956082,0.0020346351830885954,0.002176913869514676,37.43076902645974,False,False,False,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,2,0.002089668733279051,0.0020836044056369678,0.002101381554835072,37.518303254850125,False,False,False,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,10,0.00209385901627817,0.0014858027679584534,0.002108257725717294,37.794060172212006,False,True,True,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,8,0.0020958530237283465,0.0020498202350224155,0.0021416308008545323,37.92528313442547,False,False,False,False,tie_or_uncertain
128,total_energy_per_op_j_median,min,1,0.0029614384544470723,0.002945651229376902,0.0030007464902698545,94.88830213302684,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,4,0.010429868521407523,0.010338229942136627,0.010570141562608394,0.0,True,True,True,True,tie_or_uncertain
256,total_energy_per_op_j_median,min,16,0.01179677180659915,0.011660553517521984,0.012579523818090235,13.105661709790773,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,8,0.01213099419128242,0.008256080425299892,0.012304664694725433,16.310135323214283,False,True,True,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,10,0.014087156038262256,0.013625024680246327,0.014217053236420784,35.0655188926694,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,2,0.014485592454587796,0.01415739267501159,0.014826411330432079,38.88566691762043,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,64,0.016673903994151147,0.01584684049012436,0.019386661720277233,59.86686658539953,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,32,0.016787035660511925,0.01639013960284751,0.01909102388383182,60.95155587106571,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,20,0.01756950561172433,0.017375364586172438,0.017790384089408657,68.4537592747459,False,False,False,False,tie_or_uncertain
256,total_energy_per_op_j_median,min,1,0.021607643325727323,0.02138796323738957,0.022762604826546004,107.17081218595598,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,16,0.0675389177373864,0.06365162377096586,0.06830553056840713,0.0,True,True,True,True,tie_or_uncertain
512,total_energy_per_op_j_median,min,20,0.07508675479497354,0.0731238137192197,0.07844778771049803,11.175537468538677,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,4,0.0758737083835947,0.07452908308427975,0.07689479249379652,12.34072283867016,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,8,0.07857125606469002,0.05813018731514952,0.07920035184182016,16.33478695972148,False,True,True,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,10,0.08131757731694828,0.08092026633165829,0.08300611221294363,20.401066586731286,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,32,0.09039183674257044,0.08065844464170432,0.09253159762633997,33.83666746636913,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,2,0.10685366969353008,0.10539428698553949,0.10921577771362587,58.210515171434054,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,64,0.1154299060592851,0.1123496362489487,0.1471370215,70.90872925757364,False,False,False,False,tie_or_uncertain
512,total_energy_per_op_j_median,min,1,0.16735210307017545,0.16626982967032966,0.17128495393258425,147.7861782163813,False,False,False,False,tie_or_uncertain
1024,total_energy_per_op_j_median,min,16,0.4434588682242991,0.44295259537037035,0.45150016064638787,0.0,True,True,True,True,clear_leader
1024,total_energy_per_op_j_median,min,32,0.4598089488,0.4573614785031847,0.48668356785714284,3.686944099499012,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,20,0.4707916341911764,0.4679688577898551,0.4765028712686567,6.163540279693436,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,64,0.5112660070671378,0.4687506957928802,0.5239679591651543,15.290513664627436,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,8,0.5379644783333333,0.5354168823529412,0.5412700989932886,21.31102045325064,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,10,0.5488203777777778,0.5423060613496933,0.5617664688524591,23.759026395247872,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,4,0.5946855642857143,0.5886371995305164,0.6010816818181818,34.10162856071819,False,False,False,False,clear_leader
1024,total_energy_per_op_j_median,min,2,0.8398591652173912,0.8344052654867256,0.8648639017857143,89.38828951157541,False,False,False,False,clear_leader
