source_file,session_number,sequence_index,repetition,problem_size,num_threads,runtime_per_op_s,total_energy_per_op_j,package_energy_per_op_j,dram_energy_per_op_j,total_avg_power_w,temp_c,runtime_outlier,total_energy_outlier,package_energy_outlier
strided_gemm_amd_20260719_175453_session1.csv,1,462,2,64,4,6.216779527412437e-06,0.00045623042212608535,0.00045623042212608535,,73.38693934928375,76,False,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,731,1,64,8,6.267922351309385e-06,0.00044675406133583734,0.00044675406133583734,,71.27625970709565,69,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,274,4,64,10,6.245906220309618e-06,0.00045266451809211546,0.00045266451809211546,,72.47379357381325,74,True,False,False
strided_gemm_amd_20260719_175453_session1.csv,1,81,1,64,16,6.186607802594241e-06,0.00044870565480071287,0.00044870565480071287,,72.52854377039326,74,True,False,False
strided_gemm_amd_20260719_175453_session1.csv,1,82,2,64,16,6.190830120025582e-06,0.0004492898310452099,0.0004492898310452099,,72.57343883365246,74,True,False,False
strided_gemm_amd_20260719_175453_session1.csv,1,83,3,64,16,6.168203466025868e-06,0.0004472334693167918,0.0004472334693167918,,72.50627703514154,73,True,False,False
strided_gemm_amd_20260719_175453_session1.csv,1,87,7,64,16,6.157206812833362e-06,0.0004459119212165242,0.0004459119212165242,,72.42113750136141,72,True,False,False
strided_gemm_amd_20260719_175453_session1.csv,1,494,4,64,64,6.182349856565594e-06,0.00044723386902742213,0.00044723386902742213,,72.34043355738987,72,False,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,517,7,128,2,2.5157985343724555e-05,0.002189617587530534,0.002189617587530534,,87.03469525141112,74,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,214,4,128,4,1.4244972846029649e-05,0.0015954576945144978,0.0015954576945144978,,112.00145565452466,83,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,215,5,128,4,1.41678742510975e-05,0.0015984784302736747,0.0015984784302736747,,112.82415427634461,83,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,219,9,128,4,1.4156932602110939e-05,0.0015954703174412554,0.0015954703174412554,,112.69887074290054,82,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,502,2,128,8,1.7277985328080423e-05,0.0020672100088303218,0.0020672100088303218,,119.64415813403102,65,True,True,True
strided_gemm_amd_20260719_175453_session1.csv,1,503,3,128,8,1.720272381469909e-05,0.0020611120262192637,0.0020611120262192637,,119.81312078370519,65,True,True,True
