problem_size,num_threads,sessions,runs,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_between_session_robust_cv,runtime_per_op_s_between_session_cv,runtime_per_op_s_run_robust_cv,runtime_per_op_s_run_cv,total_energy_per_op_j_median,total_energy_per_op_j_ci95_low,total_energy_per_op_j_ci95_high,total_energy_per_op_j_between_session_robust_cv,total_energy_per_op_j_between_session_cv,total_energy_per_op_j_run_robust_cv,total_energy_per_op_j_run_cv,package_energy_per_op_j_median,package_energy_per_op_j_ci95_low,package_energy_per_op_j_ci95_high,package_energy_per_op_j_between_session_robust_cv,package_energy_per_op_j_between_session_cv,package_energy_per_op_j_run_robust_cv,package_energy_per_op_j_run_cv,total_avg_power_w_median,total_avg_power_w_ci95_low,total_avg_power_w_ci95_high,total_avg_power_w_between_session_robust_cv,total_avg_power_w_between_session_cv,total_avg_power_w_run_robust_cv,total_avg_power_w_run_cv,package_avg_power_w_median,package_avg_power_w_ci95_low,package_avg_power_w_ci95_high,package_avg_power_w_between_session_robust_cv,package_avg_power_w_between_session_cv,package_avg_power_w_run_robust_cv,package_avg_power_w_run_cv,edp_total_j_s_median,edp_total_j_s_ci95_low,edp_total_j_s_ci95_high,edp_total_j_s_between_session_robust_cv,edp_total_j_s_between_session_cv,edp_total_j_s_run_robust_cv,edp_total_j_s_run_cv,edp_package_j_s_median,edp_package_j_s_ci95_low,edp_package_j_s_ci95_high,edp_package_j_s_between_session_robust_cv,edp_package_j_s_between_session_cv,edp_package_j_s_run_robust_cv,edp_package_j_s_run_cv,throughput_gflops_exact_median,throughput_gflops_exact_ci95_low,throughput_gflops_exact_ci95_high,throughput_gflops_exact_between_session_robust_cv,throughput_gflops_exact_between_session_cv,throughput_gflops_exact_run_robust_cv,throughput_gflops_exact_run_cv,total_efficiency_gflop_per_j_median,total_efficiency_gflop_per_j_ci95_low,total_efficiency_gflop_per_j_ci95_high,total_efficiency_gflop_per_j_between_session_robust_cv,total_efficiency_gflop_per_j_between_session_cv,total_efficiency_gflop_per_j_run_robust_cv,total_efficiency_gflop_per_j_run_cv,package_efficiency_gflop_per_j_median,package_efficiency_gflop_per_j_ci95_low,package_efficiency_gflop_per_j_ci95_high,package_efficiency_gflop_per_j_between_session_robust_cv,package_efficiency_gflop_per_j_between_session_cv,package_efficiency_gflop_per_j_run_robust_cv,package_efficiency_gflop_per_j_run_cv,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_between_session_robust_cv,temp_c_between_session_cv,temp_c_run_robust_cv,temp_c_run_cv,runtime_1thread_s,total_energy_1thread_j,package_energy_1thread_j,speedup_vs_1thread,scaling_efficiency,total_energy_change_vs_1thread_pct,package_energy_change_vs_1thread_pct,stable_runtime_5pct,stable_total_energy_5pct,stable_package_energy_5pct,pareto_optimal_strict_total,pareto_optimal_practical_2pct_total,pareto_optimal_strict_package,pareto_optimal_practical_2pct_package,exact_best_threads,selection_status,leader_threads,leader_count,practical_gap_gt_tolerance,ci_separated_from_all,objective,practical_tolerance_pct,gap_to_second_pct
64,8,5,50,6.138008702643321e-06,6.121002484487254e-06,6.187864285581274e-06,0.00410775224664097,0.004205931035523049,0.0037394397061185597,0.010885693030455612,0.0004390853733376701,0.00043877370665916017,0.00044888957685455886,0.0010523625828079853,0.010054480474366967,0.0034081866294678634,0.014390362181658003,0.0004390853733376701,0.00043877370665916017,0.00044888957685455886,0.0010523625828079853,0.010054480474366967,0.0034081866294678634,0.014390362181658003,71.70195036390024,71.48723784239588,72.51264293808521,0.004439667021144584,0.005909744165654642,0.004305183291914196,0.005536515314112547,71.70195036390024,71.48723784239588,72.51264293808521,0.004439667021144584,0.005909744165654642,0.004305183291914196,0.005536515314112547,2.6951098427500107e-09,2.685734948588401e-09,2.7776677807880153e-09,0.0042471280040713875,0.014265653135243285,0.007714824918864233,0.025350123797037643,2.6951098427500107e-09,2.685734948588401e-09,2.7776677807880153e-09,0.0042471280040713875,0.014265653135243285,0.007714824918864233,0.025350123797037643,85.41662702013058,84.72842580301509,85.65394334158954,0.004119169429060356,0.0041945747795806,0.0037488967959827956,0.0104865361627439,1.1940456955208263,1.167966526809934,1.194893841729827,0.0010531442323026253,0.009976867919283785,0.003415988386091804,0.013921597175665034,1.1940456955208263,1.167966526809934,1.194893841729827,0.0010531442323026253,0.009976867919283785,0.003415988386091804,0.013921597175665034,69.0,69.0,74.0,0.0,0.03376898553412538,0.010666187050359712,0.042788355096084855,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0023578596866116,0.12529473246082645,-0.6609491895630093,-0.6609491895630093,True,True,True,True,True,True,True,8,tie_or_uncertain,"8,2,20,10,1,4,32,64,16",9,False,False,max,2.0,0.5387507643599854
128,4,5,50,1.3358346501653233e-05,1.3249158205720332e-05,1.3406942609716718e-05,0.0052137724395880936,0.004713112559906364,0.005931484185966499,0.017125522993955533,0.0015195568035815993,0.001501076838723827,0.0015256776350026022,0.005971968039226744,0.006513413597730106,0.0060396804490367665,0.014842918065158934,0.0015195568035815993,0.001501076838723827,0.0015256776350026022,0.005971968039226744,0.006513413597730106,0.0060396804490367665,0.014842918065158934,113.74900797740266,113.28919338238283,113.84165991935286,0.0012076216889967799,0.0023860316839583386,0.004159329789683279,0.004186040097661081,113.74900797740266,113.28919338238283,113.84165991935286,0.0012076216889967799,0.0023860316839583386,0.004159329789683279,0.004186040097661081,2.0298766311187626e-08,1.988800451519453e-08,2.0454672493408218e-08,0.009744918068682539,0.010799965759028503,0.01207214998375701,0.03235532872521018,2.0298766311187626e-08,1.988800451519453e-08,2.0454672493408218e-08,0.009744918068682539,0.010799965759028503,0.01207214998375701,0.03235532872521018,313.9837703327213,312.8456742225604,316.5713575817297,0.00523217259387078,0.00472396544960795,0.0059080119896122085,0.016418074126442455,2.7602153404953436,2.7491416953181242,2.7941967338366758,0.005947956614744652,0.00654217419704641,0.00601514742363267,0.014404621068043385,2.7602153404953436,2.7491416953181242,2.7941967338366758,0.005947956614744652,0.00654217419704641,0.00601514742363267,0.014404621068043385,82.5,79.0,83.0,0.008985454545454545,0.022954953293091666,0.01808048780487805,0.02555193643665776,4.032576485663944e-05,0.0029614384544470723,0.0029614384544470723,3.0187691906066902,0.7546922976516726,-48.68855703214962,-48.68855703214962,True,True,True,True,True,True,True,4,tie_or_uncertain,"4,64,16,10",4,True,False,max,2.0,36.43310716414303
256,4,5,50,8.740453284798059e-05,8.665355384748251e-05,8.796396982310093e-05,0.003895134457737814,0.005433180502059656,0.008134347587795672,0.007576835992816225,0.010429868521407523,0.010338229942136627,0.010570141562608394,0.006504043118918719,0.008484130268884968,0.008265940622374728,0.008792894537743902,0.010429868521407523,0.010338229942136627,0.010570141562608394,0.006504043118918719,0.008484130268884968,0.008265940622374728,0.008792894537743902,119.41058599083797,119.26878718675022,120.29068101388637,0.0017605717717241376,0.003435713822515088,0.004509639818931753,0.004303759928427664,119.41058599083797,119.26878718675022,120.29068101388637,0.0017605717717241376,0.003435713822515088,0.004509639818931753,0.004303759928427664,9.116177857794826e-07,8.958443649785922e-07,9.297916134391897e-07,0.010241646340806114,0.013768997797459567,0.015544993614829299,0.015855115798945562,9.116177857794826e-07,8.958443649785922e-07,9.297916134391897e-07,0.010241646340806114,0.013768997797459567,0.015544993614829299,0.015855115798945562,383.89807606843414,381.45654484988916,387.22511091765034,0.0039051331535093848,0.005438573452002443,0.008131621351085267,0.007569739259290375,3.2171481290611506,3.1744543629101383,3.2456650884924336,0.006534192686886416,0.008455075813265694,0.008312242095646363,0.008752649709205374,3.2171481290611506,3.1744543629101383,3.2456650884924336,0.006534192686886416,0.008455075813265694,0.008312242095646363,0.008752649709205374,83.0,82.0,89.0,0.017862650602409637,0.03503059668349792,0.017862650602409637,0.02989763326448154,0.00028682616129951553,0.021607643325727323,0.021607643325727323,3.2815936651521436,0.8203984162880359,-51.73065213924042,-51.73065213924042,True,True,True,True,True,True,True,4,tie_or_uncertain,"4,8",2,True,False,max,2.0,13.105661709790773
512,16,5,50,0.0003210643998746475,0.0002918957489878543,0.0003308536021150033,0.03951091485995589,0.04880025125942016,0.039763854243744096,0.042746123640889165,0.0675389177373864,0.06365162377096586,0.06830553056840713,0.016828522300145886,0.02766281526768385,0.017394424290960636,0.024030886275322003,0.0675389177373864,0.06365162377096586,0.06830553056840713,0.016828522300145886,0.02766281526768385,0.017394424290960636,0.024030886275322003,210.30151909100186,206.38006839406,217.91121082468095,0.023311201535436712,0.02208185125901899,0.022573840352030892,0.019736403421570223,210.30151909100186,206.38006839406,217.91121082468095,0.023311201535436712,0.02208185125901899,0.022573840352030892,0.019736403421570223,2.168434209153715e-05,1.8579638394919193e-05,2.2599130832933966e-05,0.06222107357827003,0.07510206391340497,0.06109279653159194,0.06567331569509718,2.168434209153715e-05,1.8579638394919193e-05,2.2599130832933966e-05,0.06222107357827003,0.07510206391340497,0.06109279653159194,0.06567331569509718,836.0797899262725,811.342098994869,919.6278360709169,0.04059271816146738,0.050766773764946226,0.040592718161467284,0.04437093026844224,3.974530019029408,3.929922712937062,4.217260143525898,0.016639705910047126,0.02837368520091599,0.017298644840612446,0.02462816335008229,3.974530019029408,3.929922712937062,4.217260143525898,0.016639705910047126,0.02837368520091599,0.017298644840612446,0.02462816335008229,77.0,74.5,79.0,0.028881818181818182,0.02232719500846876,0.03850909090909091,0.03099495138315201,0.0022319092920353983,0.16735210307017545,0.16735210307017545,6.951593801451666,0.4344746125907291,-59.64262384616378,-59.64262384616378,True,True,True,True,True,True,True,16,tie_or_uncertain,"16,8",2,True,False,max,2.0,11.175537468538677
1024,16,5,50,0.0018773803738317755,0.0018604453703703705,0.0019166435361216729,0.008859742770860693,0.01115814025599869,0.00948017716622907,0.01143877142082578,0.4434588682242991,0.44295259537037035,0.45150016064638787,0.0016926037272414936,0.008073852470565227,0.0037243317400526632,0.0074657171964020745,0.4434588682242991,0.44295259537037035,0.45150016064638787,0.0016926037272414936,0.008073852470565227,0.0037243317400526632,0.0074657171964020745,236.19859088495195,234.88894967749218,238.12725856244035,0.001964674147833127,0.004900624172273445,0.004057468095204145,0.004819773153676142,236.19859088495195,234.88894967749218,238.12725856244035,0.001964674147833127,0.004900624172273445,0.004057468095204145,0.004819773153676142,0.0008325409758059507,0.0008240891053503455,0.0008653648644607962,0.015378680988425946,0.01838153043576628,0.016269040577443585,0.018778155347184713,0.0008325409758059507,0.0008240891053503455,0.0008653648644607962,0.015378680988425946,0.01838153043576628,0.016269040577443585,0.018778155347184713,1143.8724288019148,1120.439772721344,1154.284711715285,0.008807689649248919,0.011083400237402345,0.009466791325595213,0.011348450243659358,4.842576847316118,4.756329753959703,4.848111672546818,0.0016945363244524842,0.008009378339021085,0.0037258324175228254,0.007402678876820454,4.842576847316118,4.756329753959703,4.848111672546818,0.0016945363244524842,0.008009378339021085,0.0037258324175228254,0.007402678876820454,80.0,78.5,82.0,0.00926625,0.015648254860363007,0.0185325,0.023538004600320604,0.017628657894736843,1.3343390087719298,1.3343390087719298,9.390029927050081,0.5868768704406301,-66.76565210872158,-66.76565210872158,True,True,True,True,True,True,True,16,clear_leader,16,1,True,True,max,2.0,3.686944099499012
2048,64,5,50,0.008330417355371902,0.008155104838709678,0.008455987394957985,0.018738649390889005,0.014698474752853786,0.019110301556078787,0.01416621510431561,1.998782991735537,1.9723544717741937,2.034774886554622,0.0002568942422824784,0.011107210348619015,0.008335328476131961,0.01174251249079541,1.998782991735537,1.9723544717741937,2.034774886554622,0.0002568942422824784,0.011107210348619015,0.008335328476131961,0.01174251249079541,240.48459505825045,236.7445798640632,241.89555834955746,0.006643115910780056,0.008421663067234979,0.005595619769358219,0.007798954447071798,240.48459505825045,236.7445798640632,241.89555834955746,0.006643115910780056,0.008421663067234979,0.005595619769358219,0.007798954447071798,0.01665069652397589,0.0160847574964164,0.017206030792282945,0.018845771516713312,0.02484863986775399,0.01964147495151476,0.02479915512443378,0.01665069652397589,0.0160847574964164,0.017206030792282945,0.018845771516713312,0.02484863986775399,0.01964147495151476,0.02479915512443378,2062.3059387200447,2031.6810304428514,2106.6398928990648,0.018504770692690097,0.014777789413728938,0.01886713008767447,0.014235552631874702,8.59516478528906,8.443130145511956,8.71033550503028,0.0002568357573839177,0.011062755090989765,0.008334966149643335,0.011701005398087135,8.59516478528906,8.443130145511956,8.71033550503028,0.0002568357573839177,0.011062755090989765,0.008334966149643335,0.011701005398087135,66.5,64.0,69.0,0.0334421052631579,0.031000794177576396,0.044927272727272725,0.04541288075628743,0.139054125,10.7613653125,10.7613653125,16.69233593804642,0.2608177490319753,-81.42630666562518,-81.42630666562518,True,True,True,True,True,True,True,64,clear_leader,64,1,True,True,max,2.0,20.455621493429256
4096,64,5,50,0.058426138888888896,0.05453028947368421,0.06017547058823529,0.03468355012335144,0.0365008568389281,0.033913522114447425,0.034400835435917244,14.175827222222221,13.589177105263158,14.617362352941175,0.024070092408089286,0.027054835487482762,0.024861553569928783,0.02582984221571408,14.175827222222221,13.589177105263158,14.617362352941175,0.024070092408089286,0.027054835487482762,0.024861553569928783,0.02582984221571408,244.16977961301774,242.50212715522707,249.03605014839263,0.008111715826262174,0.010714144977153079,0.006429300622861286,0.010093460636296922,244.16977961301774,242.50212715522707,249.03605014839263,0.008111715826262174,0.010714144977153079,0.006429300622861286,0.010093460636296922,0.8282388501504475,0.7410217612591621,0.8796066583469895,0.0607125531866911,0.06331925178734822,0.06024020990405137,0.05984865527738034,0.8282388501504475,0.7410217612591621,0.8796066583469895,0.0607125531866911,0.06331925178734822,0.06024020990405137,0.05984865527738034,2352.353862256286,2283.969732658314,2520.4148886524194,0.035514383781343334,0.03721775438970163,0.034707369030120984,0.034842983005136434,9.695303936587827,9.402445540685783,10.113854018340021,0.0244672760261416,0.02716634077818159,0.02486190295843772,0.02586927636170074,9.695303936587827,9.402445540685783,10.113854018340021,0.0244672760261416,0.02716634077818159,0.02486190295843772,0.02586927636170074,71.0,67.0,75.5,0.08352676056338028,0.053193638697011034,0.05257446808510638,0.06652528892576365,1.094909,86.9846985,86.9846985,18.740054037837893,0.2928133443412171,-83.70307943043314,-83.70307943043314,True,True,True,True,True,True,True,64,clear_leader,64,1,True,True,max,2.0,7.209271950425955
8192,64,5,50,0.4803816666666667,0.4712531666666666,0.4836096666666666,0.003472597344472485,0.00986160302517361,0.005765200864590248,0.009378945500675716,116.35490383333334,114.13564066666667,117.33353933333333,0.010334010653494471,0.010961191204419773,0.007356791710749245,0.010604868965371078,116.35490383333334,114.13564066666667,117.33353933333333,0.010334010653494471,0.010961191204419773,0.007356791710749245,0.010604868965371078,242.30777233192117,241.8920073747248,243.9631235741559,0.0006403439971906814,0.0033426864915035567,0.0034380174238343823,0.003697729773348801,242.30777233192117,241.8920073747248,243.9631235741559,0.0006403439971906814,0.0033426864915035567,0.0034380174238343823,0.003697729773348801,55.8947626282964,53.78678209369544,56.74363384581355,0.0162634526521256,0.020847987663981028,0.012980497474281975,0.019573931459950726,55.8947626282964,53.78678209369544,56.74363384581355,0.0162634526521256,0.020847987663981028,0.012980497474281975,0.019573931459950726,2288.8292873569276,2273.5517992320256,2333.16549478748,0.003464543834994114,0.009957128874184524,0.005751704718809207,0.009471728854076931,9.449637200946334,9.370821284546722,9.633376755531827,0.010263174518252918,0.011069938265266305,0.007356252443330064,0.010712610273581292,9.449637200946334,9.370821284546722,9.633376755531827,0.010263174518252918,0.011069938265266305,0.007356252443330064,0.010712610273581292,70.0,69.0,70.0,0.0,0.0064162639239592235,0.010589999999999999,0.021003754945891462,8.780321,675.5100494999999,675.5100494999999,18.277802025472802,0.28559065664801253,-82.77525198633874,-82.77525198633874,True,True,True,True,True,True,True,64,clear_leader,64,1,True,True,max,2.0,11.674708487397446
16384,64,5,50,3.67175,3.5669885,3.6929420000000004,0.008557025723429102,0.017034381012258775,0.008281230914922453,0.016734515024298197,921.1224775000001,899.714496,934.1156484999999,0.020913261585889128,0.017444460198617076,0.016366347351788598,0.01708173421340881,921.1224775000001,899.714496,934.1156484999999,0.020913261585889128,0.017444460198617076,0.016366347351788598,0.01708173421340881,252.54272262489073,250.60917268773017,253.50870059295903,0.005670957058561899,0.004407056382033426,0.00464456150474208,0.004327361326732196,252.54272262489073,250.60917268773017,253.50870059295903,0.005670957058561899,0.004407056382033426,0.00464456150474208,0.004327361326732196,3382.131456760625,3209.271260515296,3449.634911202887,0.029207414591788303,0.03444784374530006,0.019941451660516623,0.03341299486955348,3382.131456760625,3209.271260515296,3449.634911202887,0.029207414591788303,0.03444784374530006,0.019941451660516623,0.03341299486955348,2395.6132694785865,2381.866008783241,2465.9717916690793,0.008479983167428675,0.017127998943447145,0.008273839107924282,0.0168865640979948,9.549319701850397,9.41649252566611,9.776538069925683,0.02061978388020471,0.01749357190949632,0.016187653793819857,0.017175079854799883,9.549319701850397,9.41649252566611,9.776538069925683,0.02061978388020471,0.01749357190949632,0.016187653793819857,0.017175079854799883,80.0,76.0,81.0,0.0185325,0.028409867325213948,0.037065,0.036765144355897235,73.7586125,5575.8775465,5575.8775465,20.088135766323962,0.3138771213488119,-83.48022405767874,-83.48022405767874,True,True,True,True,True,True,True,64,clear_leader,64,1,True,True,max,2.0,7.260832639924364
