STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session5 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenMP] requested=8 active=8
[STREAM] N=4000000 threads=8 rep=1 batches=758 time=1.001 s | package=105.794 J | dram=1.990561 | total=107.785 J | power=107.7 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=2 batches=758 time=1.002 s | package=106.129 J | dram=2.023945 | total=108.153 J | power=107.9 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=3 batches=758 time=1.003 s | package=107.272 J | dram=2.030631 | total=109.303 J | power=109.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=4 batches=758 time=1.002 s | package=107.107 J | dram=2.016157 | total=109.123 J | power=108.9 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=5 batches=758 time=1.002 s | package=106.801 J | dram=1.994722 | total=108.796 J | power=108.6 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=6 batches=758 time=1.002 s | package=107.388 J | dram=2.007666 | total=109.395 J | power=109.2 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=7 batches=758 time=1.001 s | package=106.125 J | dram=2.026164 | total=108.151 J | power=108.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=8 batches=758 time=1.002 s | package=106.463 J | dram=2.042336 | total=108.505 J | power=108.3 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=9 batches=758 time=1.002 s | package=106.917 J | dram=2.051791 | total=108.968 J | power=108.7 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=8 rep=10 batches=758 time=1.001 s | package=106.798 J | dram=2.051347 | total=108.849 J | power=108.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=4 active=4
[STREAM] N=8000000 threads=4 rep=1 batches=317 time=1.000 s | package=75.441 J | dram=2.010175 | total=77.451 J | power=77.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=2 batches=317 time=1.000 s | package=76.772 J | dram=2.005647 | total=78.777 J | power=78.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=3 batches=317 time=0.999 s | package=75.555 J | dram=1.994905 | total=77.550 J | power=77.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=4 batches=317 time=1.002 s | package=76.818 J | dram=1.985649 | total=78.804 J | power=78.7 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=5 batches=317 time=1.003 s | package=77.730 J | dram=2.017275 | total=79.747 J | power=79.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=6 batches=317 time=1.004 s | package=77.449 J | dram=1.971741 | total=79.421 J | power=79.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=7 batches=317 time=1.006 s | package=76.868 J | dram=1.966203 | total=78.834 J | power=78.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=8 batches=317 time=1.006 s | package=76.822 J | dram=1.948180 | total=78.770 J | power=78.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=9 batches=317 time=1.004 s | package=77.010 J | dram=1.944829 | total=78.955 J | power=78.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=4 rep=10 batches=317 time=1.004 s | package=76.933 J | dram=1.950475 | total=78.884 J | power=78.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=2000000 threads=10 rep=1 batches=4139 time=1.001 s | package=130.980 J | dram=2.208708 | total=133.189 J | power=133.1 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=2 batches=4139 time=1.002 s | package=131.161 J | dram=2.182407 | total=133.344 J | power=133.1 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=3 batches=4139 time=1.001 s | package=131.086 J | dram=2.196437 | total=133.282 J | power=133.2 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=4 batches=4139 time=1.002 s | package=131.254 J | dram=2.224865 | total=133.479 J | power=133.2 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=5 batches=4139 time=1.002 s | package=131.413 J | dram=2.224268 | total=133.637 J | power=133.4 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=6 batches=4139 time=1.002 s | package=131.460 J | dram=2.179837 | total=133.639 J | power=133.3 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=7 batches=4139 time=1.001 s | package=131.611 J | dram=2.192949 | total=133.804 J | power=133.6 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=8 batches=4139 time=1.000 s | package=131.519 J | dram=2.199834 | total=133.719 J | power=133.7 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=9 batches=4139 time=1.001 s | package=131.563 J | dram=2.174145 | total=133.737 J | power=133.6 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=10 rep=10 batches=4139 time=1.000 s | package=131.566 J | dram=2.181566 | total=133.748 J | power=133.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=1000000 threads=10 rep=1 batches=19160 time=1.000 s | package=148.757 J | dram=0.000000 | total=148.757 J | power=148.7 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=10 rep=2 batches=19160 time=1.002 s | package=149.202 J | dram=0.000000 | total=149.202 J | power=148.8 W | runtime=in_range | checksum=OK
