STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session2 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenMP] requested=8 active=8
[STREAM] N=32000000 threads=8 rep=1 batches=73 time=1.011 s | package=106.519 J | dram=2.039949 | total=108.559 J | power=107.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=2 batches=73 time=1.012 s | package=106.348 J | dram=1.965912 | total=108.314 J | power=107.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=3 batches=73 time=1.012 s | package=106.670 J | dram=1.994936 | total=108.665 J | power=107.4 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=4 batches=73 time=1.012 s | package=106.241 J | dram=2.003183 | total=108.244 J | power=106.9 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=5 batches=73 time=1.011 s | package=106.427 J | dram=2.044676 | total=108.471 J | power=107.2 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=6 batches=73 time=1.012 s | package=105.999 J | dram=1.977556 | total=107.976 J | power=106.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=7 batches=73 time=1.011 s | package=105.191 J | dram=2.023226 | total=107.214 J | power=106.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=8 batches=73 time=1.012 s | package=106.052 J | dram=2.020610 | total=108.073 J | power=106.8 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=9 batches=73 time=1.012 s | package=105.723 J | dram=2.096605 | total=107.819 J | power=106.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=8 rep=10 batches=73 time=1.013 s | package=105.301 J | dram=2.025965 | total=107.327 J | power=106.0 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=256000000 threads=16 rep=1 batches=9 time=1.048 s | package=114.983 J | dram=2.239904 | total=117.223 J | power=111.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=2 batches=9 time=1.048 s | package=115.108 J | dram=2.187165 | total=117.295 J | power=112.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=3 batches=9 time=1.048 s | package=115.673 J | dram=2.241771 | total=117.915 J | power=112.5 W | runtime=in_range | checksum=OK
