STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session1 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenMP] requested=2 active=2
[STREAM] N=8000000 threads=2 rep=1 batches=259 time=1.000 s | package=52.534 J | dram=1.471829 | total=54.006 J | power=54.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=2 batches=259 time=1.000 s | package=52.544 J | dram=1.460355 | total=54.004 J | power=54.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=3 batches=259 time=0.996 s | package=54.544 J | dram=1.477169 | total=56.021 J | power=56.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=4 batches=259 time=0.998 s | package=53.263 J | dram=1.495529 | total=54.759 J | power=54.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=5 batches=259 time=0.998 s | package=52.357 J | dram=1.485355 | total=53.842 J | power=53.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=6 batches=259 time=0.999 s | package=52.257 J | dram=1.472411 | total=53.729 J | power=53.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=7 batches=259 time=0.999 s | package=53.467 J | dram=1.477353 | total=54.944 J | power=55.0 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=8 batches=259 time=0.999 s | package=52.935 J | dram=1.468080 | total=54.403 J | power=54.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=9 batches=259 time=0.999 s | package=52.623 J | dram=1.451052 | total=54.074 J | power=54.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=2 rep=10 batches=259 time=0.998 s | package=52.189 J | dram=1.454174 | total=53.643 J | power=53.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=16000000 threads=16 rep=1 batches=142 time=1.004 s | package=102.858 J | dram=2.206091 | total=105.064 J | power=104.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=2 batches=142 time=1.003 s | package=102.969 J | dram=2.189660 | total=105.159 J | power=104.8 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=3 batches=142 time=1.003 s | package=102.921 J | dram=2.213252 | total=105.134 J | power=104.8 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=4 batches=142 time=1.003 s | package=103.303 J | dram=2.212472 | total=105.516 J | power=105.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=5 batches=142 time=1.003 s | package=103.225 J | dram=2.213282 | total=105.438 J | power=105.1 W | runtime=in_range | checksum=OK
