STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session3 | reps=10 | configs=63 | DRAM-RAPL=yes
[STREAM] N=2000000 threads=20 rep=7 batches=4273 time=1.000 s | package=135.228 J | dram=2.223074 | total=137.451 J | power=137.5 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=20 rep=8 batches=4273 time=1.001 s | package=135.261 J | dram=2.224436 | total=137.485 J | power=137.3 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=20 rep=9 batches=4273 time=1.000 s | package=135.231 J | dram=2.226394 | total=137.458 J | power=137.5 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=20 rep=10 batches=4273 time=1.000 s | package=135.415 J | dram=2.206291 | total=137.621 J | power=137.6 W | runtime=in_range | checksum=OK
[OpenMP] requested=2 active=2
[STREAM] N=256000000 threads=2 rep=1 batches=8 time=1.075 s | package=64.848 J | dram=1.423037 | total=66.271 J | power=61.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=2 batches=8 time=1.074 s | package=64.533 J | dram=1.398252 | total=65.932 J | power=61.4 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=3 batches=8 time=1.073 s | package=63.038 J | dram=1.388750 | total=64.427 J | power=60.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=4 batches=8 time=1.073 s | package=63.628 J | dram=1.406988 | total=65.035 J | power=60.6 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=5 batches=8 time=1.073 s | package=64.885 J | dram=1.408074 | total=66.293 J | power=61.8 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=6 batches=8 time=1.073 s | package=63.713 J | dram=1.434054 | total=65.147 J | power=60.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=7 batches=8 time=1.073 s | package=63.287 J | dram=1.416994 | total=64.704 J | power=60.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=8 batches=8 time=1.074 s | package=63.269 J | dram=1.423206 | total=64.692 J | power=60.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=9 batches=8 time=1.074 s | package=64.291 J | dram=1.405887 | total=65.697 J | power=61.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=2 rep=10 batches=8 time=1.074 s | package=63.765 J | dram=1.458717 | total=65.223 J | power=60.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=2 active=2
[STREAM] N=16000000 threads=2 rep=1 batches=126 time=1.005 s | package=60.525 J | dram=1.587360 | total=62.112 J | power=61.8 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=2 batches=126 time=1.005 s | package=60.860 J | dram=1.604664 | total=62.464 J | power=62.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=3 batches=126 time=1.004 s | package=60.713 J | dram=1.596724 | total=62.310 J | power=62.1 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=4 batches=126 time=1.004 s | package=60.844 J | dram=1.580031 | total=62.424 J | power=62.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=5 batches=126 time=1.004 s | package=61.086 J | dram=1.583428 | total=62.670 J | power=62.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=6 batches=126 time=1.005 s | package=60.886 J | dram=1.587345 | total=62.473 J | power=62.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=7 batches=126 time=1.005 s | package=60.356 J | dram=1.580444 | total=61.936 J | power=61.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=8 batches=126 time=1.005 s | package=59.351 J | dram=1.594872 | total=60.946 J | power=60.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=9 batches=126 time=1.004 s | package=59.167 J | dram=1.579832 | total=60.747 J | power=60.5 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=2 rep=10 batches=126 time=1.005 s | package=59.458 J | dram=1.593174 | total=61.052 J | power=60.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
