STREAM | Intel(R) Core(TM) i9-7900X CPU @ 3.30GHz | platform=INTEL | session=stream_intel_20260720_234432_session4 | reps=10 | configs=63 | DRAM-RAPL=yes
[OpenMP] requested=10 active=10
[STREAM] N=128000000 threads=10 rep=1 batches=18 time=1.035 s | package=124.711 J | dram=2.065393 | total=126.777 J | power=122.5 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=2 batches=18 time=1.036 s | package=124.920 J | dram=2.081887 | total=127.002 J | power=122.6 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=3 batches=18 time=1.035 s | package=124.826 J | dram=2.088496 | total=126.914 J | power=122.6 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=4 batches=18 time=1.036 s | package=124.619 J | dram=2.089949 | total=126.709 J | power=122.3 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=5 batches=18 time=1.036 s | package=124.719 J | dram=2.098120 | total=126.817 J | power=122.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=6 batches=18 time=1.036 s | package=124.843 J | dram=2.093346 | total=126.937 J | power=122.6 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=7 batches=18 time=1.035 s | package=122.882 J | dram=2.135451 | total=125.017 J | power=120.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=8 batches=18 time=1.035 s | package=125.403 J | dram=2.105770 | total=127.509 J | power=123.2 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=9 batches=18 time=1.035 s | package=124.858 J | dram=2.128046 | total=126.986 J | power=122.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=10 rep=10 batches=18 time=1.035 s | package=124.866 J | dram=2.104439 | total=126.971 J | power=122.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=20 active=20
[STREAM] N=16000000 threads=20 rep=1 batches=136 time=1.007 s | package=123.046 J | dram=2.395949 | total=125.442 J | power=124.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=2 batches=136 time=1.007 s | package=123.160 J | dram=2.380634 | total=125.540 J | power=124.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=3 batches=136 time=1.008 s | package=122.176 J | dram=2.393792 | total=124.570 J | power=123.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=4 batches=136 time=1.006 s | package=124.557 J | dram=2.391283 | total=126.948 J | power=126.1 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=5 batches=136 time=1.007 s | package=123.088 J | dram=2.381323 | total=125.470 J | power=124.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=6 batches=136 time=1.007 s | package=123.393 J | dram=2.374927 | total=125.768 J | power=124.9 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=7 batches=136 time=1.007 s | package=122.769 J | dram=2.379915 | total=125.149 J | power=124.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=8 batches=136 time=1.007 s | package=122.764 J | dram=2.387917 | total=125.152 J | power=124.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=9 batches=136 time=1.006 s | package=124.546 J | dram=2.392292 | total=126.938 J | power=126.1 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=20 rep=10 batches=136 time=1.007 s | package=123.605 J | dram=2.383541 | total=125.988 J | power=125.1 W | runtime=in_range | checksum=OK
[OpenMP] requested=4 active=4
[STREAM] N=32000000 threads=4 rep=1 batches=73 time=1.012 s | package=78.712 J | dram=1.748132 | total=80.460 J | power=79.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=2 batches=73 time=1.014 s | package=79.007 J | dram=1.748055 | total=80.755 J | power=79.6 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=3 batches=73 time=1.008 s | package=78.299 J | dram=1.755568 | total=80.054 J | power=79.4 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=4 batches=73 time=1.006 s | package=77.251 J | dram=1.744873 | total=78.996 J | power=78.6 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=5 batches=73 time=1.005 s | package=77.181 J | dram=1.729145 | total=78.910 J | power=78.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=6 batches=73 time=1.005 s | package=77.861 J | dram=1.760219 | total=79.622 J | power=79.2 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=7 batches=73 time=1.005 s | package=77.355 J | dram=1.755905 | total=79.111 J | power=78.7 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=8 batches=73 time=1.005 s | package=77.603 J | dram=1.789396 | total=79.392 J | power=79.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=9 batches=73 time=1.006 s | package=77.161 J | dram=1.777049 | total=78.938 J | power=78.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=4 rep=10 batches=73 time=1.006 s | package=77.670 J | dram=1.779772 | total=79.450 J | power=79.0 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=256000000 threads=16 rep=1 batches=9 time=1.048 s | package=119.408 J | dram=2.215654 | total=121.623 J | power=116.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=2 batches=9 time=1.048 s | package=120.111 J | dram=2.207102 | total=122.318 J | power=116.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=3 batches=9 time=1.048 s | package=119.388 J | dram=2.211630 | total=121.599 J | power=116.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=4 batches=9 time=1.047 s | package=119.439 J | dram=2.259611 | total=121.698 J | power=116.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=5 batches=9 time=1.048 s | package=119.637 J | dram=2.249926 | total=121.887 J | power=116.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=6 batches=9 time=1.048 s | package=119.335 J | dram=2.218393 | total=121.554 J | power=116.0 W | runtime=in_range | checksum=OK
