platform,platform_label,device_kind,energy_domain,problem_size,configuration,num_threads,sessions,working_set_bytes,operational_intensity_flop_per_byte,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_session_cv_pct,runtime_per_op_s_robust_cv_pct,primary_energy_per_op_j_median,primary_energy_per_op_j_ci95_low,primary_energy_per_op_j_ci95_high,primary_energy_per_op_j_session_cv_pct,primary_energy_per_op_j_robust_cv_pct,total_energy_per_op_j_median,total_energy_per_op_j_ci95_low,total_energy_per_op_j_ci95_high,total_energy_per_op_j_session_cv_pct,total_energy_per_op_j_robust_cv_pct,primary_power_w_median,primary_power_w_ci95_low,primary_power_w_ci95_high,primary_power_w_session_cv_pct,primary_power_w_robust_cv_pct,edp_primary_j_s_median,edp_primary_j_s_ci95_low,edp_primary_j_s_ci95_high,edp_primary_j_s_session_cv_pct,edp_primary_j_s_robust_cv_pct,throughput_gflops_exact_median,throughput_gflops_exact_ci95_low,throughput_gflops_exact_ci95_high,throughput_gflops_exact_session_cv_pct,throughput_gflops_exact_robust_cv_pct,primary_efficiency_gflop_per_j_median,primary_efficiency_gflop_per_j_ci95_low,primary_efficiency_gflop_per_j_ci95_high,primary_efficiency_gflop_per_j_session_cv_pct,primary_efficiency_gflop_per_j_robust_cv_pct,logical_bandwidth_gb_s_median,logical_bandwidth_gb_s_ci95_low,logical_bandwidth_gb_s_ci95_high,logical_bandwidth_gb_s_session_cv_pct,logical_bandwidth_gb_s_robust_cv_pct,logical_gb_per_j_median,logical_gb_per_j_ci95_low,logical_gb_per_j_ci95_high,logical_gb_per_j_session_cv_pct,logical_gb_per_j_robust_cv_pct,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_session_cv_pct,temp_c_robust_cv_pct,clock_before_mhz_median,clock_before_mhz_ci95_low,clock_before_mhz_ci95_high,clock_before_mhz_session_cv_pct,clock_before_mhz_robust_cv_pct
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,1T,1,5,4000004.0,0.2499995000005,0.0001464603895153024,0.0001463853526485221,0.00014649451032059727,0.032586936996246596,0.034540059669103645,0.007731627140974967,0.007133320497803807,0.007882273232840627,3.867509638677532,1.0865578561366618,0.007731627140974967,0.007133320497803807,0.007882273232840627,3.867509638677532,1.0865578561366618,52.77029163264764,48.70684378742599,53.83601976820337,3.873251380355853,1.1951388570727126,1.1327975948678322e-06,1.044704550673778e-06,1.1540643534451218e-06,3.8620235192124692,0.9780527576217299,6.827777842272476,6.826187533038134,6.831277733102799,0.032588773388014865,0.03453235482030866,0.12933879928367134,0.12686682768576601,0.14018702876832428,4.050760444605992,1.0605977625565552,27.31116599136726,27.304804741707407,27.32516558268771,0.032588773388017134,0.034532354820296735,0.5173562318461145,0.5074683256787006,0.5607492365706489,4.050760444605994,1.0605977625565763,96.0,85.0,98.0,5.734054492679812,3.0887499999999997,1364.0,1362.0,1374.5,0.36296074265472067,0.054347507331378296
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,2T,2,5,4000004.0,0.2499995000005,8.228296997120527e-05,8.171700434746945e-05,8.363926499032882e-05,0.9209196050835357,1.0197743640565753,0.0057573638996937845,0.005582860060700517,0.0061411890925530165,3.911761647347345,3.779492038775858,0.0057573638996937845,0.005582860060700517,0.0061411890925530165,3.9117624598523157,3.779492038775858,69.21640070736333,68.21738106450186,74.7953040385578,3.871545912846182,1.976496118571577,4.789042598008536e-07,4.5614068145411267e-07,5.041372965316743e-07,4.175766327463008,5.393122693844075,12.15317107609247,11.956104523720807,12.237342948713334,0.9173477295745911,1.026836679631576,0.17369301417098976,0.16283475258702954,0.17911972636874252,3.8264803799221108,3.8770677716142314,48.612781529835715,47.824513743815075,48.94946969369482,0.9173477295745854,1.026836679631569,0.6947734462294619,0.6513403130274416,0.7164803384342141,3.8264803799221134,3.8770677716142488,95.5,90.5,98.0,3.5686784030676226,3.881151832460733,1632.5,1615.0,1676.5,1.6440244499541419,1.5893108728943337
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,4T,4,5,4000004.0,0.2499995000005,3.124603622234756e-05,3.107978938212544e-05,3.157778128950695e-05,0.5914977696530646,0.23722126219685954,0.002768624239683084,0.002657328666245259,0.002785467593179513,1.8877720149575852,0.9019626259092567,0.002768624239683084,0.002657328666245259,0.002785467593179513,1.8877916688778738,0.9019626259092567,88.5353049902299,84.16479243284866,89.20380211249993,2.39982502774524,1.1194560560749316,8.610555787518013e-08,8.391196022758751e-08,8.689556677145042e-08,1.3836465367520345,1.1718209228421081,32.00650925995959,31.667855205223965,32.17521829152736,0.5889549696735059,0.22608701454223054,0.36118985956958904,0.35900616307654,0.37631811304130597,1.9214327400136966,0.8963563994992967,128.0262930921685,126.67167416399086,128.70113056811314,0.5889549696734973,0.22608701454225322,1.444762327800122,1.4360275243583367,1.5052754627131386,1.9214327400136935,0.8963563994992655,91.5,86.0,94.0,3.26345367969006,0.8101639344262295,1900.5,1839.5,2007.5,3.50996046519561,3.7055248618784526
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,8T,8,5,4000004.0,0.2499995000005,1.6659152231845433e-05,1.6438170098006973e-05,1.679355700862315e-05,0.9501413563918173,1.196150435973119,0.002094526146155364,0.0020409929232993226,0.002198231329113924,2.786079287734606,2.4123233985623345,0.002094526146155364,0.0020409929232993226,0.002198231329113924,2.786079287734606,2.4123233985623345,127.17161925894294,121.67343334458235,131.93557862258112,2.874178286936956,0.891008854809985,3.443611653996172e-08,3.428231047151271e-08,3.662561194207637e-08,2.94826588119064,0.6621910366050722,60.02700508564069,59.54658684627674,60.83396201797224,0.9515961832610369,1.1865794081593717,0.477434495521852,0.4549107279733893,0.4899578123278101,2.753374820537352,2.3737000749010813,240.10850055908364,238.18682375827808,243.33633474407176,0.9515961832610385,1.1865794081593724,1.9097418015671916,1.8196465511830202,1.9598351689776585,2.7533748205373487,2.373700074901079,94.0,88.0,96.0,3.3417192065230554,1.5772340425531914,2459.0,2459.0,2460.0,0.018184588927741954,0.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,10T,10,5,4000004.0,0.2499995000005,1.4282895111668185e-05,1.3881232380741804e-05,1.4323189919043396e-05,1.3227623044681507,0.3032785672491042,0.002149620326401007,0.001930029869824775,0.00219030354572532,4.995826469628837,1.1365520580211208,0.0021496214206024548,0.001930029869824775,0.0021903058330601834,4.995847705306744,1.136476012108112,150.07475957866717,138.90628215462073,153.32834110386744,3.828233103651572,1.5722597401052287,3.082702132358086e-08,2.6783462142944603e-08,3.127105951295281e-08,6.216621955418845,0.5176901781688693,70.01374800122525,69.81678078239685,72.03964231567366,1.3460943888406436,0.30266174420765973,0.4651979677168665,0.4565573047711693,0.5181262341696096,5.331733893255844,1.1278712155027664,280.05555211544515,279.2676816643923,288.1591455804095,1.3460943888406338,0.3026617442076662,1.860795592454929,1.8262328715467677,2.0725090816924565,5.331733893255847,1.127871215502774,95.5,83.0,98.0,6.509263898389288,2.3286910994764396,2739.0,2739.0,2739.0,0.0,0.0
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,16T,16,5,4000004.0,0.2499995000005,1.4006697511042375e-05,1.2446403334371333e-05,1.4210069620896431e-05,6.280969543679593,2.1526808145311707,0.0018099945017497412,0.0017520632081347164,0.001954143908045977,5.151625290692939,4.745259492810951,0.0018099967102245173,0.0017520632081347164,0.001954143908045977,5.15162046324854,4.745434602899614,138.3770378462429,129.28549172991265,140.76865663102834,3.26268107969315,2.5624294792773386,2.5362121462930807e-08,2.1806882992257302e-08,2.754909392472528e-08,10.931660899882129,12.784440673054801,71.41224044954981,70.37278505034385,80.3444190551188,6.427940768761979,2.1580286028856492,0.5526160774737675,0.5117898770003508,0.5707552416466287,5.086901311705977,4.866511471331674,285.6495330966941,281.49170318421875,321.3783189764704,6.427940768761986,2.158028602885637,2.2104687308281106,2.0471636023245137,2.283025532633014,5.086901311705975,4.866511471331681,93.0,84.0,96.0,5.155887489404966,3.188387096774193,3202.0,3200.0,3339.0,1.909933906303201,0.06945346658338537
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,1000000,20T,20,5,4000004.0,0.2499995000005,1.1766524408740494e-05,1.152046731098576e-05,1.7312274956763344e-05,21.835707315174023,3.100356914741809,0.0015453026383549502,0.0013021631342023821,0.0022389367965183864,23.81907321750025,23.327380663786638,0.0015453029138073509,0.0013021631342023821,0.0022389367965183864,23.819070467164664,23.327402933200364,129.3283028785228,111.73768518799079,133.82983206684366,6.815698956301559,1.8883154030194194,1.813952434013111e-08,1.517533185382136e-08,3.876850478257023e-08,45.268008168776184,24.227271331917798,84.98680947556502,57.77426149160864,86.80338210570198,20.221269564099178,3.169021872994781,0.6471226903147994,0.44671992936118776,0.7679608150554519,23.144314517131214,27.68479709053932,339.94791779741576,231.0975081609887,347.2142228505592,20.221269564099167,3.169021872994805,2.588495938245897,1.7868832912077597,3.071849403914472,23.144314517131225,27.684797090539345,91.0,61.0,94.0,16.187438662270893,1.629230769230769,3599.5,3599.0,3600.0,0.013890818169190166,0.020594527017641338
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,2000000,1T,1,5,8000004.0,0.249999750000125,0.00029807772483621205,0.0002978359630842512,0.0002987431947352677,0.11905679193495788,0.07257881302172284,0.015582400833829661,0.014976897466467957,0.016051705181655745,2.897163327356087,4.465233782052242,0.015582469178082191,0.014976961251862892,0.016051718880285885,2.897073769200462,4.464694269800066,52.276817823367914,50.24161243117585,53.89217948793174,2.8905124606926402,4.581256670928786,4.6451378459453055e-06,4.464575217015243e-06,4.7809767201597105e-06,2.916075654940358,4.335602550225119,6.709656024805598,6.694709832842753,6.715102438299526,0.11891437604984517,0.07261430550413604,0.12834986234708967,0.1245973372786221,0.13353947041610123,2.892261451793129,4.334631580254416,26.83865093785991,26.778866110223735,26.86043661362129,0.11891437604983786,0.07261430550413414,0.5133999627880648,0.49838984750408666,0.5341584158225536,2.892261451793134,4.334631580254429,95.0,85.0,97.5,6.014369360363646,3.901578947368421,1363.5,1358.5,1364.5,0.22273095738145252,0.10873487348734873
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,2000000,2T,2,5,8000004.0,0.249999750000125,0.0001650296469020653,0.00016475186908124272,0.0001666326666666667,0.5561462328609544,0.24955115937196654,0.011583608916666668,0.011051000747632496,0.011722954030646236,2.56173333408378,1.7834948285318764,0.0115836535,0.011051083319488286,0.011723007578281146,2.5615907448858755,1.7836026989207294,69.47556784924919,67.03088990362842,71.01476252435667,2.2767226190876584,3.2846223441684512,1.9313263610428614e-06,1.8218180252043972e-06,1.9354650295919884e-06,2.963988670706166,0.31770860247681815,12.119029331839354,12.002444576212408,12.139462439857752,0.5550650371908308,0.24997155397988927,0.17265794263815037,0.1706054638434153,0.1809793418593963,2.584418045673284,1.7624471915848308,48.47616580349897,48.009826314651946,48.557898317305046,0.5550650371908262,0.24997155397991194,0.6906324611847173,0.6824225377958578,0.7239180913553145,2.584418045673278,1.7624471915848103,94.5,87.5,97.0,4.483701711007905,3.922222222222222,1566.0,1517.0,1657.5,3.662472450108705,4.544367816091953
INTEL,Intel Core i9-7900X,CPU,CPU package RAPL,2000000,4T,4,5,8000004.0,0.249999750000125,7.990370636632319e-05,7.813698204151442e-05,8.472839349262838e-05,3.6547613873949536,3.2781276402285338,0.007487471140992373,0.006659030410542321,0.008108873623114726,7.170920595795427,5.675771703712697,0.007487480144688212,0.0066590323534380805,0.008108873623114726,7.17090949024269,5.675610321130079,95.19815493793689,79.23459989902899,97.20986044116724,8.02226419474575,1.1765760131484855,5.937331606744673e-07,5.599329730617753e-07,6.866728164346453e-07,8.014754840768072,6.845264073296341,25.030116046537078,23.604826635327274,25.596188779682862,3.6221496182983306,3.352998574203779,0.2671127597125564,0.24664329191599563,0.3003439630105268,7.50663777909879,5.466467300503672,100.12056430666254,94.41940096066284,102.38485750353777,3.6221496182983355,3.3529985742038213,1.0684521073017987,0.9865741542376434,1.20137705341856,7.506637779098793,5.466467300503697,91.0,59.5,93.0,16.976579206772104,3.258461538461538,1900.0,1845.5,1918.5,1.4580571853551973,0.039015789473684205
