timestamp,host,gpu_name,matrix_size,mode,batches,seconds_target,seconds_gpu,seconds_wall,energy_j,avg_power_w,below_target,workload,impl,dtype,N,passes_kernel,passes_e2e,seconds_kernel,energy_kernel_j,avg_power_w_kernel,avg_power_w_e2e,bytes_total,bw_gb_s,time_mode,energy_mode,includes_transfer,device_name,driver_version,pcie_gen_current,pcie_width_current,pcie_rx_kbs,pcie_tx_kbs,clocks_sm_mhz,clocks_mem_mhz,temp_c,throttle_reasons,notes
2025-10-12T23:50:33,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,1569,1.00,0.1384,0.1384,7.711,55.7,1,reduction,openblas,fp32,1000000,1569,503,0.1384,7.711,55.7,55.6,12552000000,90.70,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.5,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:33,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,503,1.00,0.1384,0.0943,5.243,55.6,1,reduction,openblas,fp32,1000000,1569,503,0.1384,7.711,55.7,55.6,2012000000,21.34,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.5,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:36,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,1983,1.00,0.3113,0.3113,17.314,55.6,1,reduction,openblas,fp32,1500000,1983,636,0.3113,17.314,55.6,54.9,23796000000,76.44,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:36,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,636,1.00,0.3113,0.3768,20.694,54.9,1,reduction,openblas,fp32,1500000,1983,636,0.3113,17.314,55.6,54.9,3816000000,10.13,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:44,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,2745,1.00,0.9677,0.9677,53.700,55.5,1,reduction,openblas,fp32,2000000,2745,482,0.9677,53.700,55.5,55.7,43920000000,45.39,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:44,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,482,1.00,0.9677,0.5478,30.495,55.7,1,reduction,openblas,fp32,2000000,2745,482,0.9677,53.700,55.5,55.7,3856000000,7.04,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:50,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,679,1.00,0.6760,0.6760,37.862,56.0,1,reduction,openblas,fp32,3000000,679,267,0.6760,37.862,56.0,56.3,16296000000,24.11,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.8,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:50,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,267,1.00,0.6760,0.5866,33.012,56.3,1,reduction,openblas,fp32,3000000,679,267,0.6760,37.862,56.0,56.3,3204000000,5.46,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.8,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:59,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,687,1.00,1.0317,1.0317,57.850,56.1,0,reduction,openblas,fp32,4000000,687,226,1.0317,57.850,56.1,57.0,21984000000,21.31,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.6,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:50:59,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,226,1.00,1.0317,0.5960,33.972,57.0,0,reduction,openblas,fp32,4000000,687,226,1.0317,57.850,56.1,57.0,3616000000,6.07,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.6,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:06,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,459,1.00,1.0534,1.0534,60.038,57.0,0,reduction,openblas,fp32,6000000,459,131,1.0534,60.038,57.0,56.8,22032000000,20.92,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.8,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:06,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,131,1.00,1.0534,0.5258,29.858,56.8,0,reduction,openblas,fp32,6000000,459,131,1.0534,60.038,57.0,56.8,3144000000,5.98,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,36.8,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:15,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,336,1.00,1.0256,1.0256,58.304,56.8,0,reduction,openblas,fp32,8000000,336,110,1.0256,58.304,56.8,57.6,21504000000,20.97,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:15,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,110,1.00,1.0256,0.5830,33.585,57.6,0,reduction,openblas,fp32,8000000,336,110,1.0256,58.304,56.8,57.6,3520000000,6.04,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:23,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,kernel,233,1.00,1.0838,1.0838,61.630,56.9,0,reduction,openblas,fp32,12000000,233,66,1.0838,61.630,56.9,57.6,22368000000,20.64,kernel,kernel,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
2025-10-12T23:51:23,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,0,e2e,66,1.00,1.0838,0.5284,30.452,57.6,0,reduction,openblas,fp32,12000000,233,66,1.0838,61.630,56.9,57.6,3168000000,5.99,e2e,e2e,0,AMD Ryzen Threadripper 3970X 32-Core Processor,NA,NA,NA,0,0,NA,NA,37.0,0,OPENBLAS_NUM_THREADS=10; e2e_host_memcpy=1; e2e_bw=mixed
