size,hw_class,kwh,setup_id
0,CPU,5.9519444444444445e-06,Intel_CPU-only_8t
0,3090,5.0894722222222224e-05,AMD_3090_PCIe3
0,5050,1.5936111111111114e-05,AMD_5050_PCIe3
