problem_size,runtime_ms_per_gemm,device_energy_per_op_j_median,throughput_tflops,avg_power_w_median,gflop_per_j,energy_per_flop_j,temp_c_median,sm_clock_mhz_median,run_runtime_cv_pct,run_energy_cv_pct,in_range_share,batch_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,device_energy_per_op_j_ci95_low,device_energy_per_op_j_ci95_high,gflops_per_s_ci95_low,gflops_per_s_ci95_high
64,0.0099198,0.0003328180970606,0.0528527485,33.558896000000004,1.5749251256656354,6.348001424037933e-10,48.5,2797.0,1.5673998023378828,3.732353754829678,1.0,101763.0,9.769017892877015e-06,1.0075756380418918e-05,0.0003295783996954,0.000336495,52.0342435,53.668523
128,0.00992057123357083,0.0004186242111759,0.42278618549999997,41.7281745,10.131911845316885,9.980778960607052e-11,50.0,2790.0,1.20365330548203,4.502560253481466,1.0,100591.0,9.78786126601135e-06,1.003193120060518e-05,0.000407041659308,0.0004407619205195,418.096856,428.5207945
256,0.01637327853013903,0.0012479899127188,2.0493384885,76.18963600000001,26.89786427776082,3.719299771543741e-11,57.0,2775.0,0.0327715631469169,0.9840628868139466,1.0,61070.0,1.6368196554886038e-05,1.637607250458475e-05,0.0012379650248886,0.0012592353037497,2048.9873385,2049.9834945
512,0.06959931792873052,0.0074871589643652,3.8568562675,107.5751375,35.85267336981094,2.7891840652991833e-11,66.0,2737.0,1.2193461533317325,2.25546983453409,1.0,14368.0,6.763384043272482e-05,6.959977032293987e-05,0.0072531440162271,0.0075697383073496,3856.8263715,3968.974233
1024,0.448735017889,0.0553448121645796,4.785640884999999,123.3350335,38.801958771916986,2.5771936478363164e-11,67.0,2745.0,0.2042344880590993,2.540699297223874,1.0,2238.0,0.0004486943455031,0.0004507767012167,0.0550062333036509,0.0567845876520955,4763.9301395,4786.100237
2048,3.5105244755244,0.4714739583333333,4.893825021,133.729569,36.59493601598312,2.7443396296196924e-11,68.0,2745.0,0.4616077243265354,3.585796770900128,1.0,288.0,0.003510294117647,0.0035270403508771,0.4665137931034482,0.4812526315789474,4870.885446,4894.1300065
4096,28.1354166666666,3.898097222222222,4.884884688500001,138.55651749999998,35.25553887062729,2.8362390164855037e-11,70.0,2730.0,0.1882000952751406,4.155469903582843,1.0,36.0,0.028007581081081,0.0281374305555555,3.784932432432433,3.9579583333333335,4884.537958999999,4907.209665
8192,224.4745,31.1611,4.8981433605,138.82007299999998,35.28411457109665,2.8340855351416395e-11,70.0,2730.0,0.0721322505498988,3.930239165347437,1.0,5.0,0.2244708999999999,0.2244768999999999,30.9106,31.1857,4898.0911545,4898.256035
16384,1793.22,298.9525,4.9051729545,166.717081,29.42213794218242,3.3986964353971415e-11,72.5,2730.0,0.0043866399300481,1.3029159184026455,0.0,1.0,1.7931895,1.793286,298.19500000000005,302.8565,4904.976623500001,4905.269957500001
