problem_size,robust_outlier_rows,share_pct
64,11,22.0
128,10,20.0
256,5,10.0
512,12,24.0
1024,12,24.0
2048,17,34.0
4096,17,34.0
8192,17,34.0
16384,7,14.000000000000002
