problem_size,num_threads,runtime_per_op_s_median,runtime_1thread_s,speedup_vs_1thread,slowdown_vs_1thread,flag
64,1,6.152481265919355e-06,6.152481265919355e-06,1.0,1.0,ok
64,2,6.147713611058021e-06,6.152481265919355e-06,1.0007755167470325,0.9992250842131378,ok
64,4,6.149570334621919e-06,6.152481265919355e-06,1.0004733552328116,0.9995268687263527,ok
64,8,6.138008702643321e-06,6.152481265919355e-06,1.0023578596866116,0.9976476867379991,ok
64,10,6.1515220480141715e-06,6.152481265919355e-06,1.0001559317999182,0.9998440925110171,ok
64,16,6.1699189311566115e-06,6.152481265919355e-06,0.9971737610442173,1.0028342492213425,ok
64,20,6.145887099257799e-06,6.152481265919355e-06,1.001072939765254,0.9989282102006416,ok
64,32,6.154622143463655e-06,6.152481265919355e-06,0.9996521512621903,1.000347969778658,ok
64,64,6.16892163261208e-06,6.152481265919355e-06,0.9973349691126222,1.002672152255675,ok
128,1,4.032576485663944e-05,4.032576485663944e-05,1.0,1.0,ok
128,2,2.3433674537629407e-05,4.032576485663944e-05,1.720846843369997,0.58110923924041,ok
128,4,1.3358346501653233e-05,4.032576485663944e-05,3.0187691906066902,0.3312608340881561,ok
128,8,1.740314082033268e-05,4.032576485663944e-05,2.3171544305109273,0.4315638124212128,ok
128,10,1.7552939211756847e-05,4.032576485663944e-05,2.29737962230448,0.43527851918391675,ok
128,16,1.7469962627920784e-05,4.032576485663944e-05,2.3082914208522767,0.43322086239473867,ok
128,20,1.7336345923000644e-05,4.032576485663944e-05,2.3260821533987768,0.4299074297693401,ok
128,32,1.7360936455995474e-05,4.032576485663944e-05,2.322787423296698,0.43051722683288624,ok
128,64,1.7213043849901702e-05,4.032576485663944e-05,2.3427445609435154,0.42684977981434763,ok
256,1,0.00028682616129951553,0.00028682616129951553,1.0,1.0,ok
256,2,0.000157203605843954,0.00028682616129951553,1.8245520499334449,0.5480797327960457,ok
256,4,8.740453284798059e-05,0.00028682616129951553,3.2815936651521436,0.3047299885476947,ok
256,8,8.999734329971182e-05,0.00028682616129951553,3.187051425999527,0.31376964671549934,ok
256,10,0.00010045730370665605,0.00028682616129951553,2.8552046562694193,0.3502375907815272,ok
256,16,6.577063919149494e-05,0.00028682616129951553,4.361006139295756,0.2293048824190572,ok
256,20,9.300398849828402e-05,0.00028682616129951553,3.0840200074301936,0.3242521117213066,ok
256,32,7.902664824318989e-05,0.00028682616129951553,3.629486605794808,0.2755210608584168,ok
256,64,7.739902381882077e-05,0.00028682616129951553,3.705811096157124,0.26984645845466504,ok
512,1,0.0022319092920353983,0.0022319092920353983,1.0,1.0,ok
512,2,0.0011420125570776255,0.0022319092920353983,1.9543649307559143,0.511675165811135,ok
512,4,0.0006152287621359223,0.0022319092920353983,3.627771374483144,0.2756513288113345,ok
512,8,0.0005380061629153269,0.0022319092920353983,4.148482760757265,0.24105198398304534,ok
512,10,0.0005115522273425499,0.0022319092920353983,4.3630135355482444,0.22919938062359063,ok
512,16,0.0003210643998746475,0.0022319092920353983,6.951593801451666,0.14385190339964557,ok
512,20,0.0003318156415343916,0.0022319092920353983,6.7263534706035495,0.14866896370676025,ok
512,32,0.00038619490544191434,0.0022319092920353983,5.779230281356181,0.17303342336539243,ok
512,64,0.0004422077157802964,0.0022319092920353983,5.047196628166221,0.19812978840955645,ok
1024,1,0.017628657894736843,0.017628657894736843,1.0,1.0,ok
1024,2,0.008933424778761061,0.017628657894736843,1.973337027099442,0.5067558081904917,ok
1024,4,0.004755827014218009,0.017628657894736843,3.7067491820106677,0.2697781670400385,ok
1024,8,0.003370357142857143,0.017628657894736843,5.2305014416936695,0.19118625836305927,ok
1024,10,0.0031870857142857144,0.017628657894736843,5.531278250760116,0.18079003707010735,ok
1024,16,0.0018773803738317755,0.017628657894736843,9.390029927050081,0.10649593321521546,ok
1024,20,0.0018446700367647057,0.017628657894736843,9.556537236141729,0.10464041266099132,ok
1024,32,0.0016064703525641027,0.017628657894736843,10.97353453588457,0.09112834125868002,ok
1024,64,0.0017773418727915196,0.017628657894736843,9.918552060583037,0.10082116763535115,ok
2048,1,0.139054125,0.139054125,1.0,1.0,ok
2048,2,0.07115953333333333,0.139054125,1.9541180005864758,0.5117398231324193,ok
2048,4,0.03751074074074075,0.139054125,3.70704822816181,0.26975640413932883,ok
2048,8,0.02248711111111111,0.139054125,6.183725615661317,0.16171480789304962,ok
