problem_size,num_threads,sessions,runs,runtime_per_op_s_median,runtime_per_op_s_ci95_low,runtime_per_op_s_ci95_high,runtime_per_op_s_between_session_robust_cv,runtime_per_op_s_between_session_cv,runtime_per_op_s_run_robust_cv,runtime_per_op_s_run_cv,total_energy_per_op_j_median,total_energy_per_op_j_ci95_low,total_energy_per_op_j_ci95_high,total_energy_per_op_j_between_session_robust_cv,total_energy_per_op_j_between_session_cv,total_energy_per_op_j_run_robust_cv,total_energy_per_op_j_run_cv,package_energy_per_op_j_median,package_energy_per_op_j_ci95_low,package_energy_per_op_j_ci95_high,package_energy_per_op_j_between_session_robust_cv,package_energy_per_op_j_between_session_cv,package_energy_per_op_j_run_robust_cv,package_energy_per_op_j_run_cv,total_avg_power_w_median,total_avg_power_w_ci95_low,total_avg_power_w_ci95_high,total_avg_power_w_between_session_robust_cv,total_avg_power_w_between_session_cv,total_avg_power_w_run_robust_cv,total_avg_power_w_run_cv,package_avg_power_w_median,package_avg_power_w_ci95_low,package_avg_power_w_ci95_high,package_avg_power_w_between_session_robust_cv,package_avg_power_w_between_session_cv,package_avg_power_w_run_robust_cv,package_avg_power_w_run_cv,edp_total_j_s_median,edp_total_j_s_ci95_low,edp_total_j_s_ci95_high,edp_total_j_s_between_session_robust_cv,edp_total_j_s_between_session_cv,edp_total_j_s_run_robust_cv,edp_total_j_s_run_cv,edp_package_j_s_median,edp_package_j_s_ci95_low,edp_package_j_s_ci95_high,edp_package_j_s_between_session_robust_cv,edp_package_j_s_between_session_cv,edp_package_j_s_run_robust_cv,edp_package_j_s_run_cv,throughput_gflops_exact_median,throughput_gflops_exact_ci95_low,throughput_gflops_exact_ci95_high,throughput_gflops_exact_between_session_robust_cv,throughput_gflops_exact_between_session_cv,throughput_gflops_exact_run_robust_cv,throughput_gflops_exact_run_cv,total_efficiency_gflop_per_j_median,total_efficiency_gflop_per_j_ci95_low,total_efficiency_gflop_per_j_ci95_high,total_efficiency_gflop_per_j_between_session_robust_cv,total_efficiency_gflop_per_j_between_session_cv,total_efficiency_gflop_per_j_run_robust_cv,total_efficiency_gflop_per_j_run_cv,package_efficiency_gflop_per_j_median,package_efficiency_gflop_per_j_ci95_low,package_efficiency_gflop_per_j_ci95_high,package_efficiency_gflop_per_j_between_session_robust_cv,package_efficiency_gflop_per_j_between_session_cv,package_efficiency_gflop_per_j_run_robust_cv,package_efficiency_gflop_per_j_run_cv,temp_c_median,temp_c_ci95_low,temp_c_ci95_high,temp_c_between_session_robust_cv,temp_c_between_session_cv,temp_c_run_robust_cv,temp_c_run_cv,runtime_1thread_s,total_energy_1thread_j,package_energy_1thread_j,speedup_vs_1thread,scaling_efficiency,total_energy_change_vs_1thread_pct,package_energy_change_vs_1thread_pct,stable_runtime_5pct,stable_total_energy_5pct,stable_package_energy_5pct,pareto_optimal_strict_total,pareto_optimal_practical_2pct_total,pareto_optimal_strict_package,pareto_optimal_practical_2pct_package
64,1,5,50,6.152481265919355e-06,6.1342179455748955e-06,6.188471799962772e-06,0.0030549956115322294,0.003443949482967356,0.003690883567318736,0.017008357092446087,0.00044200681379123654,0.0004400440978180927,0.0004494260129056276,0.006583434035379873,0.008796970296042464,0.0075267015905237525,0.01728266311670972,0.00044200681379123654,0.0004400440978180927,0.0004494260129056276,0.006583434035379873,0.008796970296042464,0.0075267015905237525,0.01728266311670972,71.83632990412246,71.67901659671682,72.6294920726826,0.0032467236267623373,0.005396918809109518,0.0033867607545496575,0.005270639575723718,71.83632990412246,71.67901659671682,72.6294920726826,0.0032467236267623373,0.005396918809109518,0.0033867607545496575,0.005270639575723718,2.7194386412592878e-09,2.699326401680059e-09,2.781260207036181e-09,0.00924969941871404,0.012309172194400217,0.012157095311526799,0.0354712378799097,2.7194386412592878e-09,2.699326401680059e-09,2.781260207036181e-09,0.00924969941871404,0.012309172194400217,0.012157095311526799,0.0354712378799097,85.21570035559571,84.7201081215485,85.46941185521636,0.0030613052952250495,0.003435414555104203,0.0037001218573715507,0.015380061459131065,1.1861536601732696,1.166572438943565,1.19144422706638,0.006612634270182505,0.00873872828257813,0.0075650955242801765,0.016050403702588693,1.1861536601732696,1.166572438943565,1.19144422706638,0.006612634270182505,0.00873872828257813,0.0075650955242801765,0.016050403702588693,71.5,69.0,73.0,0.031103496503496503,0.02562186477374464,0.04176338028169014,0.029186641676122383,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0,1.0,0.0,0.0,True,True,True,False,True,False,True
64,2,5,50,6.147713611058021e-06,6.124136812204619e-06,6.21050841322149e-06,0.005685847485995321,0.005609890452303587,0.005485856355449118,0.007070208735553495,0.00044145094914271974,0.0004377230024346717,0.00045310438511084476,0.012520199129904073,0.015220792598762018,0.013205753877182709,0.014553228309463095,0.00044145094914271974,0.0004377230024346717,0.00045310438511084476,0.012520199129904073,0.015220792598762018,0.013205753877182709,0.014553228309463095,71.79607037879714,71.33121695925894,72.96229745984459,0.0095992952841451,0.009504889981347752,0.009599295284145246,0.008418631164697906,71.79607037879714,71.33121695925894,72.96229745984459,0.0095992952841451,0.009504889981347752,0.009599295284145246,0.008418631164697906,2.7139140086591804e-09,2.680675552758905e-09,2.8140085957984513e-09,0.017187219106194702,0.020688926645452264,0.0180501664854158,0.021339686250013427,2.7139140086591804e-09,2.680675552758905e-09,2.8140085957984513e-09,0.017187219106194702,0.020688926645452264,0.0180501664854158,0.021339686250013427,85.28178655833158,84.41949758635678,85.61010573035554,0.005707704625129717,0.005593184458799318,0.0054869471722761845,0.007007473893002311,1.1876472369538371,1.1571020215832635,1.1977620483361457,0.012626870655066862,0.01512697540322183,0.013324332625766462,0.014443879715579318,1.1876472369538371,1.1571020215832635,1.1977620483361457,0.012626870655066862,0.01512697540322183,0.013324332625766462,0.014443879715579318,72.0,68.0,76.0,0.08236666666666666,0.04811082363394304,0.07257482517482518,0.04906190665762804,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0007755167470325,0.5003877583735162,-0.12575929401381636,-0.12575929401381636,True,True,True,False,True,False,True
64,4,5,50,6.149570334621919e-06,6.134287816543013e-06,6.201551085263139e-06,0.0036844625024000707,0.004960887563202885,0.004219394359159022,0.005216997680904377,0.0004425503748799645,0.00043786287632595496,0.00045077458678070674,0.01570371589462461,0.012230410510422741,0.015268887252906625,0.011644945411492838,0.0004425503748799645,0.00043786287632595496,0.00045077458678070674,0.01570371589462461,0.012230410510422741,0.015268887252906625,0.011644945411492838,72.00302829076102,71.39201612580653,72.71937738950211,0.007306792129221376,0.007234380976042791,0.007196974549514163,0.007261353301429274,72.00302829076102,71.39201612580653,72.71937738950211,0.007306792129221376,0.007234380976042791,0.007196974549514163,0.007261353301429274,2.721494656937639e-09,2.6859769075627855e-09,2.795501627858935e-09,0.019363309021013842,0.017179166092957134,0.019480587346977534,0.01652888331339846,2.721494656937639e-09,2.6859769075627855e-09,2.795501627858935e-09,0.019363309021013842,0.017179166092957134,0.019480587346977534,0.01652888331339846,85.25603765327675,84.54143048920056,85.46843833869264,0.0036936536117819405,0.0049519555723459355,0.004231436745224966,0.005200195967758005,1.1846967707172447,1.163082426062,1.1973794270919378,0.015871457764012414,0.012198709244656084,0.015243740082599343,0.01160127765493433,1.1846967707172447,1.163082426062,1.1973794270919378,0.015871457764012414,0.012198709244656084,0.015243740082599343,0.01160127765493433,71.0,68.5,74.0,0.05220422535211267,0.03255960259394352,0.04176338028169014,0.030803059767796005,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0004733552328116,0.2501183388082029,0.12297572611283947,0.12297572611283947,True,True,True,False,True,False,True
64,8,5,50,6.138008702643321e-06,6.121002484487254e-06,6.187864285581274e-06,0.00410775224664097,0.004205931035523049,0.0037394397061185597,0.010885693030455612,0.0004390853733376701,0.00043877370665916017,0.00044888957685455886,0.0010523625828079853,0.010054480474366967,0.0034081866294678634,0.014390362181658003,0.0004390853733376701,0.00043877370665916017,0.00044888957685455886,0.0010523625828079853,0.010054480474366967,0.0034081866294678634,0.014390362181658003,71.70195036390024,71.48723784239588,72.51264293808521,0.004439667021144584,0.005909744165654642,0.004305183291914196,0.005536515314112547,71.70195036390024,71.48723784239588,72.51264293808521,0.004439667021144584,0.005909744165654642,0.004305183291914196,0.005536515314112547,2.6951098427500107e-09,2.685734948588401e-09,2.7776677807880153e-09,0.0042471280040713875,0.014265653135243285,0.007714824918864233,0.025350123797037643,2.6951098427500107e-09,2.685734948588401e-09,2.7776677807880153e-09,0.0042471280040713875,0.014265653135243285,0.007714824918864233,0.025350123797037643,85.41662702013058,84.72842580301509,85.65394334158954,0.004119169429060356,0.0041945747795806,0.0037488967959827956,0.0104865361627439,1.1940456955208263,1.167966526809934,1.194893841729827,0.0010531442323026253,0.009976867919283785,0.003415988386091804,0.013921597175665034,1.1940456955208263,1.167966526809934,1.194893841729827,0.0010531442323026253,0.009976867919283785,0.003415988386091804,0.013921597175665034,69.0,69.0,74.0,0.0,0.03376898553412538,0.010666187050359712,0.042788355096084855,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0023578596866116,0.12529473246082645,-0.6609491895630093,-0.6609491895630093,True,True,True,True,True,True,True
64,10,5,50,6.1515220480141715e-06,6.136619588578447e-06,6.201099747263052e-06,0.003344549909256529,0.0042715150819812595,0.0035263999168187433,0.004943497342785484,0.0004418865183882099,0.0004392478814860301,0.0004500579401007222,0.005592425310760555,0.00963471948642592,0.007542111689384234,0.009138854730987146,0.0004418865183882099,0.0004392478814860301,0.0004500579401007222,0.005592425310760555,0.00963471948642592,0.007542111689384234,0.009138854730987146,71.83334552527677,71.59433032460257,72.56226450138587,0.0015764053680363097,0.005166484156021218,0.002355360029680665,0.004806394396883915,71.83334552527677,71.59433032460257,72.56226450138587,0.0015764053680363097,0.005166484156021218,0.002355360029680665,0.004806394396883915,2.7182746605852928e-09,2.695497153768756e-09,2.7908541786123182e-09,0.007880696443142312,0.013637690110242935,0.010407179094785264,0.013916556462260072,2.7182746605852928e-09,2.695497153768756e-09,2.7908541786123182e-09,0.007880696443142312,0.013637690110242935,0.010407179094785264,0.013916556462260072,85.22898819313347,84.54758371390533,85.43596232945764,0.00335294800558703,0.004253021193762415,0.0035347995623436225,0.0049204980961174705,1.1864765684917276,1.1649344524010958,1.193603935495986,0.005614667387262093,0.009541622654909127,0.007580703889750207,0.009063999545380761,1.1864765684917276,1.1649344524010958,1.193603935495986,0.005614667387262093,0.009541622654909127,0.007580703889750207,0.009063999545380761,71.0,70.0,74.0,0.02088169014084507,0.02307819764768958,0.02088169014084507,0.0238891525184405,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.0001559317999182,0.10001559317999183,-0.02721573497811436,-0.02721573497811436,True,True,True,False,True,False,True
64,16,5,50,6.1699189311566115e-06,6.12958053475543e-06,6.177724090937248e-06,0.0011246050634899688,0.003184596225880056,0.0019448314615771176,0.005123661521349787,0.00044653634082884224,0.0004397738004126691,0.00044711433166303425,0.001919058164857278,0.0068375346408420246,0.003975619386430911,0.01037356495922636,0.00044653634082884224,0.0004397738004126691,0.00044711433166303425,0.001919058164857278,0.0068375346408420246,0.003975619386430911,0.01037356495922636,72.28168887112209,71.70457870087999,72.43478398378755,0.0019482224622182662,0.004028978401092952,0.002825703142240989,0.006767302113071332,72.28168887112209,71.70457870087999,72.43478398378755,0.0019482224622182662,0.004028978401092952,0.002825703142240989,0.006767302113071332,2.7550930227292746e-09,2.6956289267049162e-09,2.7621489781180334e-09,0.0017026871261695603,0.00963262269233576,0.004596017100198532,0.014943735521200771,2.7550930227292746e-09,2.6956289267049162e-09,2.7621489781180334e-09,0.0017026871261695603,0.00963262269233576,0.004596017100198532,0.014943735521200771,84.97486042360643,84.86750011531483,85.53407480776644,0.0011237462146430706,0.0031971562219852193,0.00194228059709654,0.005061688285878609,1.174121682967255,1.1726038797502187,1.1921765223576883,0.0019166374401641982,0.0068934966672530365,0.00396491602755846,0.010199220498185446,1.174121682967255,1.1726038797502187,1.1921765223576883,0.0019166374401641982,0.0068934966672530365,0.00396491602755846,0.010199220498185446,73.0,69.5,74.0,0.0,0.023890355966467273,0.02030958904109589,0.03346304130766709,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,0.9971737610442173,0.06232336006526358,1.0247640751857245,1.0247640751857245,True,True,True,False,True,False,True
64,20,5,50,6.145887099257799e-06,6.11990709288875e-06,6.169123001913226e-06,0.0025207087128375845,0.0030153385733543456,0.0028195005026967453,0.0027608910744859817,0.00044184425487357954,0.000438274935889197,0.0004452024594210948,0.004483547730001988,0.00583243287018293,0.005912845180127009,0.00539305265084916,0.00044184425487357954,0.000438274935889197,0.0004452024594210948,0.004483547730001988,0.00583243287018293,0.005912845180127009,0.00539305265084916,71.88288325834057,71.61630187406061,72.16199247117984,0.0023065422982149683,0.0028010847933523956,0.0036458182460248896,0.0027941211262689568,71.88288325834057,71.61630187406061,72.16199247117984,0.0023065422982149683,0.0028010847933523956,0.0036458182460248896,0.0027941211262689568,2.7155249059087075e-09,2.6822018887836587e-09,2.7465087329230158e-09,0.0074212143239131105,0.008890776564870709,0.008940749385582905,0.008099347834309179,2.7155249059087075e-09,2.6822018887836587e-09,2.7465087329230158e-09,0.0074212143239131105,0.008890776564870709,0.008940749385582905,0.008099347834309179,85.30713166913121,84.98582372849478,85.66927439294227,0.0025249747014578537,0.0030157493483004673,0.0028248755606242537,0.0027614271858031007,1.1865900579606026,1.1776394961558425,1.1962536687987755,0.004497075249688843,0.005832229498355002,0.005936646816043874,0.0053922956744376655,1.1865900579606026,1.1776394961558425,1.1962536687987755,0.004497075249688843,0.005832229498355002,0.005936646816043874,0.0053922956744376655,71.0,69.0,71.5,0.010440845070422535,0.014184397163120567,0.010514893617021275,0.026971668359227874,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,1.001072939765254,0.0500536469882627,-0.03677746871426635,-0.03677746871426635,True,True,True,False,True,False,True
64,32,5,50,6.154622143463655e-06,6.131844738927696e-06,6.1804999193878434e-06,0.004220006815406287,0.0032059202093505396,0.0035696191853303734,0.0038855777573264688,0.0004426930392815538,0.000437927370462188,0.0004482989563826225,0.008925797509351775,0.008815683920306027,0.008460046338596858,0.008247177700802119,0.0004426930392815538,0.000437927370462188,0.0004482989563826225,0.008925797509351775,0.008815683920306027,0.008460046338596858,0.008247177700802119,71.8477271456542,71.32978877943495,72.53055995444257,0.0029029764715355257,0.006049819043630455,0.003839377002464281,0.005563190979651824,71.8477271456542,71.32978877943495,72.53055995444257,0.0029029764715355257,0.006049819043630455,0.003839377002464281,0.005563190979651824,2.7246083823194765e-09,2.6853026426010074e-09,2.7707116637844524e-09,0.014972603274414022,0.011948740555613,0.013053202919866592,0.011640397253016837,2.7246083823194765e-09,2.6853026426010074e-09,2.7707116637844524e-09,0.014972603274414022,0.011948740555613,0.013053202919866592,0.011640397253016837,85.18605818178546,84.8293838424528,85.50249106465222,0.004232048966004431,0.0032038461720089394,0.0035706188250376283,0.003868102153820724,1.1843149846016703,1.1695052877895191,1.1972030874586967,0.008979725377606057,0.008781948126446048,0.008508631769917894,0.008221901894636468,1.1843149846016703,1.1695052877895191,1.1972030874586967,0.008979725377606057,0.008781948126446048,0.008508631769917894,0.008221901894636468,72.0,68.0,73.0,0.020591666666666664,0.028169014084507043,0.020591666666666664,0.02776465308756491,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,0.9996521512621903,0.031239129726943447,0.1552522424781877,0.1552522424781877,True,True,True,False,True,False,True
64,64,5,50,6.16892163261208e-06,6.121948532112338e-06,6.2025905087452285e-06,0.0018565248842346183,0.00472618161701477,0.004439808065357388,0.006049692694572201,0.0004436749288843992,0.0004381753323865723,0.0004510462773522293,0.007339918058260564,0.010496909661808877,0.010567965435430607,0.0105303024480496,0.0004436749288843992,0.0004381753323865723,0.0004510462773522293,0.007339918058260564,0.010496909661808877,0.010567965435430607,0.0105303024480496,71.96936885165897,71.56261015843162,72.67569204546137,0.004846915974116163,0.0059280566578385685,0.005064420224995078,0.00605135204114403,71.96936885165897,71.56261015843162,72.67569204546137,0.004846915974116163,0.0059280566578385685,0.005064420224995078,0.00605135204114403,2.7369958666425963e-09,2.6824868329118123e-09,2.7976553589098054e-09,0.010323952831810798,0.01533439536695984,0.016093848810813285,0.01608151497872257,2.7369958666425963e-09,2.6824868329118123e-09,2.7976553589098054e-09,0.010323952831810798,0.01533439536695984,0.016093848810813285,0.01608151497872257,84.98859788205851,84.52726312671936,85.6407069170668,0.0018559528895236103,0.004736546114988297,0.004436586408437533,0.006002775914737501,1.1816939968149627,1.1623818360229479,1.1965255943195277,0.007303993892483281,0.010483899565580353,0.010643978585674058,0.010512695410849203,1.1816939968149627,1.1623818360229479,1.1965255943195277,0.007303993892483281,0.010483899565580353,0.010643978585674058,0.010512695410849203,72.0,68.5,75.0,0.04118333333333333,0.03443955628765901,0.04118333333333333,0.041060956270314065,6.152481265919355e-06,0.00044200681379123654,0.00044200681379123654,0.9973349691126222,0.015583358892384722,0.3773957869234401,0.3773957869234401,True,True,True,False,True,False,True
128,1,5,50,4.032576485663944e-05,4.022741470446901e-05,4.058973580936198e-05,0.0015048093471227099,0.0033432904403340492,0.0019606090939318917,0.0037897834753643817,0.0029614384544470723,0.002945651229376902,0.0030007464902698545,0.00336331718715643,0.007107821525859511,0.004851937252697402,0.007381237715009423,0.0029614384544470723,0.002945651229376902,0.0030007464902698545,0.00336331718715643,0.007107821525859511,0.004851937252697402,0.007381237715009423,73.45790845556103,73.03449340891443,73.97589455174204,0.004572915938660105,0.00502635226842891,0.0053748265531407815,0.005117045966370374,73.45790845556103,73.03449340891443,73.97589455174204,0.004572915938660105,0.00502635226842891,0.0053748265531407815,0.005117045966370374,1.1942227075144236e-07,1.184959335788736e-07,1.217995072709236e-07,0.0016993091304599612,0.010008548480989648,0.006146798789651468,0.010575225097873564,1.1942227075144236e-07,1.184959335788736e-07,1.217995072709236e-07,0.0016993091304599612,0.010008548480989648,0.006146798789651468,0.010575225097873564,104.01052565056129,103.3341044568363,104.26481619098529,0.0015030891192659528,0.003334162497370031,0.00196093117200564,0.003785425027735288,1.4163063202281254,1.3977535301966844,1.4238970174643613,0.003371099978316935,0.007058263399254627,0.004867881035210865,0.007340929519072616,1.4163063202281254,1.3977535301966844,1.4238970174643613,0.003371099978316935,0.007058263399254627,0.004867881035210865,0.007340929519072616,74.0,72.0,75.5,0.020035135135135135,0.01769118698833826,0.020035135135135135,0.020147737365739594,4.032576485663944e-05,0.0029614384544470723,0.0029614384544470723,1.0,1.0,0.0,0.0,True,True,True,False,False,False,False
