STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session3 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenMP] requested=16 active=16
[STREAM] N=256000000 threads=16 rep=1 batches=14 time=1.064 s | package=130.142 J | dram=NA | total=130.142 J | power=122.3 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=2 batches=14 time=1.064 s | package=130.026 J | dram=NA | total=130.026 J | power=122.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=3 batches=14 time=1.064 s | package=129.973 J | dram=NA | total=129.973 J | power=122.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=4 batches=14 time=1.064 s | package=130.001 J | dram=NA | total=130.001 J | power=122.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=5 batches=14 time=1.064 s | package=129.889 J | dram=NA | total=129.889 J | power=122.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=6 batches=14 time=1.064 s | package=130.095 J | dram=NA | total=130.095 J | power=122.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=7 batches=14 time=1.064 s | package=129.929 J | dram=NA | total=129.929 J | power=122.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=8 batches=14 time=1.064 s | package=129.909 J | dram=NA | total=129.909 J | power=122.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=9 batches=14 time=1.064 s | package=129.805 J | dram=NA | total=129.805 J | power=122.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=16 rep=10 batches=14 time=1.064 s | package=129.908 J | dram=NA | total=129.908 J | power=122.1 W | runtime=in_range | checksum=OK
[OpenMP] requested=10 active=10
[STREAM] N=16000000 threads=10 rep=1 batches=278 time=1.002 s | package=115.611 J | dram=NA | total=115.611 J | power=115.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=2 batches=278 time=1.002 s | package=115.687 J | dram=NA | total=115.687 J | power=115.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=3 batches=278 time=1.004 s | package=116.845 J | dram=NA | total=116.845 J | power=116.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=4 batches=278 time=1.002 s | package=116.699 J | dram=NA | total=116.699 J | power=116.5 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=5 batches=278 time=1.002 s | package=116.641 J | dram=NA | total=116.641 J | power=116.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=6 batches=278 time=1.002 s | package=116.607 J | dram=NA | total=116.607 J | power=116.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=7 batches=278 time=1.002 s | package=116.706 J | dram=NA | total=116.706 J | power=116.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=8 batches=278 time=1.002 s | package=116.555 J | dram=NA | total=116.555 J | power=116.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=9 batches=278 time=1.002 s | package=116.647 J | dram=NA | total=116.647 J | power=116.5 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=10 rep=10 batches=278 time=1.002 s | package=116.548 J | dram=NA | total=116.548 J | power=116.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=32000000 threads=16 rep=1 batches=103 time=1.008 s | package=126.542 J | dram=NA | total=126.542 J | power=125.6 W | runtime=in_range | checksum=OK
