STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session5 | reps=10 | configs=81 | DRAM-RAPL=no
[STREAM] N=8000000 threads=10 rep=9 batches=1846 time=1.001 s | package=121.441 J | dram=NA | total=121.441 J | power=121.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=10 rep=10 batches=1846 time=1.000 s | package=121.337 J | dram=NA | total=121.337 J | power=121.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=16000000 threads=16 rep=1 batches=255 time=1.004 s | package=126.807 J | dram=NA | total=126.807 J | power=126.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=2 batches=255 time=1.004 s | package=126.899 J | dram=NA | total=126.899 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=3 batches=255 time=1.004 s | package=126.860 J | dram=NA | total=126.860 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=4 batches=255 time=1.004 s | package=126.830 J | dram=NA | total=126.830 J | power=126.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=5 batches=255 time=1.005 s | package=127.000 J | dram=NA | total=127.000 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=6 batches=255 time=1.004 s | package=126.943 J | dram=NA | total=126.943 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=7 batches=255 time=1.004 s | package=127.010 J | dram=NA | total=127.010 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=8 batches=255 time=1.004 s | package=126.921 J | dram=NA | total=126.921 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=9 batches=255 time=1.004 s | package=126.861 J | dram=NA | total=126.861 J | power=126.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=16 rep=10 batches=255 time=1.004 s | package=126.894 J | dram=NA | total=126.894 J | power=126.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=32 active=32
[STREAM] N=4000000 threads=32 rep=1 batches=23775 time=1.010 s | package=277.223 J | dram=NA | total=277.223 J | power=274.5 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=2 batches=23775 time=1.009 s | package=277.108 J | dram=NA | total=277.108 J | power=274.7 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=3 batches=23775 time=1.020 s | package=278.709 J | dram=NA | total=278.709 J | power=273.3 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=4 batches=23775 time=1.030 s | package=281.242 J | dram=NA | total=281.242 J | power=273.0 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=5 batches=23775 time=1.024 s | package=280.050 J | dram=NA | total=280.050 J | power=273.4 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=6 batches=23775 time=1.032 s | package=281.530 J | dram=NA | total=281.530 J | power=272.7 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=7 batches=23775 time=1.025 s | package=279.978 J | dram=NA | total=279.978 J | power=273.1 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=8 batches=23775 time=1.026 s | package=280.232 J | dram=NA | total=280.232 J | power=273.2 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=9 batches=23775 time=1.022 s | package=279.550 J | dram=NA | total=279.550 J | power=273.6 W | runtime=in_range | checksum=OK
[STREAM] N=4000000 threads=32 rep=10 batches=23775 time=1.029 s | package=280.650 J | dram=NA | total=280.650 J | power=272.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=20 active=20
[STREAM] N=1000000 threads=20 rep=1 batches=43662 time=1.003 s | package=182.393 J | dram=NA | total=182.393 J | power=181.9 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=2 batches=43662 time=0.999 s | package=181.452 J | dram=NA | total=181.452 J | power=181.6 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=3 batches=43662 time=1.009 s | package=182.497 J | dram=NA | total=182.497 J | power=180.9 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=4 batches=43662 time=1.003 s | package=181.772 J | dram=NA | total=181.772 J | power=181.3 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=5 batches=43662 time=0.989 s | package=180.005 J | dram=NA | total=180.005 J | power=181.9 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=6 batches=43662 time=0.991 s | package=180.234 J | dram=NA | total=180.234 J | power=181.9 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=7 batches=43662 time=0.988 s | package=179.933 J | dram=NA | total=179.933 J | power=182.1 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=8 batches=43662 time=0.990 s | package=180.255 J | dram=NA | total=180.255 J | power=182.1 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=9 batches=43662 time=0.994 s | package=180.440 J | dram=NA | total=180.440 J | power=181.6 W | runtime=in_range | checksum=OK
[STREAM] N=1000000 threads=20 rep=10 batches=43662 time=1.002 s | package=181.487 J | dram=NA | total=181.487 J | power=181.1 W | runtime=in_range | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=2000000 threads=16 rep=1 batches=33074 time=1.016 s | package=222.056 J | dram=NA | total=222.056 J | power=218.6 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=2 batches=33074 time=1.007 s | package=221.077 J | dram=NA | total=221.077 J | power=219.5 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=3 batches=33074 time=1.010 s | package=221.229 J | dram=NA | total=221.229 J | power=219.1 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=4 batches=33074 time=1.010 s | package=221.266 J | dram=NA | total=221.266 J | power=219.0 W | runtime=in_range | checksum=OK
[STREAM] N=2000000 threads=16 rep=5 batches=33074 time=1.012 s | package=221.529 J | dram=NA | total=221.529 J | power=218.9 W | runtime=in_range | checksum=OK
