STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session4 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenMP] requested=64 active=64
[STREAM] N=1000000 threads=64 rep=1 batches=125244 time=1.321 s | package=270.068 J | dram=NA | total=270.068 J | power=204.4 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=2 batches=125244 time=1.334 s | package=275.838 J | dram=NA | total=275.838 J | power=206.8 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=3 batches=125244 time=1.337 s | package=275.550 J | dram=NA | total=275.550 J | power=206.1 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=4 batches=125244 time=1.335 s | package=278.804 J | dram=NA | total=278.804 J | power=208.8 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=5 batches=125244 time=1.329 s | package=271.936 J | dram=NA | total=271.936 J | power=204.6 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=6 batches=125244 time=1.347 s | package=272.526 J | dram=NA | total=272.526 J | power=202.3 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=7 batches=125244 time=1.338 s | package=276.810 J | dram=NA | total=276.810 J | power=206.9 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=8 batches=125244 time=1.335 s | package=281.461 J | dram=NA | total=281.461 J | power=210.9 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=9 batches=125244 time=1.334 s | package=283.032 J | dram=NA | total=283.032 J | power=212.2 W | runtime=above | checksum=OK
[STREAM] N=1000000 threads=64 rep=10 batches=125244 time=1.332 s | package=280.952 J | dram=NA | total=280.952 J | power=210.8 W | runtime=above | checksum=OK
[OpenMP] requested=8 active=8
[STREAM] N=8000000 threads=8 rep=1 batches=4162 time=1.006 s | package=166.311 J | dram=NA | total=166.311 J | power=165.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=2 batches=4162 time=1.007 s | package=166.326 J | dram=NA | total=166.326 J | power=165.2 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=3 batches=4162 time=0.995 s | package=164.501 J | dram=NA | total=164.501 J | power=165.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=4 batches=4162 time=0.985 s | package=163.179 J | dram=NA | total=163.179 J | power=165.7 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=5 batches=4162 time=0.986 s | package=163.267 J | dram=NA | total=163.267 J | power=165.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=6 batches=4162 time=0.984 s | package=162.858 J | dram=NA | total=162.858 J | power=165.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=7 batches=4162 time=0.975 s | package=161.185 J | dram=NA | total=161.185 J | power=165.4 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=8 rep=8 batches=4162 time=0.974 s | package=160.384 J | dram=NA | total=160.384 J | power=164.6 W | runtime=in_range | checksum=OK
