STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session1 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenMP] requested=32 active=32
[STREAM] N=128000000 threads=32 rep=1 batches=26 time=1.010 s | package=151.833 J | dram=NA | total=151.833 J | power=150.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=2 batches=26 time=1.010 s | package=151.916 J | dram=NA | total=151.916 J | power=150.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=3 batches=26 time=1.009 s | package=152.155 J | dram=NA | total=152.155 J | power=150.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=4 batches=26 time=1.013 s | package=153.000 J | dram=NA | total=153.000 J | power=151.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=5 batches=26 time=1.013 s | package=153.026 J | dram=NA | total=153.026 J | power=151.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=6 batches=26 time=1.010 s | package=152.536 J | dram=NA | total=152.536 J | power=151.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=7 batches=26 time=1.010 s | package=152.486 J | dram=NA | total=152.486 J | power=151.0 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=8 batches=26 time=1.012 s | package=153.382 J | dram=NA | total=153.382 J | power=151.5 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=9 batches=26 time=1.011 s | package=153.085 J | dram=NA | total=153.085 J | power=151.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=32 rep=10 batches=26 time=1.016 s | package=154.246 J | dram=NA | total=154.246 J | power=151.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=64 active=64
[STREAM] N=8000000 threads=64 rep=1 batches=10085 time=1.000 s | package=223.646 J | dram=NA | total=223.646 J | power=223.7 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=2 batches=10085 time=1.001 s | package=224.894 J | dram=NA | total=224.894 J | power=224.6 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=3 batches=10085 time=1.000 s | package=224.986 J | dram=NA | total=224.986 J | power=224.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=4 batches=10085 time=1.000 s | package=223.619 J | dram=NA | total=223.619 J | power=223.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=5 batches=10085 time=1.000 s | package=224.323 J | dram=NA | total=224.323 J | power=224.3 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=6 batches=10085 time=1.001 s | package=224.185 J | dram=NA | total=224.185 J | power=224.1 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=7 batches=10085 time=1.000 s | package=223.861 J | dram=NA | total=223.861 J | power=223.8 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=8 batches=10085 time=1.000 s | package=225.416 J | dram=NA | total=225.416 J | power=225.5 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=9 batches=10085 time=0.999 s | package=225.708 J | dram=NA | total=225.708 J | power=225.9 W | runtime=in_range | checksum=OK
[STREAM] N=8000000 threads=64 rep=10 batches=10085 time=1.000 s | package=224.332 J | dram=NA | total=224.332 J | power=224.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=256000000 threads=1 rep=1 batches=8 time=1.129 s | package=84.316 J | dram=NA | total=84.316 J | power=74.7 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=2 batches=8 time=1.127 s | package=83.895 J | dram=NA | total=83.895 J | power=74.5 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=3 batches=8 time=1.127 s | package=83.678 J | dram=NA | total=83.678 J | power=74.2 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=4 batches=8 time=1.128 s | package=83.617 J | dram=NA | total=83.617 J | power=74.1 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=5 batches=8 time=1.129 s | package=83.528 J | dram=NA | total=83.528 J | power=74.0 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=6 batches=8 time=1.130 s | package=83.487 J | dram=NA | total=83.487 J | power=73.9 W | runtime=in_range | checksum=OK
[STREAM] N=256000000 threads=1 rep=7 batches=8 time=1.130 s | package=83.463 J | dram=NA | total=83.463 J | power=73.8 W | runtime=in_range | checksum=OK
