STREAM | AMD Ryzen Threadripper 3970X 32-Core Processor | platform=AMD | session=stream_amd_20260721_095517_session2 | reps=10 | configs=81 | DRAM-RAPL=no
[OpenMP] requested=32 active=32
[STREAM] N=16000000 threads=32 rep=1 batches=270 time=1.007 s | package=156.801 J | dram=NA | total=156.801 J | power=155.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=2 batches=270 time=1.004 s | package=156.117 J | dram=NA | total=156.117 J | power=155.5 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=3 batches=270 time=1.004 s | package=156.351 J | dram=NA | total=156.351 J | power=155.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=4 batches=270 time=1.004 s | package=156.268 J | dram=NA | total=156.268 J | power=155.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=5 batches=270 time=1.003 s | package=156.296 J | dram=NA | total=156.296 J | power=155.8 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=6 batches=270 time=1.004 s | package=156.336 J | dram=NA | total=156.336 J | power=155.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=7 batches=270 time=1.004 s | package=156.358 J | dram=NA | total=156.358 J | power=155.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=8 batches=270 time=1.003 s | package=156.231 J | dram=NA | total=156.231 J | power=155.8 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=9 batches=270 time=1.004 s | package=156.230 J | dram=NA | total=156.230 J | power=155.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=32 rep=10 batches=270 time=1.003 s | package=156.295 J | dram=NA | total=156.295 J | power=155.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=8 active=8
[STREAM] N=16000000 threads=8 rep=1 batches=258 time=1.003 s | package=126.121 J | dram=NA | total=126.121 J | power=125.7 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=2 batches=258 time=1.005 s | package=126.201 J | dram=NA | total=126.201 J | power=125.6 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=3 batches=258 time=1.003 s | package=125.840 J | dram=NA | total=125.840 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=4 batches=258 time=1.003 s | package=125.766 J | dram=NA | total=125.766 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=5 batches=258 time=1.005 s | package=125.975 J | dram=NA | total=125.975 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=6 batches=258 time=1.003 s | package=125.808 J | dram=NA | total=125.808 J | power=125.4 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=7 batches=258 time=1.003 s | package=125.558 J | dram=NA | total=125.558 J | power=125.2 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=8 batches=258 time=1.003 s | package=125.608 J | dram=NA | total=125.608 J | power=125.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=9 batches=258 time=1.003 s | package=125.637 J | dram=NA | total=125.637 J | power=125.3 W | runtime=in_range | checksum=OK
[STREAM] N=16000000 threads=8 rep=10 batches=258 time=1.003 s | package=125.602 J | dram=NA | total=125.602 J | power=125.3 W | runtime=in_range | checksum=OK
[OpenMP] requested=64 active=64
[STREAM] N=2000000 threads=64 rep=1 batches=100000 time=2.104 s | package=462.204 J | dram=NA | total=462.204 J | power=219.7 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=2 batches=100000 time=2.114 s | package=468.093 J | dram=NA | total=468.093 J | power=221.4 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=3 batches=100000 time=2.148 s | package=470.710 J | dram=NA | total=470.710 J | power=219.2 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=4 batches=100000 time=2.451 s | package=534.073 J | dram=NA | total=534.073 J | power=217.9 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=5 batches=100000 time=2.986 s | package=647.305 J | dram=NA | total=647.305 J | power=216.8 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=6 batches=100000 time=2.865 s | package=614.609 J | dram=NA | total=614.609 J | power=214.5 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=7 batches=100000 time=2.680 s | package=600.841 J | dram=NA | total=600.841 J | power=224.2 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=8 batches=100000 time=2.168 s | package=481.358 J | dram=NA | total=481.358 J | power=222.0 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=9 batches=100000 time=2.256 s | package=487.453 J | dram=NA | total=487.453 J | power=216.1 W | runtime=above | checksum=OK
[STREAM] N=2000000 threads=64 rep=10 batches=100000 time=2.652 s | package=588.818 J | dram=NA | total=588.818 J | power=222.0 W | runtime=above | checksum=OK
[OpenMP] requested=16 active=16
[STREAM] N=128000000 threads=16 rep=1 batches=27 time=1.032 s | package=142.051 J | dram=NA | total=142.051 J | power=137.6 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=2 batches=27 time=1.033 s | package=141.915 J | dram=NA | total=141.915 J | power=137.4 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=3 batches=27 time=1.033 s | package=141.643 J | dram=NA | total=141.643 J | power=137.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=4 batches=27 time=1.032 s | package=141.509 J | dram=NA | total=141.509 J | power=137.1 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=5 batches=27 time=1.033 s | package=141.275 J | dram=NA | total=141.275 J | power=136.8 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=6 batches=27 time=1.032 s | package=141.318 J | dram=NA | total=141.318 J | power=136.9 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=7 batches=27 time=1.032 s | package=141.121 J | dram=NA | total=141.121 J | power=136.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=8 batches=27 time=1.033 s | package=141.200 J | dram=NA | total=141.200 J | power=136.7 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=9 batches=27 time=1.032 s | package=140.975 J | dram=NA | total=140.975 J | power=136.6 W | runtime=in_range | checksum=OK
[STREAM] N=128000000 threads=16 rep=10 batches=27 time=1.032 s | package=141.128 J | dram=NA | total=141.128 J | power=136.7 W | runtime=in_range | checksum=OK
[OpenMP] requested=1 active=1
[STREAM] N=32000000 threads=1 rep=1 batches=55 time=1.001 s | package=75.619 J | dram=NA | total=75.619 J | power=75.5 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=2 batches=55 time=1.002 s | package=75.522 J | dram=NA | total=75.522 J | power=75.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=3 batches=55 time=1.000 s | package=75.288 J | dram=NA | total=75.288 J | power=75.3 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=4 batches=55 time=1.005 s | package=75.507 J | dram=NA | total=75.507 J | power=75.2 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=5 batches=55 time=1.005 s | package=75.462 J | dram=NA | total=75.462 J | power=75.1 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=6 batches=55 time=1.004 s | package=75.298 J | dram=NA | total=75.298 J | power=75.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=7 batches=55 time=1.003 s | package=75.209 J | dram=NA | total=75.209 J | power=75.0 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=8 batches=55 time=1.005 s | package=75.272 J | dram=NA | total=75.272 J | power=74.9 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=9 batches=55 time=1.004 s | package=75.191 J | dram=NA | total=75.191 J | power=74.9 W | runtime=in_range | checksum=OK
[STREAM] N=32000000 threads=1 rep=10 batches=55 time=1.004 s | package=75.137 J | dram=NA | total=75.137 J | power=74.8 W | runtime=in_range | checksum=OK
[OpenMP] requested=2 active=2
[STREAM] N=64000000 threads=2 rep=1 batches=44 time=0.998 s | package=82.121 J | dram=NA | total=82.121 J | power=82.3 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=2 rep=2 batches=44 time=1.000 s | package=82.269 J | dram=NA | total=82.269 J | power=82.3 W | runtime=in_range | checksum=OK
[STREAM] N=64000000 threads=2 rep=3 batches=44 time=1.000 s | package=82.304 J | dram=NA | total=82.304 J | power=82.3 W | runtime=in_range | checksum=OK
