metric,policy,lower_is_better,problem_size,exact_winner,exact_winner_label,exact_winner_value,leader_platforms,leader_count,selection_status,gap_to_second_pct,practical_gap_gt_tolerance,ci_separated_from_all,ratio_ci_clear_against_all,marginal_ci_separated_from_all,practical_tolerance_pct,inference_scope
runtime_s,runtime_opt,True,512,3090,RTX 3090,2.2870950780696337e-05,3090,1,clear_leader,195.6647173502835,True,True,True,True,2.0,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,1024,3090,RTX 3090,0.0001221521401243,3090,1,clear_leader,268.95105798448867,True,True,True,True,2.0,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,2048,3090,RTX 3090,0.0007647087155963,3090,1,clear_leader,358.89038125425793,True,True,True,True,2.0,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,4096,3090,RTX 3090,0.0055562472222222,3090,1,clear_leader,406.26846957553846,True,True,True,True,2.0,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,8192,3090,RTX 3090,0.041750125,3090,1,clear_leader,435.175882706938,True,True,True,True,2.0,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,16384,3090,RTX 3090,0.332657375,3090,1,clear_leader,438.71825327786587,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,64,INTEL,Intel CPU,211.7448302787333,INTEL,1,clear_leader,112.6539698028381,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,128,3090,RTX 3090,808.6767488795765,3090,1,clear_leader,89.80574118044416,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,256,3090,RTX 3090,4607.442495237295,3090,1,clear_leader,124.83562164571458,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,512,3090,RTX 3090,11736.960941150131,3090,1,clear_leader,195.6647173502835,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,1024,3090,RTX 3090,17580.401340613073,3090,1,clear_leader,268.95105798448867,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,2048,3090,RTX 3090,22465.899542682186,3090,1,clear_leader,358.8903812542578,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,4096,3090,RTX 3090,24735.93200142592,3090,1,clear_leader,406.26846957553846,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,8192,3090,RTX 3090,26335.52900203293,3090,1,clear_leader,435.1758827069381,True,True,True,True,2.0,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,16384,3090,RTX 3090,26441.89993445358,3090,1,clear_leader,438.71825327786576,True,True,True,True,2.0,descriptive_native_best_post_selection
