platform,platform_label_leader,problem_size,policy,exact_configuration,selection_status,selected_configuration_stable,runtime_s_session_cv_pct,energy_j_session_cv_pct,throughput_gflops_session_cv_pct
3090,RTX 3090,64,edp_opt,gpu_resident,single_configuration,True,0.0107296735089346,0.8245135981146945,0.0107292592472432
5060ti,RTX 5060 Ti,64,edp_opt,gpu_resident,single_configuration,True,0.4411500621344955,0.5597626177151899,0.4428677089712214
AMD,AMD CPU,64,edp_opt,8T,tie_or_uncertain,True,0.4205931035523049,1.0054480474368632,0.4194581224144036
INTEL,Intel CPU,64,edp_opt,16T,tie_or_uncertain,False,6.857826053371805,17.918936810269816,6.604092026461567
3090,RTX 3090,64,efficiency_opt,gpu_resident,single_configuration,True,0.0107296735089346,0.8245135981146945,0.0107292592472432
5060ti,RTX 5060 Ti,64,efficiency_opt,gpu_resident,single_configuration,True,0.4411500621344955,0.5597626177151899,0.4428677089712214
AMD,AMD CPU,64,efficiency_opt,8T,tie_or_uncertain,True,0.4205931035523049,1.0054480474368632,0.4194581224144036
INTEL,Intel CPU,64,efficiency_opt,16T,tie_or_uncertain,False,6.857826053371805,17.918936810269816,6.604092026461567
3090,RTX 3090,64,energy_opt,gpu_resident,single_configuration,True,0.0107296735089346,0.8245135981146945,0.0107292592472432
5060ti,RTX 5060 Ti,64,energy_opt,gpu_resident,single_configuration,True,0.4411500621344955,0.5597626177151899,0.4428677089712214
AMD,AMD CPU,64,energy_opt,8T,tie_or_uncertain,True,0.4205931035523049,1.0054480474368632,0.4194581224144036
INTEL,Intel CPU,64,energy_opt,16T,tie_or_uncertain,False,6.857826053371805,17.918936810269816,6.604092026461567
3090,RTX 3090,64,runtime_opt,gpu_resident,single_configuration,True,0.0107296735089346,0.8245135981146945,0.0107292592472432
5060ti,RTX 5060 Ti,64,runtime_opt,gpu_resident,single_configuration,True,0.4411500621344955,0.5597626177151899,0.4428677089712214
AMD,AMD CPU,64,runtime_opt,8T,tie_or_uncertain,True,0.4205931035523049,1.0054480474368632,0.4194581224144036
INTEL,Intel CPU,64,runtime_opt,16T,tie_or_uncertain,False,6.857826053371805,17.918936810269816,6.604092026461567
3090,RTX 3090,64,throughput_opt,gpu_resident,single_configuration,True,0.0107296735089346,0.8245135981146945,0.0107292592472432
5060ti,RTX 5060 Ti,64,throughput_opt,gpu_resident,single_configuration,True,0.4411500621344955,0.5597626177151899,0.4428677089712214
AMD,AMD CPU,64,throughput_opt,8T,tie_or_uncertain,True,0.4205931035523049,1.0054480474368632,0.4194581224144036
INTEL,Intel CPU,64,throughput_opt,16T,tie_or_uncertain,False,6.857826053371805,17.918936810269816,6.604092026461567
3090,RTX 3090,128,edp_opt,gpu_resident,single_configuration,True,0.0977340819234239,0.3916170827671086,0.0977122448707639
5060ti,RTX 5060 Ti,128,edp_opt,gpu_resident,single_configuration,True,0.4699803008759057,1.0121670336834991,0.47069282631743
AMD,AMD CPU,128,edp_opt,4T,tie_or_uncertain,True,0.4713112559906356,0.6513413597729677,0.472383485659033
INTEL,Intel CPU,128,edp_opt,4T,tie_or_uncertain,False,4.078116904867313,8.082035575457548,3.983765544032
3090,RTX 3090,128,efficiency_opt,gpu_resident,single_configuration,True,0.0977340819234239,0.3916170827671086,0.0977122448707639
5060ti,RTX 5060 Ti,128,efficiency_opt,gpu_resident,single_configuration,True,0.4699803008759057,1.0121670336834991,0.47069282631743
AMD,AMD CPU,128,efficiency_opt,4T,tie_or_uncertain,True,0.4713112559906356,0.6513413597729677,0.472383485659033
INTEL,Intel CPU,128,efficiency_opt,4T,clear_leader,False,4.078116904867313,8.082035575457548,3.983765544032
3090,RTX 3090,128,energy_opt,gpu_resident,single_configuration,True,0.0977340819234239,0.3916170827671086,0.0977122448707639
5060ti,RTX 5060 Ti,128,energy_opt,gpu_resident,single_configuration,True,0.4699803008759057,1.0121670336834991,0.47069282631743
AMD,AMD CPU,128,energy_opt,4T,tie_or_uncertain,True,0.4713112559906356,0.6513413597729677,0.472383485659033
INTEL,Intel CPU,128,energy_opt,4T,clear_leader,False,4.078116904867313,8.082035575457548,3.983765544032
3090,RTX 3090,128,runtime_opt,gpu_resident,single_configuration,True,0.0977340819234239,0.3916170827671086,0.0977122448707639
5060ti,RTX 5060 Ti,128,runtime_opt,gpu_resident,single_configuration,True,0.4699803008759057,1.0121670336834991,0.47069282631743
AMD,AMD CPU,128,runtime_opt,4T,tie_or_uncertain,True,0.4713112559906356,0.6513413597729677,0.472383485659033
INTEL,Intel CPU,128,runtime_opt,8T,tie_or_uncertain,False,5.4340732798347045,2.544952487989961,5.398877612507722
3090,RTX 3090,128,throughput_opt,gpu_resident,single_configuration,True,0.0977340819234239,0.3916170827671086,0.0977122448707639
5060ti,RTX 5060 Ti,128,throughput_opt,gpu_resident,single_configuration,True,0.4699803008759057,1.0121670336834991,0.47069282631743
AMD,AMD CPU,128,throughput_opt,4T,tie_or_uncertain,True,0.4713112559906356,0.6513413597729677,0.472383485659033
INTEL,Intel CPU,128,throughput_opt,8T,tie_or_uncertain,False,5.4340732798347045,2.544952487989961,5.398877612507722
3090,RTX 3090,256,edp_opt,gpu_resident,single_configuration,True,0.0072070051100526,0.6225378011194314,0.0072072706470759
5060ti,RTX 5060 Ti,256,edp_opt,gpu_resident,single_configuration,True,0.0207755623803256,0.404661953615921,0.0207799349074774
AMD,AMD CPU,256,edp_opt,16T,tie_or_uncertain,True,4.793389610928557,3.262905310967988,4.614775413991702
INTEL,Intel CPU,256,edp_opt,8T,clear_leader,True,2.863515582320705,3.245914959091479,2.845758745823953
3090,RTX 3090,256,efficiency_opt,gpu_resident,single_configuration,True,0.0072070051100526,0.6225378011194314,0.0072072706470759
5060ti,RTX 5060 Ti,256,efficiency_opt,gpu_resident,single_configuration,True,0.0207755623803256,0.404661953615921,0.0207799349074774
AMD,AMD CPU,256,efficiency_opt,4T,tie_or_uncertain,True,0.5433180502059657,0.8484130268882922,0.5436746495926932
INTEL,Intel CPU,256,efficiency_opt,8T,clear_leader,True,2.863515582320705,3.245914959091479,2.845758745823953
3090,RTX 3090,256,energy_opt,gpu_resident,single_configuration,True,0.0072070051100526,0.6225378011194314,0.0072072706470759
5060ti,RTX 5060 Ti,256,energy_opt,gpu_resident,single_configuration,True,0.0207755623803256,0.404661953615921,0.0207799349074774
AMD,AMD CPU,256,energy_opt,4T,tie_or_uncertain,True,0.5433180502059657,0.8484130268882922,0.5436746495926932
INTEL,Intel CPU,256,energy_opt,8T,clear_leader,True,2.863515582320705,3.245914959091479,2.845758745823953
3090,RTX 3090,256,runtime_opt,gpu_resident,single_configuration,True,0.0072070051100526,0.6225378011194314,0.0072072706470759
5060ti,RTX 5060 Ti,256,runtime_opt,gpu_resident,single_configuration,True,0.0207755623803256,0.404661953615921,0.0207799349074774
AMD,AMD CPU,256,runtime_opt,16T,tie_or_uncertain,True,4.793389610928557,3.262905310967988,4.614775413991702
INTEL,Intel CPU,256,runtime_opt,8T,clear_leader,True,2.863515582320705,3.245914959091479,2.845758745823953
3090,RTX 3090,256,throughput_opt,gpu_resident,single_configuration,True,0.0072070051100526,0.6225378011194314,0.0072072706470759
5060ti,RTX 5060 Ti,256,throughput_opt,gpu_resident,single_configuration,True,0.0207755623803256,0.404661953615921,0.0207799349074774
AMD,AMD CPU,256,throughput_opt,16T,tie_or_uncertain,True,4.793389610928557,3.262905310967988,4.614775413991702
INTEL,Intel CPU,256,throughput_opt,8T,clear_leader,True,2.863515582320705,3.245914959091479,2.845758745823953
3090,RTX 3090,512,edp_opt,gpu_resident,single_configuration,True,0.1665066654808416,3.804863028003155,0.1664881981008029
5060ti,RTX 5060 Ti,512,edp_opt,gpu_resident,single_configuration,True,1.081078255625365,1.2098965464326437,1.065648276934374
AMD,AMD CPU,512,edp_opt,16T,tie_or_uncertain,False,4.88002512594758,2.766281526768417,5.07667866680443
INTEL,Intel CPU,512,edp_opt,16T,tie_or_uncertain,True,1.9387711640205056,2.828158957062024,1.90103062276058
3090,RTX 3090,512,efficiency_opt,gpu_resident,single_configuration,True,0.1665066654808416,3.804863028003155,0.1664881981008029
5060ti,RTX 5060 Ti,512,efficiency_opt,gpu_resident,single_configuration,True,1.081078255625365,1.2098965464326437,1.065648276934374
AMD,AMD CPU,512,efficiency_opt,16T,tie_or_uncertain,False,4.88002512594758,2.766281526768417,5.07667866680443
INTEL,Intel CPU,512,efficiency_opt,8T,tie_or_uncertain,True,3.185776954033049,3.6603585253335487,3.1577170237903505
3090,RTX 3090,512,energy_opt,gpu_resident,single_configuration,True,0.1665066654808416,3.804863028003155,0.1664881981008029
5060ti,RTX 5060 Ti,512,energy_opt,gpu_resident,single_configuration,True,1.081078255625365,1.2098965464326437,1.065648276934374
AMD,AMD CPU,512,energy_opt,16T,tie_or_uncertain,False,4.88002512594758,2.766281526768417,5.07667866680443
INTEL,Intel CPU,512,energy_opt,8T,tie_or_uncertain,True,3.185776954033049,3.6603585253335487,3.1577170237903505
3090,RTX 3090,512,runtime_opt,gpu_resident,single_configuration,True,0.1665066654808416,3.804863028003155,0.1664881981008029
5060ti,RTX 5060 Ti,512,runtime_opt,gpu_resident,single_configuration,True,1.081078255625365,1.2098965464326437,1.065648276934374
AMD,AMD CPU,512,runtime_opt,16T,tie_or_uncertain,False,4.88002512594758,2.766281526768417,5.07667866680443
INTEL,Intel CPU,512,runtime_opt,16T,tie_or_uncertain,True,1.9387711640205056,2.828158957062024,1.90103062276058
3090,RTX 3090,512,throughput_opt,gpu_resident,single_configuration,True,0.1665066654808416,3.804863028003155,0.1664881981008029
5060ti,RTX 5060 Ti,512,throughput_opt,gpu_resident,single_configuration,True,1.081078255625365,1.2098965464326437,1.065648276934374
