platform,platform_label,problem_size,configuration,metric,analysis_type,strided_median,dense_median,strided_over_dense_ratio,ci95_low,ci95_high,classification,probability_strided_lower,cliffs_delta_strided_minus_dense
INTEL,Intel CPU,64,10T,runtime_s,configuration_matched_independent_sessions,2.615265488467808e-06,2.2824659460891084e-06,1.1458070132213518,0.9887115934137103,1.2063955823265458,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,10T,energy_j,configuration_matched_independent_sessions,0.0001609739104985,0.0001300904409313,1.2373999914683151,0.9361267275648228,1.5462982808573684,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,10T,edp_j_s,configuration_matched_independent_sessions,4.209896027831605e-10,2.967401140859297e-10,1.418714837661789,0.9224666746502604,1.8809781832676449,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,10T,power_w,configuration_matched_independent_sessions,61.551644774345846,57.03151408365595,1.0792567190844626,0.9266722611182115,1.2852942232123825,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,64,16T,runtime_s,configuration_matched_independent_sessions,2.476036837876259e-06,2.2546644398164424e-06,1.0981841883654488,0.9755089381687185,1.2644135398846896,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,64,16T,energy_j,configuration_matched_independent_sessions,0.0001315633664435,0.0001226988152536,1.0722464285541657,0.8495240003455891,1.6521361065118065,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,64,16T,edp_j_s,configuration_matched_independent_sessions,3.229599081398164e-10,2.7486604971657544e-10,1.1749719853464344,0.8257040415514251,2.026457398071118,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,64,16T,power_w,configuration_matched_independent_sessions,53.61573401051566,54.97036828195608,0.9753570093528904,0.875223559763365,1.3087523800186263,uncertain_strided_lower,0.44,0.12
INTEL,Intel CPU,64,1T,runtime_s,configuration_matched_independent_sessions,2.5564774921052965e-06,2.27955353191567e-06,1.1214816657351792,1.0767151704654985,1.2371825935303484,clear_strided_higher,0.0,1.0
INTEL,Intel CPU,64,1T,energy_j,configuration_matched_independent_sessions,0.0001600621949192,0.0001302476983123,1.2289061303441433,1.0429769837990661,1.4938890727515228,clear_strided_higher,0.0,1.0
INTEL,Intel CPU,64,1T,edp_j_s,configuration_matched_independent_sessions,4.0903490931405907e-10,2.955619710912405e-10,1.3839226602930905,1.120005983548835,1.8541593476290767,clear_strided_higher,0.0,1.0
INTEL,Intel CPU,64,1T,power_w,configuration_matched_independent_sessions,59.742055349927554,57.41033191136852,1.0406150489106873,0.9698910761411881,1.2428799646886528,uncertain_strided_higher,0.24,0.52
INTEL,Intel CPU,64,20T,runtime_s,configuration_matched_independent_sessions,2.679698672313956e-06,2.305018734654989e-06,1.1625496279166028,1.028820269446605,1.2389469817239274,clear_strided_higher,0.04,0.92
INTEL,Intel CPU,64,20T,energy_j,configuration_matched_independent_sessions,0.0001737698111841,0.0001247672184763,1.3927521452047777,0.9187187921105499,1.482253783091505,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,20T,edp_j_s,configuration_matched_independent_sessions,4.839105697134778e-10,2.8648912996634436e-10,1.6891062141531363,0.9454502316555781,1.8168476753162268,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,20T,power_w,configuration_matched_independent_sessions,62.128173706433714,55.193678515235504,1.1256393010530006,0.8958064723574237,1.2504797021065248,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,64,2T,runtime_s,configuration_matched_independent_sessions,2.481484534640308e-06,2.3341587456962664e-06,1.0631172962060451,0.9951934881253175,1.182376606030024,uncertain_strided_higher,0.16,0.68
INTEL,Intel CPU,64,2T,energy_j,configuration_matched_independent_sessions,0.0001460082847464,0.0001422062872677,1.0267357903208796,0.8207031389287205,1.326956911103271,uncertain_strided_higher,0.44,0.12
INTEL,Intel CPU,64,2T,edp_j_s,configuration_matched_independent_sessions,3.62317962091293e-10,3.315061385578318e-10,1.0929449562156028,0.8246862177605663,1.5260607992682347,uncertain_strided_higher,0.32,0.36
INTEL,Intel CPU,64,2T,power_w,configuration_matched_independent_sessions,58.83901910615528,61.11752635352188,0.9627192495621134,0.8164293347273598,1.188436724718134,uncertain_strided_lower,0.64,-0.28
INTEL,Intel CPU,64,4T,runtime_s,configuration_matched_independent_sessions,2.685753448289805e-06,2.495490320994838e-06,1.0762427831093,0.9879609924666779,1.2062233142463432,uncertain_strided_higher,0.12,0.76
INTEL,Intel CPU,64,4T,energy_j,configuration_matched_independent_sessions,0.0001673816350915,0.0001533466426762,1.0915246148879547,0.9231277047826131,1.4681417455515082,uncertain_strided_higher,0.12,0.76
INTEL,Intel CPU,64,4T,edp_j_s,configuration_matched_independent_sessions,4.554999880734155e-10,3.8794209340223957e-10,1.1741442751898752,0.8997152630430396,1.7930246466348354,uncertain_strided_higher,0.12,0.76
INTEL,Intel CPU,64,4T,power_w,configuration_matched_independent_sessions,64.20666638943493,60.86617984688321,1.0548824741581473,0.943244090461977,1.2570539254058095,uncertain_strided_higher,0.28,0.44
INTEL,Intel CPU,64,8T,runtime_s,configuration_matched_independent_sessions,2.718807614968793e-06,2.38046757703582e-06,1.1421317564653735,1.019025126475066,1.223028456493151,uncertain_strided_higher,0.04,0.92
