setup_id,cpu_type,gpu_name,pcie_gen_current,mode,threads,impl,dtype,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,bw_gb_s_mean,n_measurements,workload,source_file
AMD_CPU-only_1t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,1,openblas,fp32,0.0002020247,0.0008358998,0.0001348539,0.0783099722,0.0001675157,3.71119e-05,8.93005e-05,0.0518570417,0.0002034423,0.0014972301,0.0001636176,0.0950131389,0.0017220522222222221,0.596,0.0,6.7967,190,REDUCTION,reduction_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,kernel,1,openblas,fp32,0.000358103,0.0014819995,0.0002390849,0.0783099722,0.0002969769,6.57991e-05,0.0001583225,0.0518570417,0.0003606197,0.0026544899,0.0002900806,0.0950131389,0.0030530577777777776,1.0602,,27.8611,190,REDUCTION,reduction_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,2,openblas,fp32,0.0001710718,0.0008424086,0.0001346801,0.0783099722,0.000160856,3.82663e-05,8.91855e-05,0.0518570417,0.0001739783,0.0015055075,0.0001634067,0.0950131389,0.0017198330555555556,0.5927,0.0,6.8082,190,REDUCTION,reduction_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,kernel,2,openblas,fp32,0.0003056049,0.0015048898,0.0002405943,0.0783099722,0.0002873552,6.83594e-05,0.0001593221,0.0518570417,0.0003107971,0.0026894582,0.0002919119,0.0950131389,0.003072332222222222,1.0589,,27.8291,190,REDUCTION,reduction_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,4,openblas,fp32,0.0001683597,0.0008462569,0.0001355653,0.0783099722,0.0001587222,3.88947e-05,8.97716e-05,0.0518570417,0.0001710426,0.0015202716,0.0001644807,0.0950131389,0.0017311366666666666,0.5962,0.0,6.8179,190,REDUCTION,reduction_amd_cpu_4.csv
AMD_CPU-only_4t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,kernel,4,openblas,fp32,0.0002914902,0.0014652481,0.0002347251,0.0783099722,0.0002748061,6.73461e-05,0.0001554355,0.0518570417,0.0002961345,0.0026323032,0.000284791,0.0950131389,0.002997385,1.0594,,27.8735,190,REDUCTION,reduction_amd_cpu_4.csv
AMD_CPU-only_8t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,8,openblas,fp32,0.000158537,0.0008380722,0.0001348873,0.0783099722,0.0001504586,3.95826e-05,8.93227e-05,0.0518570417,0.0001606384,0.0015240668,0.0001636582,0.0950131389,0.0017224791666666666,0.596,0.0,6.7873,190,REDUCTION,reduction_amd_cpu_8.csv
AMD_CPU-only_8t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,kernel,8,openblas,fp32,0.0002802128,0.0014812857,0.0002384122,0.0783099722,0.0002659342,6.99619e-05,0.0001578771,0.0518570417,0.000283927,0.0026937753,0.0002892644,0.0950131389,0.0030444675,1.0598,,27.6664,190,REDUCTION,reduction_amd_cpu_8.csv
AMD_CPU-only_10t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,10,openblas,fp32,0.0001627792,0.0008343887,0.0001352217,0.0783099722,0.0001453467,3.84139e-05,8.95441e-05,0.0518570417,0.0001644053,0.001502756,0.0001640639,0.0950131389,0.00172675,0.5929,0.0,6.8295,190,REDUCTION,reduction_amd_cpu_10.csv
AMD_CPU-only_10t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,kernel,10,openblas,fp32,0.000282287,0.0014479361,0.0002346185,0.0783099722,0.0002523932,6.66984e-05,0.0001553649,0.0518570417,0.0002851265,0.002608327,0.0002846616,0.0950131389,0.0029960230555555554,1.0576,,28.0819,190,REDUCTION,reduction_amd_cpu_10.csv
