timestamp,price_eur_kwh,ci_g_per_kwh,cheapest_flag,greenest_flag,overlap_flag,hour
2024-09-01 00:00:00,0.09376,260.37,False,False,False,0
2024-09-01 01:00:00,0.08598,245.59,False,False,False,1
2024-09-01 02:00:00,0.08037,239.13,False,False,False,2
2024-09-01 03:00:00,0.08014,241.68,False,False,False,3
2024-09-01 04:00:00,0.0812,241.58,False,False,False,4
2024-09-01 05:00:00,0.08016,234.26,False,False,False,5
2024-09-01 06:00:00,0.0794899999999999,212.34,False,False,False,6
2024-09-01 07:00:00,0.0731,181.02,False,True,False,7
2024-09-01 08:00:00,0.06063,160.15,False,True,False,8
2024-09-01 09:00:00,0.04127,151.04,False,True,False,9
2024-09-01 10:00:00,0.01273,154.2,True,True,True,10
2024-09-01 11:00:00,-0.00079,158.64,True,True,True,11
2024-09-01 12:00:00,-0.00917,163.21,True,True,True,12
2024-09-01 13:00:00,-0.024,170.09,True,True,True,13
2024-09-01 14:00:00,-0.01994,193.67,True,True,True,14
2024-09-01 15:00:00,-0.00499,239.21,True,False,False,15
2024-09-01 16:00:00,0.02556,317.66,True,False,False,16
2024-09-01 17:00:00,0.07828,362.54,False,False,False,17
2024-09-01 18:00:00,0.10911,370.05,False,False,False,18
2024-09-01 19:00:00,0.1316,372.92,False,False,False,19
2024-09-01 20:00:00,0.1239099999999999,375.52,False,False,False,20
2024-09-01 21:00:00,0.1076299999999999,379.8,False,False,False,21
2024-09-01 22:00:00,0.10202,388.41,False,False,False,22
2024-09-01 23:00:00,0.0915,397.2,False,False,False,23
2024-09-02 00:00:00,0.09124,402.9,False,False,False,0
2024-09-02 01:00:00,0.09477,407.31,False,False,False,1
2024-09-02 02:00:00,0.09239,409.71,False,False,False,2
2024-09-02 03:00:00,0.09251,409.41,False,False,False,3
2024-09-02 04:00:00,0.09159,408.07,False,False,False,4
2024-09-02 05:00:00,0.10152,404.92,False,False,False,5
2024-09-02 06:00:00,0.11473,380.06,False,False,False,6
2024-09-02 07:00:00,0.13495,358.88,False,False,False,7
2024-09-02 08:00:00,0.13194,327.66,False,False,False,8
2024-09-02 09:00:00,0.12264,287.9,False,False,False,9
2024-09-02 10:00:00,0.10283,256.82,False,False,False,10
2024-09-02 11:00:00,0.09082,242.9,False,False,False,11
2024-09-02 12:00:00,0.08505,244.61,False,False,False,12
2024-09-02 13:00:00,0.08119,259.91,False,False,False,13
2024-09-02 14:00:00,0.08363,299.3,False,False,False,14
2024-09-02 15:00:00,0.08824,342.3,False,False,False,15
2024-09-02 16:00:00,0.0936299999999999,411.26,False,False,False,16
2024-09-02 17:00:00,0.11288,432.7,False,False,False,17
2024-09-02 18:00:00,0.13778,438.42,False,False,False,18
2024-09-02 19:00:00,0.2554,430.5,False,False,False,19
2024-09-02 20:00:00,0.21206,440.4,False,False,False,20
2024-09-02 21:00:00,0.1319,447.31,False,False,False,21
2024-09-02 22:00:00,0.11424,449.97,False,False,False,22
2024-09-02 23:00:00,0.10384,466.3,False,False,False,23
2024-09-03 00:00:00,0.0996,472.82,False,False,False,0
2024-09-03 01:00:00,0.0930999999999999,470.4,False,False,False,1
2024-09-03 02:00:00,0.09156,469.42,False,False,False,2
2024-09-03 03:00:00,0.0932699999999999,474.44,False,False,False,3
2024-09-03 04:00:00,0.0962399999999999,468.6,False,False,False,4
2024-09-03 05:00:00,0.10268,452.34,False,False,False,5
2024-09-03 06:00:00,0.13721,419.23,False,False,False,6
2024-09-03 07:00:00,0.15106,388.35,False,False,False,7
2024-09-03 08:00:00,0.1339499999999999,349.33,False,False,False,8
2024-09-03 09:00:00,0.11598,308.52,False,False,False,9
2024-09-03 10:00:00,0.09888,289.51,False,False,False,10
2024-09-03 11:00:00,0.09002,292.71,False,False,False,11
2024-09-03 12:00:00,0.0848,299.1,False,False,False,12
2024-09-03 13:00:00,0.08269,320.67,False,False,False,13
2024-09-03 14:00:00,0.08413,354.28,False,False,False,14
2024-09-03 15:00:00,0.08667,403.14,False,False,False,15
2024-09-03 16:00:00,0.09121,453.39,False,False,False,16
