setup_id,cpu_type,N,mode,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,n_measurements,workload,source_file
AMD_CPU-only_16t,AMD,0,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,16,openblas,fp32,9.419e-07,4.4724e-06,0.09997,7.378e-07,0.0783099722,7.165e-07,1.919e-07,0.07605,4.886e-07,0.0518570417,9.441e-07,7.8496e-06,0.1002,8.952e-07,0.0950131389,9.421944444444444e-06,0.5929,0.0,,6.02,190,REDUCTION,reduction_amd_cpu_16.csv
AMD_CPU-only_16t,AMD,0,kernel,AMD Ryzen Threadripper 3970X 32-Core Processor,,16,openblas,fp32,1.6629e-06,7.8956e-06,0.09997,1.3026e-06,0.0783099722,1.265e-06,3.388e-07,0.07605,8.626e-07,0.0518570417,1.6667e-06,1.38578e-05,0.1002,1.5804e-06,0.0950131389,1.6633611111111112e-05,1.0574,,,20.875,190,REDUCTION,reduction_amd_cpu_16.csv
AMD_CPU-only_20t,AMD,0,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,20,openblas,fp32,9.185e-07,4.3805e-06,0.09997,7.373e-07,0.0783099722,6.841e-07,1.891e-07,0.07605,4.882e-07,0.0518570417,9.206e-07,7.8608e-06,0.1002,8.946e-07,0.0950131389,9.415277777777778e-06,0.5943,0.0,,6.0,190,REDUCTION,reduction_amd_cpu_20.csv
AMD_CPU-only_20t,AMD,0,kernel,AMD Ryzen Threadripper 3970X 32-Core Processor,,20,openblas,fp32,1.6463e-06,7.8355e-06,0.09997,1.3027e-06,0.0783099722,1.2516e-06,3.364e-07,0.07605,8.626e-07,0.0518570417,1.65e-06,1.39251e-05,0.1002,1.5805e-06,0.0950131389,1.6634722222222223e-05,1.0594,,,20.71,190,REDUCTION,reduction_amd_cpu_20.csv
AMD_CPU-only_32t,AMD,0,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,32,openblas,fp32,8.556e-07,4.2788e-06,0.09152,7.321e-07,0.0783099722,5.817e-07,1.859e-07,0.06222,4.848e-07,0.0518570417,8.589e-07,7.9046e-06,0.09187,8.883e-07,0.0950131389,9.348750000000001e-06,0.5907,0.0,,6.04,190,REDUCTION,reduction_amd_cpu_32.csv
AMD_CPU-only_32t,AMD,0,kernel,AMD Ryzen Threadripper 3970X 32-Core Processor,,32,openblas,fp32,1.5153e-06,7.578e-06,0.09152,1.2966e-06,0.0783099722,1.0302e-06,3.293e-07,0.06222,8.586e-07,0.0518570417,1.5211e-06,1.39995e-05,0.09187,1.5731e-06,0.0950131389,1.6557083333333334e-05,1.0594,,,20.93,190,REDUCTION,reduction_amd_cpu_32.csv
AMD_CPU-only_64t,AMD,0,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,64,openblas,fp32,8.457e-07,4.2757e-06,0.09152,7.366e-07,0.0783099722,5.565e-07,1.872e-07,0.06222,4.878e-07,0.0518570417,8.499e-07,7.9287e-06,0.09187,8.937e-07,0.0950131389,9.405694444444443e-06,0.5936,0.0,,6.01,190,REDUCTION,reduction_amd_cpu_64.csv
AMD_CPU-only_64t,AMD,0,kernel,AMD Ryzen Threadripper 3970X 32-Core Processor,,64,openblas,fp32,1.5089e-06,7.5672e-06,0.09152,1.3011e-06,0.0783099722,1.0238e-06,3.305e-07,0.06222,8.616e-07,0.0518570417,1.5157e-06,1.40227e-05,0.09187,1.5786e-06,0.0950131389,1.6614444444444444e-05,1.0592,,,20.84,190,REDUCTION,reduction_amd_cpu_64.csv
AMD_3090_PCIe3,AMD,0,e2e,NVIDIA GeForce RTX 3090,3.0,,cublas,fp32,6.5851e-06,2.45531e-05,0.125,3.9856e-06,0.0783099722,5.0647e-06,1.0883e-06,0.09889,2.6392e-06,0.0518570417,6.6088e-06,4.36423e-05,0.12545,4.8357e-06,0.0950131389,5.0894722222222224e-05,1.0538,0.0,,12.68,190,REDUCTION,reduction_3090_on_amd_pciv3.csv
AMD_3090_PCIe3,AMD,0,kernel,NVIDIA GeForce RTX 3090,3.0,,cublas,fp32,1.27341e-05,4.60648e-05,0.125,7.4768e-06,0.0783099722,9.5352e-06,2.049e-06,0.09889,4.9512e-06,0.0518570417,1.278e-05,8.19417e-05,0.12545,9.0716e-06,0.0950131389,9.547736111111111e-05,1.0303,,,868.345,190,REDUCTION,reduction_3090_on_amd_pciv3.csv
