setup_id,cpu_type,pattern,gpu_name,pcie_gen_current,threads,impl,dtype,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,seconds_per_pass_median,energy_per_pass_j_median,gflops_median,joule_per_gflop_median,bw_gb_s_median,gb_per_s_kernel_median,j_per_gb_kernel_median,passes_e2e_median,matrix_size,effective_size,nrows_first,ncols_first,nnz_first,avg_nnz_per_row_median,n_measurements,workload,source_file,nrows
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,4.2792e-06,1.32304e-05,0.08225,4.0742e-06,0.0783099722,3.652e-07,1.1727e-06,0.00702,2.6979e-06,0.0518570417,4.7963e-06,3.51378e-05,0.09219,4.9432e-06,0.0950131389,5.202666666666666e-05,1.1207,0.0,0.000932716488967,,,6.6,6.6031,25.3098,200807.0,1024.0,1048576,1024,1024,3070,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,4.2689e-06,1.31987e-05,0.08225,4.0645e-06,0.0783099722,3.644e-07,1.1699e-06,0.00702,2.6915e-06,0.0518570417,4.7849e-06,3.50536e-05,0.09219,4.9314e-06,0.0950131389,5.190208333333333e-05,1.1162,0.0,0.00100073107636935,,,24.66,24.6638,6.7872,186711.0,4096.0,16777216,4096,4096,12286,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,4.673e-06,1.4448e-05,0.08225,4.4492e-06,0.0783099722,3.988e-07,1.2806e-06,0.00702,2.9463e-06,0.0518570417,5.2378e-06,3.83716e-05,0.09219,5.3982e-06,0.0950131389,5.6814861111111116e-05,1.1223,0.0,0.00123933408064955,,,86.73,86.7323,2.1012,165035.0,16384.0,268435456,16384,16384,49150,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,5.8327e-06,1.80336e-05,0.08225,5.5533e-06,0.0783099722,4.978e-07,1.5984e-06,0.00702,3.6774e-06,0.0518570417,6.5376e-06,4.78944e-05,0.09219,6.7378e-06,0.0950131389,7.091472222222223e-05,1.1221,0.0,0.0018720887598263,,,286.73,286.7221,0.7935,136368.0,65536.0,4294967296,65536,65536,196606,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,6.6104e-06,2.04381e-05,0.08225,6.2938e-06,0.0783099722,5.642e-07,1.8115e-06,0.00702,4.1678e-06,0.0518570417,7.4093e-06,5.42803e-05,0.09219,7.6362e-06,0.0950131389,8.037e-05,1.1204,0.0,0.0026681298413869002,,,456.695,456.6966,0.5655,108440.0,131072.0,17179869184,131072,131072,393214,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe3,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,3,,cusparse,fp32,8.6208e-06,2.66536e-05,0.08225,8.2078e-06,0.0783099722,7.358e-07,2.3625e-06,0.00702,5.4352e-06,0.0518570417,9.6626e-06,7.07878e-05,0.09219,9.9585e-06,0.0950131389,0.0001048118055555,1.1262,0.0,0.00546108144095635,,,578.97,578.9758,0.5787,69093.0,262144.0,68719476736,262144,262144,786430,3.0,50,SPMV,SPMV_3090_on_amd_pciev3.csv,
AMD_3090_PCIe4,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,5.9393e-06,1.59245e-05,0.1128,4.1233e-06,0.0783099722,1.9803e-06,1.0715e-06,0.03761,2.7305e-06,0.0518570417,5.9088e-06,3.76699e-05,0.11222,5.0028e-06,0.0950131389,5.265347222222222e-05,1.1136,0.0,0.0009687801861382,,,6.47,6.4747,26.2884,195661.0,1024.0,1048576,1024,1024,3070,3.0,50,SPMV,SPMV_3090_on_amd_pciev4.csv,
AMD_3090_PCIe4,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,5.9186e-06,1.58689e-05,0.1128,4.1089e-06,0.0783099722,1.9734e-06,1.0678e-06,0.03761,2.7209e-06,0.0518570417,5.8881e-06,3.75383e-05,0.11222,4.9853e-06,0.0950131389,5.246958333333333e-05,1.1224,0.0,0.00102295398912545,,,24.26,24.259,6.9379,184652.0,4096.0,16777216,4096,4096,12286,3.0,50,SPMV,SPMV_3090_on_amd_pciev4.csv,
AMD_3090_PCIe4,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,6.476e-06,1.73634e-05,0.1128,4.4959e-06,0.0783099722,2.1592e-06,1.1683e-06,0.03761,2.9772e-06,0.0518570417,6.4427e-06,4.10735e-05,0.11222,5.4548e-06,0.0950131389,5.7410972222222224e-05,1.1219,0.0,0.00125290676527635,,,86.725,86.7238,2.1242,164960.0,16384.0,268435456,16384,16384,49150,3.0,50,SPMV,SPMV_3090_on_amd_pciev4.csv,
AMD_3090_PCIe4,AMD,BAND_TRIDIAG,NVIDIA GeForce RTX 3090,4,,cusparse,fp32,7.9732e-06,2.13778e-05,0.1128,5.5353e-06,0.0783099722,2.6584e-06,1.4384e-06,0.03761,3.6655e-06,0.0518570417,7.9322e-06,5.05698e-05,0.11222,6.716e-06,0.0950131389,7.068444444444444e-05,1.122,0.0,0.0018745736491215,,,285.43,285.4249,0.7946,135745.0,65536.0,4294967296,65536,65536,196606,3.0,50,SPMV,SPMV_3090_on_amd_pciev4.csv,
