zone,n_neg,n_nonneg,median_neg,median_nonneg,U,p_value,cliffs_delta
DE,40,680,181.88,318.65,2793.5,2.8425937878995765e-17,-0.7945955882352941
FR,17,703,21.66,22.55,5581.5,0.6423809362559258,-0.06593590494519286
PL,26,694,531.37,675.19,3408.0,6.996515321043339e-08,-0.6222567058301929
