setup_id,cpu_type,gpu_name,pcie_gen_current,mode,threads,de_eur_job_sum,de_co2_job_kg_sum,de_eur_job_sync_sum,de_price_sync,fr_eur_job_sum,fr_co2_job_kg_sum,fr_eur_job_sync_sum,fr_price_sync,pl_eur_job_sum,pl_co2_job_kg_sum,pl_eur_job_sync_sum,pl_price_sync,kWh_e2e_sum,seconds_wall_median,gflops_mean,n_measurements,workload,source_file
AMD_CPU-only_1t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,1,0.001212773,0.0083488115,0.0032872052,0.0783099722,0.0012852497,0.0008422952,0.0021767948,0.0518570417,0.0036522136,0.0288896521,0.0039883514,0.0950131389,0.041976840833333334,1.3647,100.0721,948,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,2,0.0004547288,0.0093270573,0.0037555117,0.0783099722,0.000731556,0.0009855779,0.0024869084,0.0518570417,0.0041751995,0.0326127981,0.0045565455,0.0950131389,0.04795700416666667,1.3906,186.2788,948,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_4t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,4,2.2939e-06,0.0104108981,0.0044908954,0.0783099722,0.0003675986,0.0011968461,0.0029738811,0.0518570417,0.0045838002,0.0377508319,0.0054487832,0.0950131389,0.05734768166666667,1.3665,350.2634,947,GEMM,gemm_amd_cpu_4.csv
AMD_CPU-only_8t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,8,-7.075e-07,0.0114501021,0.005129828,0.0783099722,0.0003394271,0.001362587,0.0033969838,0.0518570417,0.0054395479,0.043775199,0.0062239973,0.0950131389,0.06550670166666568,1.4369,462.9375,948,GEMM,gemm_amd_cpu_8.csv
AMD_CPU-only_10t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,10,-5.1867e-06,0.0123687184,0.0058023962,0.0783099722,0.0002778571,0.0015352534,0.0038423599,0.0518570417,0.0064210935,0.0503758718,0.0070400213,0.0950131389,0.07409523999999532,1.3937,469.4293,949,GEMM,gemm_amd_cpu_10.csv
AMD_CPU-only_16t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,16,-1.30482e-05,0.0138572307,0.0068084252,0.0783099722,0.0005240691,0.0018215512,0.0045085546,0.0518570417,0.0076040155,0.0597289877,0.0082606318,0.0950131389,0.0869419944444307,1.2622,758.2657,948,GEMM,gemm_amd_cpu_16.csv
AMD_CPU-only_20t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,20,-1.37325e-05,0.0161337342,0.0079043047,0.0783099722,0.0005710349,0.0021180427,0.0052342486,0.0518570417,0.0091695425,0.0695336668,0.0095902575,0.0950131389,0.10093611944441912,1.39,695.1436,946,GEMM,gemm_amd_cpu_20.csv
AMD_CPU-only_32t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,32,-4.5306e-06,0.0187361625,0.0088697157,0.0783099722,0.0003443231,0.002378548,0.0058735459,0.0518570417,0.0117817412,0.0784841559,0.0107615863,0.0950131389,0.11326419111108234,1.3323,788.9864,948,GEMM,gemm_amd_cpu_32.csv
AMD_CPU-only_64t,AMD,AMD Ryzen Threadripper 3970X 32-Core Processor,,e2e,64,1.43854e-05,0.0219099026,0.0097789879,0.0783099722,0.0004951581,0.0026395273,0.006475668,0.0518570417,0.0141627962,0.0885029727,0.0118648023,0.0950131389,0.12487538472219563,1.3602,693.1297,949,GEMM,gemm_amd_cpu_64.csv
AMD_3090_PCIe3,AMD,NVIDIA GeForce RTX 3090,3.0,e2e,,0.0299792806,0.0552763996,0.0090129858,0.0783099722,0.0116567033,0.002547253,0.0059684197,0.0518570417,0.0323060777,0.0976408877,0.0109354153,0.0950131389,0.11509371694441169,1.3784,9410.1649,950,GEMM,gemm_3090_on_amd_pciev3.csv
