setup_id,cpu_type,matrix_size,mode,gpu_name,pcie_gen_current,threads,de_eur_job_median,de_co2_job_kg_median,de_price_eur_kwh,de_eur_job_sync_median,de_price_sync,fr_eur_job_median,fr_co2_job_kg_median,fr_price_eur_kwh,fr_eur_job_sync_median,fr_price_sync,pl_eur_job_median,pl_co2_job_kg_median,pl_price_eur_kwh,pl_eur_job_sync_median,pl_price_sync,kWh_e2e_median,seconds_wall_median,gflops_median,joule_per_gflop_median,n_measurements,workload,source_file
AMD_CPU-only_1t,AMD,512,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.91e-07,7.9906e-06,0.00952,3.1439e-06,0.0783099722,6.28e-07,8.205e-07,0.01529,2.0819e-06,0.0518570417,3.4952e-06,2.78836e-05,0.08709,3.8145e-06,0.0950131389,4.01475e-05,1.3016,105.5883,1.0516,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,640,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.801e-07,7.7669e-06,0.00952,3.0741e-06,0.0783099722,6.104e-07,7.955e-07,0.01529,2.0357e-06,0.0518570417,3.4137e-06,2.71265e-05,0.08709,3.7298e-06,0.0950131389,3.92552777777778e-05,1.2678,105.8708,1.0529,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,768,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.227e-07,6.5936e-06,0.00952,2.617e-06,0.0783099722,5.182e-07,6.829e-07,0.01529,1.733e-06,0.0518570417,2.9062e-06,2.3052e-05,0.08709,3.1752e-06,0.0950131389,3.3418055555555555e-05,1.0806,107.3195,1.0374,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,896,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,5.169e-07,1.0563e-05,0.00952,4.1811e-06,0.0783099722,8.302e-07,1.0909e-06,0.01529,2.7688e-06,0.0518570417,4.6485e-06,3.69293e-05,0.08709,5.0729e-06,0.0950131389,5.339208333333335e-05,1.7266,106.656,1.0438,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,1024,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.846e-07,7.8601e-06,0.00952,3.1134e-06,0.0783099722,6.178e-07,8.111e-07,0.01529,2.0617e-06,0.0518570417,3.4625e-06,2.74796e-05,0.08709,3.7775e-06,0.0950131389,3.97577777777778e-05,1.2853,106.9314,1.0414,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,1152,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,5.508e-07,1.12559e-05,0.00952,4.4578e-06,0.0783099722,8.847e-07,1.1594e-06,0.01529,2.952e-06,0.0518570417,4.9577e-06,3.93136e-05,0.08709,5.4087e-06,0.0950131389,5.6925694444444455e-05,1.8409,106.301,1.0472,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,1280,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.783e-07,7.73e-06,0.00952,3.0485e-06,0.0783099722,6.075e-07,7.988e-07,0.01529,2.0187e-06,0.0518570417,3.3853e-06,2.7025e-05,0.08709,3.6987e-06,0.0950131389,3.892819444444445e-05,1.2565,106.8187,1.0441,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,1408,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,4.98e-07,1.01758e-05,0.00952,4.0339e-06,0.0783099722,7.998e-07,1.0564e-06,0.01529,2.6713e-06,0.0518570417,4.4818e-06,3.55754e-05,0.08709,4.8943e-06,0.0950131389,5.151208333333335e-05,1.6616,107.5099,1.0381,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_1t,AMD,1536,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,1,3.232e-07,6.6043e-06,0.00952,2.6267e-06,0.0783099722,5.191e-07,6.88e-07,0.01529,1.7394e-06,0.0518570417,2.9189e-06,2.30891e-05,0.08709,3.187e-06,0.0950131389,3.35425e-05,1.0782,107.5584,1.0413,50,GEMM,gemm_amd_cpu_1.csv
AMD_CPU-only_2t,AMD,64,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.218e-07,1.06627e-05,0.00952,4.2921e-06,0.0783099722,8.38e-07,1.1263e-06,0.01529,2.8423e-06,0.0518570417,4.7734e-06,3.72777e-05,0.08709,5.2076e-06,0.0950131389,5.480972222222225e-05,1.8175,72.1166,1.5054,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,96,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.476e-07,1.11908e-05,0.00952,4.5047e-06,0.0783099722,8.796e-07,1.1821e-06,0.01529,2.9831e-06,0.0518570417,5.0098e-06,3.91242e-05,0.08709,5.4656e-06,0.0950131389,5.75245833333333e-05,1.7357,133.6223,0.8929,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,128,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,6.104e-07,1.24737e-05,0.00952,5.0212e-06,0.0783099722,9.804e-07,1.3176e-06,0.01529,3.325e-06,0.0518570417,5.5841e-06,4.36093e-05,0.08709,6.0922e-06,0.0950131389,6.41190277777778e-05,1.9169,143.3971,0.8397,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,160,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,5.335e-07,1.09012e-05,0.00952,4.3882e-06,0.0783099722,8.568e-07,1.1515e-06,0.01529,2.9059e-06,0.0518570417,4.8802e-06,3.81117e-05,0.08709,5.3241e-06,0.0950131389,5.603583333333335e-05,1.6528,162.4175,0.7515,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,192,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,4.281e-07,8.749e-06,0.00952,3.5218e-06,0.0783099722,6.876e-07,9.242e-07,0.01529,2.3322e-06,0.0518570417,3.9167e-06,3.05874e-05,0.08709,4.273e-06,0.0950131389,4.497291666666665e-05,1.3166,176.1569,0.6981,50,GEMM,gemm_amd_cpu_2.csv
AMD_CPU-only_2t,AMD,224,e2e,AMD Ryzen Threadripper 3970X 32-Core Processor,,2,3.374e-07,6.8939e-06,0.00952,2.7751e-06,0.0783099722,5.418e-07,7.282e-07,0.01529,1.8376e-06,0.0518570417,3.0862e-06,2.41016e-05,0.08709,3.367e-06,0.0950131389,3.543680555555555e-05,1.0344,178.0227,0.6928,50,GEMM,gemm_amd_cpu_2.csv
