area,total_hours,negative_hours,share_negative_hours,min_price_eur_kwh,max_price_eur_kwh,mean_price_eur_kwh
DE,720,40,0.05555555555555555,-0.024,0.65637,0.0783099722222222
FR,720,17,0.02361111111111111,-0.00618,0.138,0.05185704166666665
PL,720,26,0.03611111111111111,-0.05416,0.54222,0.09501313888888888
